Time,C_para__Basolateral___HepG2_,C_para_Apical,C_glu__Basolateral___HepG2_,C_glu_Apical,C_sulf__Basolateral___HepG2_,C_sulf_Apical,C_para_Caco_2,C_sulf_Caco_2,C_glu_Caco_2,P_para,Ai,Mp_s_caco,Mp_g_caco,V_api,V_caco,Mp_s_HepG2,V_basol,P_sulf,P_glu,Mp_g_HepG2,time_threshold,Apical,Caco_2,Basolateral___HepG2
12.0,82.6277926968214,1505.203472484636,589.1406477298455,134.8064679469997,379.6905594827464,93.08218614290084,686.5840662451262,338.7566320540011,464.3554848735682,103.8,0.33,14.9,17.6,400.0,0.33,0.35,280.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
12.100000000000001,82.2498163287915,1498.2095387598126,593.1325416711948,136.4095822429927,382.33140939666794,94.09426735477844,683.3964352329596,340.1079435757028,466.6778439746442,103.8,0.33,14.9,17.6,400.0,0.33,0.35,280.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
12.200000000000001,81.87302582987095,1491.2481233346532,597.0906514908428,138.0161515300719,384.95150528147184,95.10772676915468,680.2233770240582,341.45173939668706,468.9872106298994,103.8,0.33,14.9,17.6,400.0,0.33,0.35,280.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
12.3,81.49749195189477,1484.3190721781068,601.0151794085062,139.6260964798472,387.5509594190977,96.1225280229207,677.0648557407649,342.78805204929165,471.28364079955855,103.8,0.33,14.9,17.6,400.0,0.33,0.35,280.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
12.4,81.1232657464917,1477.4222327185585,604.9063379604723,141.23933828012343,390.129890334135,97.13863497860986,673.9208275849372,344.11691614067064,473.5671947170014,103.8,0.33,14.9,17.6,400.0,0.33,0.35,280.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
12.5,80.75035733589716,1470.5574546627963,608.7643629234489,142.85579838170028,392.68843044189583,98.15601161992696,670.7912319768857,345.43837082670063,475.83794194358586,103.8,0.33,14.9,17.6,400.0,0.33,0.35,280.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
12.600000000000001,80.37880971976853,1463.7245871425628,612.5894684177316,144.4753993568235,395.22669947402727,99.17462240593403,667.6760223596696,346.7524512138042,478.0959438009364,103.8,0.33,14.9,17.6,400.0,0.33,0.35,280.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
12.700000000000001,80.00864394070408,1456.923480828066,616.3818802831047,146.09806425142568,397.7448242311587,100.19443200400788,664.5751433103798,348.05919474922064,480.3412664273909,103.8,0.33,14.9,17.6,400.0,0.33,0.35,280.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
12.8,79.6398853010795,1450.153986921207,620.1418201229283,147.72371689060915,400.2429291389391,101.21540541542596,661.4885414850368,349.3586381649259,482.5739745344281,103.8,0.33,14.9,17.6,400.0,0.33,0.35,280.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
12.9,79.27256463762238,1443.4159571036314,623.869504538446,149.35228188829012,402.7211357935389,102.23750797941062,658.4161661493964,350.6508173301499,484.79413110534466,103.8,0.33,14.9,17.6,400.0,0.33,0.35,280.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
13.0,78.90668780990796,1436.7092446885651,627.565163743352,150.98368427381362,405.17957397447776,103.26070522055403,655.3579564325479,351.93577081451036,487.0018046738314,103.8,0.33,14.9,17.6,400.0,0.33,0.35,280.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
13.100000000000001,78.54226551405998,1430.0337034880456,631.2290233975358,152.6178498455011,407.61837089419055,104.28496299348345,652.3138537786584,353.2135364089536,489.1970622170389,103.8,0.33,14.9,17.6,400.0,0.33,0.35,280.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
13.200000000000001,78.1793186715649,1423.3891876056362,634.8613013299195,154.25470523169727,410.0376492580588,105.31024750784276,649.2838041965293,354.484150497757,491.3799678726024,103.8,0.33,14.9,17.6,400.0,0.33,0.35,280.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
13.3,77.81786181092981,1416.7755520614799,638.4622176861651,155.89417768239704,412.43753326663636,106.33652524329703,646.2677513161602,355.7476500001177,493.5505869048899,103.8,0.33,14.9,17.6,400.0,0.33,0.35,280.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
13.4,77.45790688220471,1410.1926526442785,642.0319926136026,157.53619510995688,414.8181472445243,107.36376296625964,643.2656379805562,357.0040719261056,495.7089847978502,103.8,0.33,14.9,17.6,400.0,0.33,0.35,280.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
13.5,77.09946918351956,1403.640345683843,645.5708426568583,159.18068615598722,417.17961350659164,108.39192775727747,640.277408719978,358.2534526858718,497.855225843827,103.8,0.33,14.9,17.6,400.0,0.33,0.35,280.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
13.600000000000001,76.74254313509621,1397.118488979051,649.0789955111736,160.82757990389555,419.5220610891682,109.420986892676,637.302999637142,359.4958309145433,499.9893789147989,103.8,0.33,14.9,17.6,400.0,0.33,0.35,280.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
13.700000000000001,76.38714722904584,1390.6269400640742,652.5566626848405,162.47680639440597,421.84560956677205,110.4509080572651,634.3423571694034,360.7312422350406,502.11150676265993,103.8,0.33,14.9,17.6,400.0,0.33,0.35,280.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
13.8,76.0332931244529,1384.16555739512,656.0040583122774,164.1282962622027,424.1503801868527,111.48165919455826,631.3954251866586,361.95972286077966,504.22167337960053,103.8,0.33,14.9,17.6,400.0,0.33,0.35,280.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
13.9,75.68098685701955,1377.7342003003043,659.4213984287759,165.7819807446725,426.4364954391865,112.51320851048062,628.4621454947567,363.1813094559566,506.3199437125946,103.8,0.33,14.9,17.6,400.0,0.33,0.35,280.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
14.0,75.33021940902782,1371.3327293389877,662.8089067187058,167.43779156737665,428.7040824571163,113.5455244262431,625.5424538974805,364.39604023579943,508.4063859111516,103.8,0.33,14.9,17.6,400.0,0.33,0.35,280.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
14.100000000000001,74.98100147150845,1364.9610049622988,666.1667933740227,169.09566134148483,430.95326050191215,114.57857574225001,622.6362947069429,365.60395091603607,510.4810630521672,103.8,0.33,14.9,17.6,400.0,0.33,0.35,280.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
