Time,The_FOD_in_the_circulation__X1,The_FOD_in_the_metabolizing_tissues__X4,The_cumulative_FOD_excreted_in_the_non_urinary_pool__X3,The_FOD_in_the_gallbladder___intestinal_lumen__X5,The_cumulative_FOD_excreted_in_the_urine__X2,K1,K2,K3,K4,K5,compartment,R1,R2,R3,R4
2.472,1.6681777986607578e-17,0.0014309619559734405,0.14068218144650946,0.003448442112526736,0.8544384150166361,3.6,1.2,26.6,1.2,1.2,1.0,4.437352944437616e-16,-0.0024209761878639545,0.004138130535032083,0.005151463041504386
2.475,1.4169490828791914e-17,0.0014227940241269294,0.14069456047524304,0.0034288207952045983,0.8544538252370711,3.6,1.2,26.6,1.2,1.2,1.0,3.769084560458649e-16,-0.0024072321252932025,0.004114584954245518,0.005122058486856946
2.478,1.161891468247238e-17,0.0014146729365900562,0.1407068690685189,0.0034093110288560416,0.8544691474976808,3.6,1.2,26.6,1.2,1.2,1.0,3.0906313055376533e-16,-0.0023935657107191826,0.00409117323462725,0.005092822571724202
2.481,9.097146981541107e-18,0.001406598421002156,0.1407191076269468,0.0033899121805041725,0.8544843823031926,3.6,1.2,26.6,1.2,1.2,1.0,2.4198410970899344e-16,-0.0023799765114024193,0.0040678946166050065,0.005063754315607762
2.484,6.678620519245133e-18,0.0013985702066042099,0.14073127654889311,0.0033706236206976167,0.8544995301554508,3.6,1.2,26.6,1.2,1.2,1.0,1.7765130581192054e-16,-0.002366464096912088,0.00404474834483714,0.005034852743775155
2.487,4.445351956040354e-18,0.001390588024225407,0.14074337623049585,0.003351444723487536,0.854514591553437,3.6,1.2,26.6,1.2,1.2,1.0,1.182463620306734e-16,-0.002353028039114554,0.0040217336681850424,0.0050061168872114654
2.49,2.4871903274417173e-18,0.0013826516062696943,0.14075540706567977,0.0033323748664046185,0.8545295669932916,3.6,1.2,26.6,1.2,1.2,1.0,6.615926270994968e-17,-0.0023396679121619086,0.003998849839685542,0.0049775457825708995
2.493,9.02065551875494e-19,0.0013747606867023341,0.1407673694461714,0.0033134134304360846,0.8545444569683359,3.6,1.2,26.6,1.2,1.2,1.0,2.399494367988814e-17,-0.0023263832924805003,0.003976096116523302,0.004949138472128403
2.496,-2.037630614699166e-19,0.0013669150010364544,0.1407792637615142,0.003294559800002674,0.8545592619690925,3.6,1.2,26.6,1.2,1.2,1.0,-5.420097435099782e-18,-0.0023131737587594636,0.003953471760003209,0.004920894003731236
2.499,-7.154583047908515e-19,0.001359114286319609,0.14079109039908347,0.003275813362935668,0.8545739824833071,3.6,1.2,26.6,1.2,1.2,1.0,-1.9031190907436652e-17,-0.0023000388919392697,0.003930976035522801,0.004892811430750593
2.5020000000000002,-2.377805603487802e-18,0.0013513582904652024,0.1408028497366038,0.003257173521238699,0.854588618983338,3.6,1.2,26.6,1.2,1.2,1.0,-6.324962905277554e-17,-0.002286978276928196,0.003908608225486439,0.004864889845674729
2.505,-4.726363595218274e-18,0.0013436467518903189,0.14081454215849062,0.003238639667580492,0.8546031719536843,3.6,1.2,26.6,1.2,1.2,1.0,-1.2572127163280609e-16,-0.0022739914988282074,0.00388636760109659,0.004837128306805148
2.508,-6.986901358306372e-18,0.0013359794090033756,0.1408261680482422,0.003220211196236988,0.8546176418781631,3.6,1.2,26.6,1.2,1.2,1.0,-1.8585157613094951e-16,-0.002261078144680335,0.0038642534354843858,0.004809525872412152
2.511,-9.130935509578157e-18,0.0013283560054710947,0.140837727784218,0.0032018875091624254,0.8546320292327942,3.6,1.2,26.6,1.2,1.2,1.0,-2.4288288455477897e-16,-0.002248237804429597,0.0038422650109949104,0.004782081619695941
2.5140000000000002,-1.1129208581274045e-17,0.0013207762864726386,0.1408492217426484,0.0031836680116587883,0.8546463344908659,3.6,1.2,26.6,1.2,1.2,1.0,-2.9603694826188963e-16,-0.002235470070223379,0.0038204016139905457,0.0047547946313014995
2.517,-1.2951727639934172e-17,0.0013132399986876037,0.14086065029764874,0.003165552112354471,0.8546605581229549,3.6,1.2,26.6,1.2,1.2,1.0,-3.44515955222249e-16,-0.0022227745364002405,0.003798662534825365,0.004727663995275373
2.52,-1.456780290528539e-17,0.0013057468902840067,0.140872013821233,0.003147539223182924,0.8546747005969458,3.6,1.2,26.6,1.2,1.2,1.0,-3.8750355728059144e-16,-0.0022101507994787004,0.0037770470678195086,0.004700688805022424
2.523,-1.5946086369125612e-17,0.0012982967109062813,0.14088331268332788,0.0031296287593613275,0.8546887623780502,3.6,1.2,26.6,1.2,1.2,1.0,-4.241658974187413e-16,-0.002197598458146055,0.0037555545112335927,0.004673868159262613
2.5260000000000002,-1.7054610414210844e-17,0.0012908892116632656,0.14089454725178663,0.003111820139369239,0.8547027439288266,3.6,1.2,26.6,1.2,1.2,1.0,-4.536526370180085e-16,-0.002185117113247168,0.0037341841672430868,0.004647201161987757
2.529,-1.7860826433140778e-17,0.0012835241451161947,0.14090571789240305,0.0030941127849272586,0.8547166457091993,3.6,1.2,26.6,1.2,1.2,1.0,-4.750979831215447e-16,-0.002172706367773276,0.00371293534191271,0.004620686922418301
2.532,-1.8331643447245163e-17,0.0012762012652666865,0.14091682496892532,0.0030765061209756714,0.854730468176478,3.6,1.2,26.6,1.2,1.2,1.0,-4.876217156967214e-16,-0.002160365826850782,0.0036918073451708056,0.004594324554960071
