Time,x_Normal_Hematopoietic_Stem_Cell,y_Leukemic_Cell,a,b,c,A,B,C,compartment,Normal_Cells_Growth,Normal_Cells_Removal,Leukemic_Cells_Growth,Leukemic_Cells_Removal
39.0,0.9933050581863595,2.2979592738420314,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.08202328021137442,0.09933050581863595,0.2605758241861769,0.22979592738420315
40.0,0.976029318463524,2.3286123681759157,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.08035999747191443,0.09760293184635241,0.26338582385772286,0.23286123681759158
41.0,0.9588238272307907,2.3590061896801466,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.0787154806287436,0.09588238272307908,0.2661618948531715,0.23590061896801467
42.0,0.9416999527097973,2.3891328872089375,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.07709023546740874,0.09416999527097974,0.26890352321518585,0.23891328872089376
43.0,0.9246683192709638,2.418984826661654,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.07548471961441769,0.09246683192709639,0.27161023673509477,0.2418984826661654
44.0,0.9077391653220341,2.448554674316327,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.0738993644014876,0.09077391653220342,0.27428159256643525,0.2448554674316327
45.0,0.8909222447335271,2.4778353700541222,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.07233456908529133,0.08909222447335272,0.27691718060385506,0.24778353700541222
46.0,0.8742266160023943,2.506820202895907,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.07079068595529506,0.08742266160023943,0.2795166391147452,0.2506820202895907
47.0,0.8576608435525938,2.5355027695314574,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.0692680342829006,0.08576608435525938,0.28207964209135616,0.25355027695314575
48.0,0.8412327924996285,2.5638770310962036,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.06776688609758348,0.08412327924996285,0.2846059134528976,0.2563877031096204
49.0,0.8249500776228348,2.5919372564201306,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.06628749677583602,0.08249500776228348,0.28709520024138335,0.2591937256420131
50.0,0.8088197552413969,2.619678080028081,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.06483008411994992,0.0808819755241397,0.2895472920343943,0.2619678080028081
51.0,0.7928482095985798,2.6470943151930997,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.06339482350323128,0.07928482095985799,0.29196201648779024,0.26470943151931
52.0,0.7770415591635107,2.6741813021836927,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.06198187009641451,0.07770415591635108,0.2943392376575264,0.2674181302183693
53.0,0.7614054083676397,2.7009346871153586,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.06059134577564894,0.07614054083676397,0.29667885630360397,0.2700934687115359
54.0,0.7459449063651543,2.7273503474062437,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.05922334405489008,0.07459449063651544,0.2989808027104276,0.2727350347406244
55.0,0.7306647860868084,2.75342457636943,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.057877930432726585,0.07306647860868085,0.30124504482576997,0.275342457636943
56.0,0.7155693714942309,2.7791540342584384,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.05655514375927447,0.0715569371494231,0.3034715849043996,0.27791540342584387
57.0,0.700662622872522,2.8045356513465234,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.055255000617266035,0.0700662622872522,0.30566045162953204,0.28045356513465236
58.0,0.6859481424291639,2.829566668603541,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.0539774953202157,0.0685948142429164,0.30781170195865104,0.2829566668603541
59.0,0.6714291417606957,2.854244727409485,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.05272259686443185,0.06714291417606957,0.309925427557467,0.2854244727409485
60.0,0.657108504880399,2.8785677602031923,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.0514902546016337,0.0657108504880399,0.31200174530000896,0.2878567760203192
61.0,0.6429887811687285,2.902533984355896,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.05028039793110957,0.06429887811687285,0.3140407972788809,0.2902533984355896
62.0,0.6290722252108341,2.926141985423383,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.04909293823613478,0.06290722252108341,0.3160427527516694,0.29261419854233833
63.0,0.6153607904553247,2.9493906477304437,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.047927769352865864,0.06153607904553247,0.31800780471431195,0.2949390647730444
64.0,0.6018560639069844,2.9722791138913687,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.04678476362018584,0.06018560639069845,0.31993617152270204,0.2972279113891369
65.0,0.5885594374544972,2.994806881376,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.04566378264886829,0.058855943745449724,0.321828091910326,0.2994806881376
66.0,0.5754720147313929,3.01697373100401,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.04456467183227044,0.05754720147313929,0.32368382652308914,0.301697373100401
67.0,0.5625945945882107,3.0387796793582518,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.0434872597036217,0.056259459458821076,0.32550365650363206,0.3038779679358252
68.0,0.5499277581323249,3.060225054708212,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.042431363218617395,0.05499277581323249,0.3272878821807447,0.3060225054708212
69.0,0.5374718556737069,3.0813104645202443,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.04139678725041277,0.053747185567370695,0.32903682210068774,0.30813104645202444
70.0,0.5252270005992316,3.102036739035462,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.04038332469579841,0.052522700059923155,0.33075081061370376,0.31020367390354625
71.0,0.5131930897398221,3.122404947028587,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.03939075773407836,0.051319308973982215,0.3324301974687021,0.31224049470285875
72.0,0.5013698224573614,3.142416435527716,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.03841885883649556,0.05013698224573614,0.33407534855683313,0.3142416435527716
73.0,0.4897567038608083,3.1620727588544275,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.0374673915820136,0.04897567038608083,0.3356866423215091,0.3162072758854428
74.0,0.4783530591215209,3.181375662636464,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.03653611173579065,0.04783530591215209,0.3372644682144717,0.3181375662636464
75.0,0.46715804311080733,3.200327137663912,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.03562476748307222,0.04671580431108074,0.33880922867024865,0.3200327137663912
76.0,0.4561706496695197,3.2189293616754657,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.034733100491771404,0.045617064966951976,0.34032133586092556,0.3218929361675466
77.0,0.4453896718265813,3.237184685858357,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.03386084320751282,0.04453896718265813,0.3418012135447542,0.3237184685858357
78.0,0.4348138249785879,3.255095662034047,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.03300772712448555,0.043481382497858795,0.3432492909910662,0.3255095662034047
79.0,0.4244416795806775,3.272665008002715,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.03217347833679017,0.042444167958067755,0.34466600547980103,0.32726650080027153
80.0,0.4142716922855193,3.289895604848429,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.03135781964750017,0.041427169228551934,0.34605180039176964,0.32898956048484296
81.0,0.4043022178074122,3.3067904879868224,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.03056047138581084,0.040430221780741224,0.34740712417067493,0.33067904879868226
82.0,0.3945313310506259,3.3233528182908585,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.02978113915228801,0.03945313310506259,0.34873243998904047,0.3323352818290859
83.0,0.3849571212244759,3.3395859027743495,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.02901953400799706,0.038495712122447595,0.3500282089355157,0.33395859027743496
84.0,0.3755776841943698,3.355493183590796,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.028275371965449256,0.03755776841943698,0.3512948900128568,0.33554931835907964
85.0,0.36639098476652854,3.3710782133755006,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.027548364476843737,0.03663909847665286,0.35253294757212744,0.3371078213375501
86.0,0.35739492940244055,3.3863446526824217,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.02683822340410495,0.035739492940244054,0.3537428468983526,0.3386344652682422
