Time,A,Gi,Gp,B,k1,k2,k3,k4,k5,GE,b,compartment,The_uptake_of_glutamate_and_Consumption_of_glutamate_and_ammonia,Diffusion_of_glutamate,Consumption_of_glutamate_to_produce_ammonia,Diffusion_of_ammonia,The_synthesis_of_biomass_from_ammonia_and_glutamate
6.6000000000000005,0.4630933429142342,0.4665840427356877,0.4546595328793291,330762798186.4199,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,3.557076723198507,0.9093190657586582,1.0731432982920817,1.8523733716569368,69642041987.59695
6.7,0.3994140621682177,0.4830184157314,0.8288790235078394,331638886749.0167,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,6.764569133139528,1.6577580470156787,1.1109423561822198,1.5976562486728707,109794339060.89893
6.800000000000001,0.368420920842605,0.5917931173102304,1.5500489251718992,333089020248.8562,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,12.904729455393298,3.1000978503437984,1.36112416981353,1.47368368337042,190217297470.63657
6.9,0.3830523393726771,0.8611274968227305,2.913642720733166,335777804810.4539,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,24.03120828424852,5.827285441466332,1.9805932426922799,1.5322093574907083,374754106764.4591
7.0,0.46990654571815826,1.4107829329602355,5.339812805903018,341540202786.0396,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,41.58376716993281,10.679625611806037,3.2448007458085413,1.879626182872633,856997113575.7672
7.1000000000000005,0.6745699469581274,2.403959676720811,9.080829651402214,355640341849.58746,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,60.8667968428164,18.161659302804427,5.5291072564578645,2.6982797878325098,2178529958689.5535
7.2,1.05439195540531,3.9300541734001793,13.2585759276746,391670217933.2289,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,62.17904365380541,26.5171518553492,9.039124598820411,4.21756782162124,5475446166757.606
7.300000000000001,1.633253337476803,5.715810232177875,15.003050356947435,475169307008.8693,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,24.33130660927597,30.00610071389487,13.146363534009112,6.533013349907212,11643445144260.936
7.4,2.323703163659394,7.012527913614005,12.042724019588366,624190100331.5281,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,-24.53857681466141,24.085448039176732,16.12881420131221,9.294812654637576,17467158437388.768
7.5,2.9271189282600356,7.236411513804656,6.795877293681917,798373047150.5339,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,-35.58138079602254,13.591754587363834,16.643746481750707,11.708475713040142,15881508947404.258
7.6000000000000005,3.276574021936154,6.574648291760848,2.965777463621467,923446573249.0922,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,-21.02096300727128,5.931554927242934,15.12169107104995,13.106296087744616,8973674624418.764
7.7,3.342279625957658,5.562561682981596,1.1612049703431,984673367292.0566,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,-8.634815398687719,2.3224099406862,12.79389187085767,13.369118503830633,3821587953265.786
7.800000000000001,3.1912497304580016,4.552575876921687,0.4668644076534068,1009525194372.044,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,-3.0979364680854404,0.9337288153068136,10.47092451691988,12.764998921832007,1504072320391.7466
7.9,2.9108844285635938,3.673200301366088,0.2112032741810582,1019463758051.3242,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,-1.0876308549661182,0.4224065483621164,8.448360693142002,11.643537714254375,626754413228.9426
8.0,2.5716783216446295,2.9457772529136967,0.11288485249746988,1023826316611.6608,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,-0.3783781844829175,0.22576970499493976,6.775287681701502,10.286713286578518,297220391781.6384
8.1,2.2206865645032954,2.3564351793057754,0.07256051245241874,1026044358859.7389,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,-0.10823407513181005,0.14512102490483747,5.419800912403283,8.882746258013182,165330790876.9769
8.200000000000001,1.8858014936758778,1.8834632871650179,0.05598719572857049,1027375349515.5443,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,0.01585848984043914,0.11197439145714098,4.33196556047954,7.543205974703511,108471046918.2251
8.3,1.5816147539348442,1.5058995612013804,0.05119294283739723,1028316612963.4421,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,0.09703324393122481,0.10238588567479447,3.4635689907631746,6.326459015739377,83260239436.71336
8.4,1.3142269627915792,1.2058247984435733,0.05447184469020059,1029091616330.8582,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,0.18044327460013992,0.10894368938040118,2.7733970364202185,5.256907851166317,73670988311.51491
8.5,1.0846763720808228,0.9687390241778258,0.06611684904973944,1029822149882.6178,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,0.29945743954158216,0.13223369809947888,2.228099755608999,4.338705488323291,73854090890.05185
8.6,0.8912488901045038,0.7834767750439355,0.089760030210427,1030596437389.6885,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,0.49856139580858283,0.179520060420854,1.8019965826010516,3.5649955604180152,82446197232.61569
8.700000000000001,0.7310146119337055,0.6422217166604912,0.13381205908012808,1031503638792.1077,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,0.856881919890854,0.26762411816025616,1.4771099483191297,2.924058447734822,100900211350.82808
8.8,0.6009018666571205,0.5409914466485135,0.21541121912159122,1032661658096.7611,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,1.5279591906857486,0.43082243824318245,1.244280327291581,2.403607466628482,133668761474.5903
8.9,0.4985971617866398,0.4810956101769434,0.368772235860835,1034255068001.9469,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,2.8157364524042565,0.73754447172167,1.1065199034069697,1.9943886471465593,190167228055.81003
9.0,0.4235957220247929,0.4724720795190975,0.6617132852666117,1036608652794.4512,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,5.315504886686922,1.3234265705332233,1.086685782893924,1.6943828880991716,290560282571.38074
9.1,0.3788565242306956,0.540479878947141,1.2259328423945481,1040365845699.5475,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,10.138538679398932,2.4518656847890963,1.2431037215784242,1.5154260969227824,483200679840.9482
9.200000000000001,0.37372906946455153,0.7382302849318422,2.3028607006448496,1046998225756.0198,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,19.1073785514078,4.605721401289699,1.6979296553432368,1.4949162778582061,901094821140.1725
9.3,0.4288475670267227,1.1641759316075804,4.274200645612278,1060392622218.6862,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,34.21543733197217,8.548401291224556,2.6776046426974345,1.7153902681068909,1943679049615.6726
9.4,0.5822282124970709,1.9697105027966428,7.522603263506189,1091665962143.1969,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,54.103995529706665,15.045206527012377,4.5303341564322785,2.3289128499882836,4781357018761.612
9.5,0.8891593013164591,3.2964218160883525,11.750325002432634,1171191465100.7192,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,65.39591329715972,23.500650004865268,7.58177017700321,3.5566372052658366,12236503921260.23
9.600000000000001,1.3943345986619144,5.045734064998456,14.813031075145007,1365382854257.8271,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,42.78042817295784,29.626062150290014,11.605188349496448,5.577338394647658,28201056768931.145
9.700000000000001,2.0599541056428663,6.620590610597031,13.629583357183181,1754925000520.883,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,-8.719618087476476,27.259166714366362,15.22735840437317,8.239816422571465,49271829212838.58
9.8,2.7193523821680854,7.268273196669453,8.744211827546398,2297064112172.477,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,-36.153535132607516,17.488423655092795,16.71702835233974,10.877409528672342,54620953223349.78
9.9,3.1747359191337474,6.882448956850236,4.14620264666271,2763757273158.453,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,-27.14975109054849,8.29240529332542,15.829632600755541,12.69894367653499,36379609134779.13
10.0,3.3427763832668527,5.949574739462757,1.6658571638999844,3022831599637.124,0.3426,5.3,4.0,2.0,2.3,30.0,0.1,1.0,-12.391836391954023,3.331714327799969,13.684021900764339,13.37110553306741,16832903727568.613
