Time,R,L,V,E,u,T,delta,pi,p,alpha,k,beta,sigma,z,Blood,R_Death,R_Birth,R_to_L,R_to_E,L_Death,L_to_E,E_Death,V_Death,V_Creation
12.0,834268523.8486714,34325.90464028317,156864.5482663349,1958.108636708416,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,33370740.95394686,119325604.87562846,5365.553360180099,21462.213440720396,1373.0361856113266,9885.860536401551,31329.738187334657,588242.0559987559,587432.5910125248
13.0,918176782.120693,29582.90328162214,160526.85509180598,2034.5850336296166,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,36727071.28482772,118212340.12017548,6043.0732813381155,24172.293125352462,1183.3161312648856,8519.876145107175,32553.360538073866,601975.7065942724,610375.510088885
14.0,996274682.2583311,26914.27282000365,174467.53082796955,2247.627902526141,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,39850987.29033324,114158179.51593038,7126.520937441267,28506.083749765072,1076.570912800146,7751.310572161051,35962.04644041826,654253.2406048859,674288.3707578423
15.0,1065761867.9037849,26175.605946294243,202078.82616700686,2646.452888435958,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,42630474.716151394,106897008.86703299,8830.08419682169,35320.33678728677,1047.0242378517698,7538.574512532741,42343.24621497533,757795.5981262757,793935.8665307873
16.0,1123799210.9095654,27493.222361713393,249142.74747416028,3312.4614241861436,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,44951968.43638262,96441071.7008217,11479.443343627398,45917.77337450959,1099.7288944685358,7918.048040173457,52999.3827869783,934285.3030281011,993738.4272558431
17.0,1167934085.1280797,31296.39682125074,324465.4992342686,4366.475828305031,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,46717363.40512319,83387316.13806269,15537.126956155844,62148.50782462338,1251.8558728500295,9013.362284520212,69863.6132528805,1216745.6221285074,1309942.7484915094
18.0,1196754768.437479,38346.7634268538,439944.74656902597,5966.263213037238,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,47870190.73749916,69056913.88324806,21586.7449055255,86346.979622102,1533.870537074152,11043.867866933893,95460.2114085958,1649792.7996338473,1789878.9639111713
19.0,1210439694.9177139,49710.37559778577,609154.7679008779,8282.306709787865,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,48417587.796708554,55165458.38521363,30231.14956803998,120924.59827215993,1988.415023911431,14316.5881721623,132516.90735660584,2284330.379628292,2484692.0129363593
20.0,1210752874.0474105,66600.93410169549,843658.2047203337,11443.693409047492,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,48430114.96189642,43139085.78753234,41879.92543923172,167519.7017569269,2664.0373640678195,19181.0690212883,183099.09454475986,3163718.2677012514,3433108.0227142475
21.0,1200427381.0563436,90048.24905121731,1147289.7732352011,15462.143293425393,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,48017095.24225374,33642740.44381794,56466.7603696958,225867.0414787832,3601.9299620486927,25933.895726750583,247394.2926948063,4302336.649632004,4638642.988027618
22.0,1182371349.9892924,120430.07516185957,1510323.7927622262,20163.57408576071,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,47294853.999571696,26632947.413503304,73216.30685253808,292865.2274101523,4817.203006474383,34683.86164661555,322617.18537217134,5663714.222858348,6049072.225728213
23.0,1159130883.9803257,157016.09099889355,1906611.0002697702,25167.36480828189,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,46365235.35921303,21697872.846623674,90610.47946012176,362441.91784048703,6280.643639955742,45220.63420768134,402677.83693251025,7149791.251011638,7550209.442484567
24.0,1132704032.8820252,197737.29065651572,2296254.4311341667,29940.261223449594,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,45308161.31528101,18353916.856467813,106640.04284142454,426560.1713656981,7909.491626260628,56948.33970907652,479044.1795751935,8610954.116753126,8982078.367034879
25.0,1104576496.3319848,239347.59836293364,2633984.258568709,33916.79541080165,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,44183059.85327939,16191090.941116195,119286.9212526604,477147.6850106416,9573.903934517346,68932.10832852489,542668.7265728264,9877440.969632657,10175038.623240495
26.0,1075837810.5407913,277987.2155228577,2880371.526964813,36641.70960432137,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,43033512.42163165,14909349.721036173,127051.31648166824,508205.265926673,11119.488620914308,80060.318070583,586267.3536691419,10801393.226118049,10992512.881296411
27.0,1047293434.4059672,309974.0391970705,3011384.5008444088,37876.43530271433,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,41891737.37623869,14307106.272403227,129305.93186445584,517223.72745782335,12398.961567882821,89272.5232887563,606022.9648434293,11292691.878166532,11362930.590814298
28.0,1019559066.453931,332546.16135258484,3022636.6931101116,37631.668320799385,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,40782362.65815724,14257642.873686682,126352.02244732641,505408.08978930564,13301.846454103394,95773.29446954443,602106.6931327902,11334887.59916292,11289500.496239815
29.0,993128713.1245354,344312.27929745574,2927500.5790559137,36125.1722410422,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,39725148.52498142,14686954.005615098,119202.7801927144,476811.1207708576,13772.49117189823,99161.93643766725,578002.7558566752,10978127.171459677,10837551.67231266
30.0,968417595.1285075,345320.60596032895,2750974.3543301444,33695.621031880255,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,38736703.8051403,15556092.021192266,109227.77070770446,436911.08283081785,13812.824238413159,99452.33451657473,539129.9365100841,10316153.828738041,10108686.309564076
31.0,945790093.2777652,336801.19882656686,2522290.1169836377,30711.064936413615,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,37831603.73111061,16847680.385186538,97807.83720563712,391231.3488225485,13472.047953062674,96998.74526205125,491377.03898261784,9458587.938688641,9213319.480924085
32.0,925578667.5710839,320726.86158324,2268781.212907724,27499.527504431855,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,37023146.70284336,18555548.817679178,86097.35517419099,344389.4206967639,12829.0744633296,92369.3361359731,439992.4400709097,8507929.548403965,8249858.251329556
33.0,908094048.9818972,299358.83917511674,2012362.5062563515,24313.805349705653,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,36323761.959275894,20675505.137674384,74923.99106935323,299695.9642774129,11974.35356700467,86215.34568243362,389020.88559529046,7546359.398461318,7294141.604911696
34.0,893624990.8924034,274882.95937938313,1768383.1835188277,21324.055155918097,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,35744999.635696135,23197196.469600584,64791.127656917946,259164.51062767179,10995.318375175326,79166.29230126234,341184.88249468955,6631436.938195604,6397216.546775429
35.0,882430853.3684655,249178.97995715597,1546127.5476230544,18628.02506510404,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,35297234.134738624,26096681.29030336,55938.37670188569,223753.50680754276,9967.15919828624,71763.54622766092,298048.40104166465,5797978.303586454,5588407.519531212
36.0,874727296.1198647,223716.29300812303,1350099.683377352,16268.522754418605,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,34989091.84479459,29330116.410498362,48419.73086685121,193678.92346740485,8948.651720324922,64430.292386339424,260296.3640706977,5062873.81266507,4880556.826325581
37.0,870666864.1966609,199543.66262347862,1181465.4669091112,14251.238160075598,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,34826674.56786644,32829314.916070648,42175.17616244638,168700.70464978553,7981.746504939145,57468.57483556184,228019.81056120957,4430495.500909167,4275371.448022679
38.0,870316908.5662593,177335.64038526182,1039309.719245496,12559.568122156297,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,34812676.34265037,36500180.95273039,37085.68169776088,148342.7267910435,7093.425615410473,51072.6644309554,200953.08995450076,3897411.44717061,3767870.436646889
39.0,873638441.3143207,157464.95339590998,921594.4137535174,11165.545848034064,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,34945537.652572826,40224679.58753042,33010.752593379926,132043.0103735197,6298.5981358364,45349.90657802207,178648.73356854502,3455979.0515756905,3349663.7544102194
