Time,V_bert,V_exp,V_gomp,V_lin,V_log,V_mend,V_surf,a_exp,a_mend,a_log,a_lin,a_surf,a_gomp,a_bert,b_mend,b_log,b_lin,b_surf,b_gomp,b_bert,c_gomp,tumour
25.56,518.5366241085906,412.5708926477299,488.39395979602324,456.36596677477604,451.4634044338504,476.8597282402482,459.32304643459236,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
25.68,520.3542251462413,413.7906061573923,490.15231585200416,457.8880754844421,452.9596161629805,478.45736334811505,460.848575765459,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
25.8,522.1760686608827,415.01392562433796,491.91614862237543,459.4147707851992,454.4604381286074,480.0591972218632,462.378503950328,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
25.919999999999998,524.0021595977847,416.24086167595897,493.685469278337,460.94606357442456,455.96588225324786,481.66523786702106,463.9128404200145,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
26.04,525.832502902209,417.47142496739315,495.46028898499713,462.48196476188224,457.4759604778949,483.2754932984498,465.451594613845,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
26.16,527.6671035194078,418.70562618147346,497.2406189015528,464.0224852697665,458.99068476205457,484.8899715403401,466.99477597967774,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
26.279999999999998,529.5059663946246,419.9434760286785,499.0264701814711,465.5676360327455,460.51006708378264,486.5086806262102,468.542393973924,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
26.4,531.3490964730938,421.18498524708275,500.81785397267095,467.1174279980052,462.034119439722,488.1316285989034,470.09445806156845,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
26.52,533.1964987000405,422.43016460230626,502.61478141770345,468.6718721252927,463.5628538451393,489.7588235105852,471.65097771619,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
26.64,535.04817802068,423.6790248874651,504.4172636539337,470.23097938695986,465.09628233396154,491.3902734227412,473.21196241998257,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
