Time,P,D,I,S,f_D,alpha,k_p,beta,gamma,theta,epsilon,delta,omega,rho,compartment,reaction_1,reaction_2,reaction_3,reaction_4,reaction_5,reaction_6
2.2,4.507255337537676,0.7505286124426868,0.0,4.507255337537676,0.0,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,3.410297571510042,0.74886714202235,1.2620314945105493,0.007505286124426868,0.0,0.0
2.42,4.938696908467983,1.0409998819275015,0.0,4.938696908467983,0.0,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,2.3736499208992385,1.0388962980928436,1.3828351343710352,0.010409998819275014,0.0,0.0
2.64,5.1307996830021825,1.349465250180461,0.0,5.1307996830021825,0.0,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,1.83544588847823,1.3468402398058252,1.4366239112406112,0.01349465250180461,0.0,0.0
2.86,5.1817469837406716,1.6642989368791004,0.0,5.1817469837406716,0.0,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,1.6847880955506334,1.6610932742339612,1.4508891554473882,0.016642989368791005,0.0,0.0
3.08,5.157457426160901,1.979010023296713,0.0,5.157457426160901,9.992007221626409e-16,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,1.7570296966579295,1.9751802674611298,1.4440880793250526,0.01979010023296713,0.0,0.0
3.3,5.094168280253836,2.2902056184500044,0.0,5.094168280253836,1.1834977442504169e-13,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,1.941717407986645,2.2857186864119092,1.4263671184710742,0.022902056184500044,0.0,0.0
3.52,5.010257875315317,2.5961226965805273,0.0,5.010257875315317,1.3094747508546334e-11,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,2.1786796719721258,2.5909514030711924,1.402872205088289,0.025961226965805273,0.0,0.0
3.74,4.914778624367022,2.8958172130875695,0.0,4.914778624367022,1.3167141821313066e-09,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,2.4373551606067894,2.88993711687622,1.3761380148227664,0.028958172130875696,0.0,0.0
3.96,4.812073255379344,3.1887403978304913,0.0,4.812073255379344,1.1930101628809808e-07,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,2.7025866469271644,3.1821275982545556,1.3473805115062165,0.03188740397830491,0.0,0.0
4.18,4.704183998850698,3.474534109920563,0.0,4.704183998850698,9.686334956460207e-06,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,2.966670278495573,3.4671637270276436,1.3171715196781955,0.03474534109920563,0.0,0.0
