Time,soluble_obs,insoluble_obs,M,N,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,P,c_T,s_T,e_T,k_n,k_sol,k_insol,n_n,blocking,soluble,insoluble,R_T,a_T,I_net,C1
14.9,104.47001584642496,327.2213550395363,1.1535868955507103,1.6227291300677504,1.3612183313641486,1.2099410191923978,1.1272145050293483,1.0866434002767893,1.0717143329505503,1.0721892377678066,1.0817248196910254,1.0459344269781738,1.0611648617618108,1.0764161063869369,1.089577083312366,1.0982082912468092,1.09948760053333,1.0903796211921473,1.0680098041367323,1.030168371044342,0.975819045369622,0.9054688463768218,0.8212817934006524,0.7268860193298364,0.6269080250574096,0.526340092409284,0.4298836030913307,0.3414036291990799,0.26358665573547807,0.19783258736623138,0.14435520240280647,0.10242710861277213,0.07069170864618782,0.0474725961476765,0.031031854087082453,0.01975357794276697,0.012250377550986307,0.007404862019450179,0.00436465030800511,0.002509857544147489,0.0014086961045588682,0.0007720648580029529,0.00041338555224727477,0.00021632921341559848,0.00011069366915443559,5.540681586424364e-05,2.7140443098321077e-05,1.301547065977206e-05,6.113123473671319e-06,2.8131520757415375e-06,1.2688541444183728e-06,9.80925024783284e-07,91.239,82.418999999,17.744,7.8115,0.34508,0.34237,0.3586,6.0,14.874111740393822,104.47001584642496,327.2213550395363,95.0774783432404,75.93771460760378,15.301285392396224,1.0
14.924999999999999,104.87925497976451,329.12337447452893,1.1583380177017273,1.6491169358851308,1.3770543082250641,1.2191180613489505,1.1322478054623029,1.08912711040675,1.0726463646080562,1.0721885547489536,1.0811749366423213,1.045124464366463,1.0602219384726486,1.0754679261928235,1.0887547945874978,1.0976629549408856,1.0993939559240504,1.0909259862357168,1.0693752108202876,1.0324914855921237,0.9791665502452358,0.909812184127713,0.8264896063448282,0.7327355524094503,0.6331135565715946,0.532591940782546,0.4358889062222506,0.3469204670168258,0.26844572154695295,0.20194435433434577,0.14770408137130012,0.10505649891418034,0.07268473309921142,0.04893286101324907,0.03206729158366247,0.020464891429028936,0.012724270598586896,0.007711332787253184,0.0045572112073823745,0.0026275029373242194,0.001478639370858372,0.0008125595820846321,0.00043623273456935076,0.00022889914382001172,0.00011744157509834665,5.894351149369521e-05,2.8951212644121374e-05,1.3921617221460988e-05,6.556554277126046e-06,3.025455972864437e-06,1.3683484335634249e-06,1.062880732487769e-06,91.239,82.418999999,17.744,7.8115,0.34508,0.34237,0.3586,6.0,14.939121369296162,104.87925497976451,329.12337447452893,95.46906107980031,75.72222499465973,15.516775005340278,1.0
14.95,105.31018485062802,331.03661023238413,1.1631918691503909,1.6766063989358748,1.3935968084296613,1.2287379856205949,1.1375540580992933,1.0917763011820902,1.0736767499477655,1.0722446962645142,1.0806562642694055,1.044329390648113,1.059283715104869,1.0745163852550175,1.0879214683146121,1.0970983185360605,1.0992720009817067,1.0914349443640776,1.0706953947192104,1.0347646028642494,0.982464002556597,0.9141112085644506,0.831664716014409,0.7385688067358688,0.6393220411973148,0.5388662622803397,0.44193401288330797,0.35249031321116653,0.2733657967335052,0.2061197826848178,0.15111457201402684,0.10774191194954923,0.07472601389798542,0.05043272716219249,0.03313382142126699,0.021199636272286517,0.013215156776327503,0.008029689051973238,0.00475780407804597,0.0027504009078807273,0.00155191129390785,0.000855100966882092,0.0004603022313151932,0.00024217884082862974,0.0001245905708052186,6.270097048615932e-05,3.088042547904001e-05,1.4889751660498796e-05,7.031652293094683e-06,3.2535612530308024e-06,1.4755485896533422e-06,1.151625663751825e-06,91.239,82.418999999,17.744,7.8115,0.34508,0.34237,0.3586,6.0,15.004350973972285,105.31018485062802,331.03661023238413,95.86911066234286,75.49890529378538,15.74009470621462,1.0
14.975,105.76377653168481,332.9612876847288,1.168148421938812,1.7052416670801214,1.4108766971673667,1.2388211334506185,1.1431462436906192,1.094599092466805,1.074810488369759,1.0723606917440625,1.0801706094464394,1.0435502461289512,1.0583508331891889,1.073561916900342,1.0870774515865065,1.0965147087200104,1.0991220568842386,1.0919067806402125,1.071970540579291,1.0369877304347805,0.985711170479627,0.9183654271464529,0.836806405080818,0.7443849333028768,0.6455326311922793,0.545162353838203,0.4480184865000452,0.3581130727301692,0.2783471442016716,0.2103594541835321,0.15458749514738546,0.11048430780276572,0.07681655109443786,0.05197315137251961,0.034232298474432175,0.021958533163456393,0.013723613328654117,0.008360372290705468,0.004966752548190813,0.002878779532195637,0.0016286667821833333,0.0008997906189372649,0.00048565851579284786,0.0002562079422636296,0.0001321642986880403,6.669289039517396e-05,3.2935798244706164e-05,1.592410523377967e-05,7.540677744687306e-06,3.498645056092285e-06,1.5910527856484097e-06,1.2477257832409825e-06,91.239,82.418999999,17.744,7.8115,0.34508,0.34237,0.3586,6.0,15.069806871398098,105.76377653168481,332.9612876847288,96.2776247866068,75.26746081566372,15.97153918433628,1.0
15.0,106.24104330220545,334.89763491781474,1.1732074871988747,1.7350683840284942,1.4289261386320666,1.2493887912524468,1.1490379778922457,1.0976040143547676,1.0760528389786352,1.0725397328569548,1.0797198789865718,1.0427881297099857,1.0574239689166118,1.0726049735294907,1.0862231005369392,1.0959124550862966,1.098944444460624,1.0923417785926135,1.073200831587908,1.0391608743676415,0.988907819698427,0.922574342058937,0.8419139462597993,0.7501830672849517,0.6517444573189235,0.5514794870017994,0.4541418642831505,0.36378862711348303,0.2833900095623585,0.21466394164274732,0.1581236717243545,0.11328465506320774,0.07895735977646853,0.05355510956575116,0.03536359840005622,0.022742323114943307,0.014250235860083178,0.008703839528622801,0.005184392700119697,0.0030128763819454655,0.0017090676667194417,0.0009467349879383604,0.000512369322090677,0.00027102820362316144,0.00014018773036519628,7.093377647178701e-05,3.5125523427107714e-05,1.70291813439465e-05,8.086042127253004e-06,3.7619663286139125e-06,1.7155022769422531e-06,1.351790424714447e-06,91.239,82.418999999,17.744,7.8115,0.34508,0.34237,0.3586,6.0,15.135495443111392,106.24104330220545,334.89763491781474,96.69458788627084,75.02758982316364,16.211410176836367,1.0
15.025,106.74304183528372,336.8458822756355,1.1783686996515848,1.7661335441814816,1.4477786048104861,1.2604632413745724,1.1552435619483237,1.1008000459725833,1.0774093474116684,1.072785191256336,1.0793060911900934,1.0420442061812087,1.0565038380272618,1.0716460299845287,1.0853587827631124,1.0952918919774202,1.0987394856734443,1.092740221451942,1.0743864504027567,1.0412840400160603,0.9920537139055945,0.9267374503061662,0.8469866018683315,0.7559623269348684,0.6579566270026229,0.5578169053451828,0.4603036540093241,0.3695168308409844,0.28849461732715487,0.2190338052708946,0.1617239196138688,0.11614392823441089,0.08114946820331771,0.05517959566295604,0.03652861712450771,0.023551767437663542,0.01479563864353649,0.009060563830720778,0.005411073626141383,0.003152939060782874,0.001793283169774223,0.0009960457466343937,0.0005405059350419293,0.0002866837082950869,0.00014868731228062632,7.543903846893344e-05,3.745833131506449e-05,1.8209793818297267e-05,8.67033108464225e-06,4.044879071598255e-06,1.8495888466301517e-06,1.4644807232611845e-06,91.239,82.418999999,17.744,7.8115,0.34508,0.34237,0.3586,6.0,15.201423126860913,106.74304183528372,336.8458822756355,97.11996985540559,74.77898361481991,16.460016385180097,1.0
15.049999999999999,107.27087333121062,338.8062620171566,1.1836315080575117,1.7984853909288039,1.4674688895642356,1.2720678058610233,1.161778024446538,1.1041966470268783,1.0788858675290056,1.0731006328854624,1.0789313851396507,1.0413197120853401,1.0555911997367569,1.0706855862496443,1.08448487926086,1.0946533599417712,1.0985075047662378,1.0931023930760915,1.0755275798854995,1.043357232553799,0.9951486150852945,0.930854243671348,0.852023623367836,0.7617218126189929,0.6641682227997017,0.5641738223743574,0.46650333144510797,0.3752975084429572,0.29366116792901426,0.22346958984580814,0.1653890511414891,0.11906310579307308,0.08339391645047975,0.05684762080073744,0.0377282705509578,0.02438764782170652,0.015360454945493283,0.009431034753849361,0.005647157914606685,0.0032992256611079182,0.001881490296859289,0.0010478401047081308,0.000570143427516165,0.0003032210382754996,0.00015769108321723804,8.022506834132342e-05,3.994353949982719e-05,1.9471097365761396e-05,9.296322545285921e-06,4.348842809409155e-06,1.9940606721547704e-06,1.5865162280389334e-06,91.239,82.418999999,17.744,7.8115,0.34508,0.34237,0.3586,6.0,15.26759641028262,107.27087333121062,338.8062620171566,97.55372526140842,74.52132706274924,16.717672937250768,1.0
15.075,107.82568531574331,340.7790086100915,1.1889951605916917,1.8321736454444781,1.4880331893104584,1.2842268663688219,1.168657119786283,1.10780375112575,1.0804885550700132,1.0734898131810353,1.0785980173173206,1.0406159534256567,1.0546868550621045,1.0697241661523587,1.0836017833211504,1.0939972046909228,1.0982488271865902,1.0934285767866643,1.0766244018464728,1.0453804556694741,0.9981922822363085,0.9349242075704942,0.8570242504578406,0.767460606252748,0.6703783022584451,0.5705494218691547,0.47274034118646435,0.3811304558074005,0.298889839417684,0.22797182667531182,0.16911987516497187,0.12204317222513263,0.08569175827126924,0.0585602149210894,0.0389634958270066,0.025250767276437325,0.01594533766899799,0.009815758745152706,0.005893021864665022,0.0034520048534262744,0.0019738738495283805,0.001102240781531596,0.0006013606176136434,0.00032068923024320415,0.00016722863637434223,8.530921073561001e-05,4.2591031560741473e-05,2.081857306409203e-05,9.96697731900445e-06,4.675416756148877e-06,2.1497188447282773e-06,1.718670551708316e-06,91.239,82.418999999,17.744,7.8115,0.34508,0.34237,0.3586,6.0,15.334021833979863,107.82568531574331,340.7790086100915,97.99579213961763,74.25429882712764,16.984701172872363,1.0
15.1,108.40867156634324,342.76435783672997,1.1944586901365,1.8672490493685434,1.509509007190814,1.2969659158389542,1.1758974102263213,1.1116318369186793,1.0822239195159369,1.0739567121996614,1.07830838460761,1.0399343200538789,1.0537916561718366,1.0687623234299284,1.0827099045233695,1.0933237798684017,1.0979637817255694,1.093719057275305,1.0776770989377855,1.0473537134981241,1.001184473232986,0.9389468225912662,0.8619877119384906,0.7731777710961965,0.6765858963091168,0.5769428546739891,0.4790140918731784,0.38701543408312516,0.3041807805256902,0.23254102642449356,0.1729171902723882,0.12508511210621978,0.08804405639581685,0.06031842341995161,0.04023524928536222,0.02614194916753235,0.016550959217316776,0.010215259549379798,0.006149056186224539,0.0036115566850605744,0.0020706271928152154,0.0011593766698244255,0.0006342406002717046,0.00033914017611079574,0.00017733140593000066,9.07099588720753e-05,4.541138557204159e-05,2.225810954550883e-05,1.0685488619281153e-05,5.0262890450267345e-06,2.317434092122577e-06,1.8617909445338538e-06,91.239,82.418999999,17.744,7.8115,0.34508,0.34237,0.3586,6.0,15.400705976965753,108.40867156634324,342.76435783672997,98.44609078116572,73.97757181681187,17.26142818318813,1.0
15.125,109.02107483571697,344.7625472502773,1.200020914399622,1.9037637625491193,1.5319353169921217,1.3103115878511646,1.183516249013709,1.1156919028416583,1.0840988027004843,1.0745055192538184,1.0780650140614045,1.0392762793699346,1.0529065025404962,1.067800639565099,1.081809667647339,1.0926334465339056,1.097652700146787,1.0939741200385096,1.07868585366936,1.049277009129943,1.0041249428789096,0.9429215622701316,0.8669132234850724,0.7788723498514374,0.6827900080086665,0.5833532383566138,0.4853239569188312,0.39295217149323936,0.30953411342492965,0.2371776825466104,0.17678178854168022,0.12818991383250652,0.0904518859257166,0.06212330999121817,0.04154450863310421,0.027062038749952666,0.017178012446213024,0.010630078700245904,0.006415666163142998,0.0037781725373748137,0.0021719521046006792,0.0012193826467038395,0.0006688705629910154,0.0003586284654013824,0.00018803254354644286,9.644686404441767e-05,4.841581132272588e-05,2.379596145581111e-05,1.1455255706554243e-05,5.403260631696279e-06,2.4981372882272344e-06,2.016786606862987e-06,91.239,82.418999999,17.744,7.8115,0.34508,0.34237,0.3586,6.0,15.467655462427333,109.02107483571697,344.7625472502773,98.90452374270242,73.69081447264763,17.548185527352373,1.0
15.15,109.66418595943307,346.7738153907846,1.205680422874804,1.9417708696372658,1.5553524384920943,1.3242916881850089,1.1915318511250006,1.1199955322565678,1.086120427467922,1.075140666252463,1.0778705848446533,1.0386433900687204,1.052032349863301,1.0668397295300163,1.0809015163998512,1.0919265756876335,1.0973159190909434,1.0941940530656749,1.0796508501251052,1.0511503464435932,1.00701344478996,0.9468478948098696,0.8717999888669965,0.7845433649920577,0.6889896116173495,0.5897796547915442,0.4916692705619178,0.39894035805137873,0.3149499275197408,0.24188226470359037,0.1807144491711716,0.1313585639683014,0.09291632975040053,0.0639759532723834,0.042892270805308864,0.028011902069688538,0.017827210374617954,0.011060775779479504,0.006693272223417684,0.0039521558194488965,0.0022780594634276134,0.0012824001803912138,0.0007053422788300769,0.00037921176092087336,0.00019936718967977088,0.00010254072260573258,5.161627389671051e-05,2.5438828059556355e-05,1.2279932142074075e-05,5.808273947100543e-06,2.6928359409239933e-06,2.184648205927676e-06,91.239,82.418999999,17.744,7.8115,0.34508,0.34237,0.3586,6.0,15.534876946532792,109.66418595943307,346.7738153907846,99.37097477171278,73.39369145187567,17.845308548124336,1.0
15.174999999999999,110.33934540852398,348.79840169229203,1.2114355671652215,1.9813244249432083,1.5798020878113541,1.3389352321786752,1.1999633179274654,1.1245549090453806,1.0882964074141277,1.0758668337972652,1.0777279320884308,1.038037304536962,1.0511702116586779,1.0658802428960605,1.0799859142096115,1.0912035488424714,1.0969537804612033,1.094379147042517,1.0805722739775823,1.0529737299249933,1.009849731012854,0.95072528249487,0.8766471991581165,0.790189817773187,0.6951836514297866,0.596221148860024,0.4980493265128233,0.4049796442569425,0.32042827829785875,0.24665521786489894,0.18471593788457927,0.13459204697153723,0.09543847856467973,0.06587744709354557,0.04427955236845512,0.028992426443891058,0.018499286675391236,0.011507928870418082,0.0069823103275124705,0.004133822280190287,0.0023891694860230534,0.0013485775023672967,0.0007437522257523405,0.00040095087815371236,0.00021137252439573924,0.00010901360732514838,5.502551236018652e-05,2.7193864011966745e-05,1.316343180112368e-05,6.243416151765414e-06,2.9026159010770105e-06,2.366449563713456e-06,91.239,82.418999999,17.744,7.8115,0.34508,0.34237,0.3586,6.0,15.602377115668485,110.33934540852398,348.79840169229203,99.84530800897895,73.08586452789085,18.153135472109156,1.0
