Time,Mpl,Mrbc,Vin,Vout,Summary_flux_to_RBC,A,B,d,Kin,c,Kout,ModelValue_1,ModelValue_2,ModelValue_5,ModelValue_3,RBC
8.92,200.68610418162498,134.59008083312395,19411.58584277093,11827.195529096707,7584.390313674225,1382.06142698431,1382.06142698431,-0.783006790599975,0.0440064186883752,-0.215608884195034,0.0399798384276102,1382.06142698431,1382.06142698431,-0.215608884195034,-0.783006790599975,2198.0
8.96,198.99123633394066,134.7265012552582,19247.647871820533,11839.183567121176,7408.464304699357,1382.06142698431,1382.06142698431,-0.783006790599975,0.0440064186883752,-0.215608884195034,0.0399798384276102,1382.06142698431,1382.06142698431,-0.215608884195034,-0.783006790599975,2198.0
9.0,197.31004465089657,134.85973536845694,19085.032743051936,11850.891606065747,7234.141136986189,1382.06142698431,1382.06142698431,-0.783006790599975,0.0440064186883752,-0.215608884195034,0.0399798384276102,1382.06142698431,1382.06142698431,-0.215608884195034,-0.783006790599975,2198.0
9.040000000000001,195.6424387684797,134.98981173130576,18923.731715905837,11862.32215553569,7061.409560370146,1382.06142698431,1382.06142698431,-0.783006790599975,0.0440064186883752,-0.215608884195034,0.0399798384276102,1382.06142698431,1382.06142698431,-0.215608884195034,-0.783006790599975,2198.0
9.08,193.9883282637434,135.11675911556014,18763.73604412251,11873.477743868723,6890.258300253787,1382.06142698431,1382.06142698431,-0.783006790599975,0.0440064186883752,-0.215608884195034,0.0399798384276102,1382.06142698431,1382.06142698431,-0.215608884195034,-0.783006790599975,2198.0
9.120000000000001,192.3476226810579,135.24060614616215,18605.036978280918,11884.360886501234,6720.676091779684,1382.06142698431,1382.06142698431,-0.783006790599975,0.0440064186883752,-0.215608884195034,0.0399798384276102,1382.06142698431,1382.06142698431,-0.215608884195034,-0.783006790599975,2198.0
9.16,190.72023155734215,135.36138123052,18447.625768239275,11894.974079753674,6552.651688485601,1382.06142698431,1382.06142698431,-0.783006790599975,0.0440064186883752,-0.215608884195034,0.0399798384276102,1382.06142698431,1382.06142698431,-0.215608884195034,-0.783006790599975,2198.0
9.200000000000001,189.10606444630832,135.47911255744626,18291.493665480168,11905.319800737252,6386.173864742916,1382.06142698431,1382.06142698431,-0.783006790599975,0.0440064186883752,-0.215608884195034,0.0399798384276102,1382.06142698431,1382.06142698431,-0.215608884195034,-0.783006790599975,2198.0
9.24,187.50503094175394,135.59382809609602,18136.631925363457,11915.40050726063,6221.231418102827,1382.06142698431,1382.06142698431,-0.783006790599975,0.0440064186883752,-0.215608884195034,0.0399798384276102,1382.06142698431,1382.06142698431,-0.215608884195034,-0.783006790599975,2198.0
9.28,185.91704069993014,135.7055555949054,17983.031809289914,11925.218637736634,6057.81317155328,1382.06142698431,1382.06142698431,-0.783006790599975,0.0440064186883752,-0.215608884195034,0.0399798384276102,1382.06142698431,1382.06142698431,-0.215608884195034,-0.783006790599975,2198.0
9.32,184.34200346101835,135.81432262624244,17830.684586778545,11934.776615105988,5895.907971672557,1382.06142698431,1382.06142698431,-0.783006790599975,0.0440064186883752,-0.215608884195034,0.0399798384276102,1382.06142698431,1382.06142698431,-0.215608884195034,-0.783006790599975,2198.0
9.36,182.77982906974356,135.92015781207306,17679.581537460468,11944.07695454355,5735.504582916918,1382.06142698431,1382.06142698431,-0.783006790599975,0.0440064186883752,-0.215608884195034,0.0399798384276102,1382.06142698431,1382.06142698431,-0.215608884195034,-0.783006790599975,2198.0
9.4,181.23042749515218,136.02308752512013,17529.71395299191,11953.121973570405,5576.591979421506,1382.06142698431,1382.06142698431,-0.783006790599975,0.0440064186883752,-0.215608884195034,0.0399798384276102,1382.06142698431,1382.06142698431,-0.215608884195034,-0.783006790599975,2198.0
9.44,179.69370884958371,136.1231387685955,17381.073138889296,11961.914045112288,5419.159093777009,1382.06142698431,1382.06142698431,-0.783006790599975,0.0440064186883752,-0.215608884195034,0.0399798384276102,1382.06142698431,1382.06142698431,-0.215608884195034,-0.783006790599975,2198.0
9.48,178.16958340686014,136.22033833730592,17233.650416288612,11970.45552378119,5263.194892507423,1382.06142698431,1382.06142698431,-0.783006790599975,0.0440064186883752,-0.215608884195034,0.0399798384276102,1382.06142698431,1382.06142698431,-0.215608884195034,-0.783006790599975,2198.0
9.52,176.6579616197218,136.31471281748145,17087.437123631924,11978.748745860286,5108.6883777716375,1382.06142698431,1382.06142698431,-0.783006790599975,0.0440064186883752,-0.215608884195034,0.0399798384276102,1382.06142698431,1382.06142698431,-0.215608884195034,-0.783006790599975,2198.0
9.56,175.15875413653157,136.40628858660432,16942.424618283105,11986.796029288897,4955.628588994208,1382.06142698431,1382.06142698431,-0.783006790599975,0.0440064186883752,-0.215608884195034,0.0399798384276102,1382.06142698431,1382.06142698431,-0.215608884195034,-0.783006790599975,2198.0
9.6,173.67187181727496,136.4950918132375,16798.604278075458,11994.599673647412,4804.004604428046,1382.06142698431,1382.06142698431,-0.783006790599975,0.0440064186883752,-0.215608884195034,0.0399798384276102,1382.06142698431,1382.06142698431,-0.215608884195034,-0.783006790599975,2198.0
9.64,172.19722574887584,136.58114845685336,16655.967502793163,12002.16196014224,4653.805542650922,1382.06142698431,1382.06142698431,-0.783006790599975,0.0440064186883752,-0.215608884195034,0.0399798384276102,1382.06142698431,1382.06142698431,-0.215608884195034,-0.783006790599975,2198.0
9.68,170.73472725985383,136.66448440866859,16514.505715589,12009.485163981788,4505.020551607211,1382.06142698431,1382.06142698431,-0.783006790599975,0.0440064186883752,-0.215608884195034,0.0399798384276102,1382.06142698431,1382.06142698431,-0.215608884195034,-0.783006790599975,2198.0
