Time,Susceptible,Exposed,Infected,Recovered,Total_population,beta_o,k,gamma,omega,beta,Wuhan,Susceptible_to_Exposed,Exposed_to_Infected,Infected_to_Recovered
28.0,9997153.207563993,1833.3331214645727,735.7814165747941,277.67789796717614,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,735.5719548776681,261.9044697330645,71.78357078245348
29.0,9996313.894769069,2373.7963543348947,952.7200260454566,359.58885055017294,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,952.3688434182947,339.1134257912201,92.94831846102079
30.0,9995227.229905356,3073.5157940887625,1233.604479208332,465.6498213479864,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,1233.0157081516334,439.0732457961384,120.35168659604406
31.0,9993820.378544554,3979.3702112861397,1597.2723897700516,602.9788543930794,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,1596.2853358970503,568.4808902737041,155.831491618356
32.0,9991999.100284874,5152.005675411806,2068.103377451553,780.790662263889,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,2066.448708679203,736.0000747723044,201.76623360755096
33.0,9989641.48820498,6669.855048059036,2677.643744695158,1011.0130022671405,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,2674.8701042639295,952.8354826005698,261.2336013762043
34.0,9986589.891993945,8634.31886345692,3466.705107740628,1309.0840348565052,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,3462.0562187486335,1233.4728898768653,338.2152170162834
35.0,9982640.517342895,11176.428783545161,4488.071168684995,1694.9827048756906,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,4480.280109323331,1596.6310867309112,437.8607112880768
36.0,9977530.054641996,14465.400934443669,5809.984921777381,2194.5595017842325,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,5796.929917405065,2066.4837812918195,566.827938953523
37.0,9970918.515048414,18719.592751451153,7520.6372796329515,2841.254920501375,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,7498.766149645554,2674.2248616940574,733.7208936382704
38.0,9962367.27978562,24220.47775321702,9733.928116335723,3678.314344827132,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,9697.296696996827,3460.064790391324,949.6517609578294
39.0,9951311.100837206,31330.40733117418,12596.84955752624,4761.64227409333,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,12535.516883738714,4475.7680001095505,1228.9612396818175
40.0,9937022.584853292,40515.03374640939,16298.909761796062,6163.471638502043,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,16196.263441145325,5787.856175910807,1590.1379352705856
41.0,9918567.413868587,52371.400283847855,21084.11309767656,7977.0727498879,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,20912.41971209346,7481.621130349654,2056.9871579224227
42.0,9894748.353887046,67662.75818870995,27266.106411999444,10322.781512242402,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,26979.126153704052,9666.098646564538,2660.1086076610777
43.0,9864036.087421529,87361.05795499902,35247.17061905103,13355.68400441999,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,34767.93629658232,12480.138656277297,3438.749212765237
44.0,9824485.039235428,112697.77165965764,45541.812439892834,17275.3766650201,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,44742.48549753931,16099.665565983712,4443.104763448385
45.0,9773633.269640297,145222.8146134571,58805.63995676318,22338.27578948272,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,57474.47591239094,20746.09562723464,5737.137039821772
46.0,9708387.127272595,186869.79264613576,75870.05182407993,28873.02825718941,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,73657.58344744022,26695.657968049018,7401.958126009062
47.0,9624894.771755587,240022.86399301482,97782.76958870133,37299.59466269737,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,94114.88677820726,34288.946281450124,9539.78478384329
48.0,9518418.422512244,307575.7453187935,125853.29751915252,48152.53464980971,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,119792.43456402158,43939.348249006885,12278.373559266038
49.0,9383224.605468754,392965.7940580465,161700.718645513,62108.88182768771,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,151727.41619165576,56137.91444175035,15775.683811774892
50.0,9212525.580355294,500155.4076081421,207298.4334814719,80020.5785550928,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,190974.21212156405,71450.70106467637,20224.24246888588
51.0,8998524.808368374,633518.2323201272,265006.1923398244,102950.76697167334,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,238466.4796141151,90502.51411455641,25854.269130865607
52.0,8732642.419024399,797571.8161017887,337573.7927976938,132211.97207611814,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,294791.12225360936,113938.71693285323,32934.03679913581
53.0,8406018.658681808,996485.5833709508,428093.3937244761,169402.36422276453,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,359856.1055306364,142354.94098362394,41765.21958515361
54.0,8010402.695174132,1233294.2093504102,539869.4777598947,216433.61771556258,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,432457.19196901115,176184.71086517157,52670.206119733084
55.0,7539503.777339971,1508784.0952152417,676171.4488955284,275540.678549258,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,509799.71930772776,215540.3694901638,65967.96272569665
56.0,6990791.065177082,1820111.3084405218,839837.3435710451,349260.2828113489,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,587112.7397638517,260015.64118988765,81935.37107613473
57.0,6367538.764645824,2159378.260947103,1032719.8799503595,440363.0944567108,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,657588.3868604295,308482.3002241203,100753.18420783701
