Time,Susceptible,Exposed,Infected,Recovered,Total_population,beta_o,k,gamma,omega,beta,Wuhan,Susceptible_to_Exposed,Exposed_to_Infected,Infected_to_Recovered
152.0,355.1957709921816,25.872537500614094,4039.5741580641875,9995579.357533425,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.1434839657553702,3.696073089725228,394.1048944349002
153.0,355.05902969891736,22.55561353009837,3667.3705885198,9995955.014768235,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.13021330427061878,3.2222272820692632,357.7923419865802
154.0,354.93493542678834,19.668472769552224,3329.343387147638,9996296.053204637,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.11817002801308518,2.8097790144399224,324.8140701935107
155.0,354.8223185684196,17.15499095266979,3022.3702947893853,9996605.652395671,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.10724044355694876,2.4507105425255484,294.8654683299472
156.0,354.7201178204764,14.96641305193452,2743.612137010085,9996886.701332098,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.09732144204939064,2.1380568693602098,267.66954369884087
157.0,354.6273701242988,13.06038414744974,2490.4874855018347,9997141.824760208,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.08831950273109934,1.8657672981522277,242.9744495730445
158.0,354.54320152215456,11.400104006084415,2260.6494789601775,9997373.407215495,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.0801497903789932,1.6285846579972014,220.55122381683387
159.0,354.4668188930159,9.953596312225606,2051.9647402795213,9997583.614844497,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.07273534139675154,1.4219409083756136,200.19173202641036
160.0,354.39750245608917,8.693073517518807,1862.4941463259754,9997774.415277684,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.06600632737970116,1.2418664034921842,181.70679140970847
161.0,354.3345989663894,7.594384637324699,1690.4752831756232,9997947.595733205,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.059899388152662804,1.0849110061342946,164.92445910189696
162.0,354.27751556399636,6.636538140518132,1534.3065084840266,9998104.779437795,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.05435702979393906,0.9480759291399988,149.6884772742101
163.0,354.22571417565945,5.801285482982614,1392.5323842951461,9998247.44061603,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.0493270778339682,0.8287542402424474,135.85685194421873
164.0,354.1787064527848,5.072761346124605,1263.8304499205717,9998376.918082261,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.04476218339285091,0.7246794676233228,123.3005625247009
165.0,354.1360491717624,4.437170454186957,1146.9991593205295,9998494.427621035,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.04061937506851052,0.6338808595737863,111.90238498247018
166.0,354.09734006011576,3.882515650914866,1040.9468974050005,9998601.073246865,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.03685965275149409,0.5546445383427451,101.55582025772925
167.0,354.06221401750753,3.398362536724036,944.6820031587932,9998697.857420268,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.033447620158089636,0.48547987690878563,92.16412091017503
168.0,354.0303396758424,2.975634122520416,857.3036623697794,9998785.690363811,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.030351150679411677,0.4250901638408991,83.63940260445804
169.0,354.00141628754915,2.6064334222237786,777.9936468901562,9998865.39850338,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.027541085286183074,0.37234725939862234,75.90183818425054
170.0,353.97517089534136,2.2838887950174294,706.0087816126731,9998937.73215868,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.024990957912495775,0.32626950158980494,68.878922742914
171.0,353.9513557656083,2.0020198417873445,640.6740978383607,9999003.372526536,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.022676746553379572,0.2860025485382147,62.5048056592083
172.0,353.92974606104667,1.7556210766647449,581.376611758023,9999062.938021084,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.020576647656534882,0.25080276014909547,56.719683619724485
173.0,353.910137723243,1.5401605173471247,527.5596529461442,9999116.990048794,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.018670870943139614,0.2200227110266582,51.46924730107877
174.0,353.8923455569402,1.3516920256141487,478.7177233788376,9999166.03823902,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.016941453798621532,0.19309866770316045,46.70417981056277
175.0,353.8762014859734,1.1867787973135429,434.39180961701487,9999210.545210082,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.015372092354388736,0.1695396586478208,42.37969933804558
176.0,353.8615529730463,1.0424270811592569,394.16512845447727,9999250.930891475,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.013947988448272159,0.14891800553316797,38.455144097147254
177.0,353.84826158528074,0.9160285686230834,357.65925944787034,9999287.576450381,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.012655710719550782,0.13086109322778783,34.89359501099368
178.0,353.8362016898046,0.8053102010667842,324.5306233910758,9999320.8278647,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.011483068311272273,0.1150441993937976,31.661532148656743
179.0,353.8252592734264,0.7082907519384025,294.46729163206084,9999350.999158325,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.01041899658092576,0.10118429194966437,28.728523438915484
180.0,353.81533086762204,0.6232428905061389,267.1860768289318,9999378.375349397,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.009453453017645039,0.08903460960903549,26.066940841507414
181.0,353.8063225777897,0.548660456425134,242.42990286660006,9999403.215114081,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.00857732324161225,0.07837998682352537,23.651703753568366
182.0,353.7981491975341,0.483229781521669,219.96540287041063,9999425.753218133,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.0077823352423041225,0.06903275689884107,21.46004466944013
183.0,353.790733396556,0.4258043836820998,199.58071499692446,9999446.202747205,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.007060980753057092,0.06082913683967373,19.471294135814947
184.0,353.78400499687103,0.3753835926482227,181.08351581749827,9999464.757095575,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.006406445146482878,0.05362617389494715,17.666688886670947
185.0,353.77790032019544,0.3310941515404831,164.2992454290588,9999481.59176008,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.005812544207208489,0.0472991172066188,16.029198683304404
186.0,353.7723615863114,0.29217376910822873,149.06947039130858,9999496.865994236,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.005273665858075396,0.041739068133494234,14.543366600846456
187.0,353.767336362743,0.25795661290868593,135.25038535624677,9999510.724321652,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.004784716856951396,0.03685090785029615,13.195162845740791
188.0,353.762777068324,0.22786084457387834,122.71146036839671,9999523.297901701,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.0043410746998033605,0.032551516673290544,11.97185278500115
189.0,353.75864052629134,0.20137794453182892,111.3342222026111,9999534.705759307,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.0039385443090447746,0.028768249021983487,10.861878052308942
190.0,353.7548875591512,0.17806343061325547,101.01114897633546,9999545.055900015,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.0035733187648344226,0.02543760750711784,9.854748705280263
191.0,353.7514826180015,0.15752864135370237,91.64465835610012,9999554.446330365,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.003241943376749064,0.02250406911786586,8.940944513879483
192.0,353.7483934458293,0.13943356891477762,83.14618803758567,9999562.96598493,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.0029412830439440765,0.019919061354458388,8.111825251134896
193.0,353.74559077291417,0.12348066705730289,75.43536345394057,9999570.695565086,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.0026684927210183706,0.01764007765380512,7.3595494939298955
194.0,353.743048040884,0.10940948041983967,68.43924341380418,9999577.708299045,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.0024209906570811083,0.015629910144337036,6.677001026694149
195.0,353.74074115193196,0.09699194674280995,62.0916342571413,9999584.070632625,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.0021964340721455852,0.013855978535837601,6.057721929760962
196.0,353.7386482408719,0.08602828627763652,56.33246624285768,9999589.842857212,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.0019926970460823023,0.012289742892764322,5.495851739119438
197.0,353.73674946833927,0.07634342319733238,51.10722756830869,9999595.07967952,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.0018078504554352214,0.010906192407701312,4.986072228791763
198.0,353.73502683330196,0.06778387502894877,46.36645104665115,9999599.830738226,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.0016401437805152127,0.009683401035010536,4.5235573305623324
199.0,353.7334640029282,0.06021504046861101,42.06524815452098,9999604.141072784,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.0014879885943841489,0.008602140036224363,4.103927675203221
200.0,353.73204615810545,0.053518829063460796,38.162885816161015,9999608.051549178,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.0013499435687048776,0.00764553936351882,3.7232093031104845
