task_fig2a.time/60,task_fig2a.MAPK_PP,task_fig2a.MAPK
27.0,42.674639460558105,197.49896951138393
27.15,40.85557519004741,199.36231275920866
27.3,39.27253523907643,200.9918923298377
27.45,37.95003746282448,202.35495229073564
27.6,36.914378197864956,203.41526937798199
27.75,36.193521837390115,204.1332856361787
27.9,35.816950542685845,204.46643798322708
28.05,35.81548299398358,204.3697118123783
28.2,36.22106912831889,203.79642632333147
28.35,37.06656086662071,202.69923561359684
28.5,38.38544214562645,201.03130584622937
28.65,40.21150491557662,198.7475842577132
28.8,42.5784484835723,195.8060968954827
28.95,45.51937894505421,192.16918140483835
29.1,49.06620025211794,187.80460451305277
29.25,53.24892260771588,182.6865162926102
29.4,58.0949310534964,176.79622793350583
29.55,63.62825562947227,170.1228436894541
29.7,69.86888575765502,162.66380358403666
29.85,76.83217515999655,154.42540559525722
30.0,84.52835674712517,145.4234003072359
30.15,92.9621742829493,135.68379877220158
30.3,102.13259790194768,125.24409342201376
30.45,112.03259597028678,114.15516413073054
30.6,122.64891154000613,102.4843051440396
30.75,133.96173932550104,90.3201097637073
30.9,145.9441693778508,77.78049917865239
31.05,158.56126036933537,65.02570204313918
31.2,171.76800649662965,52.28194401594811
31.35,185.50559659183364,39.87860445288577
31.5,199.69416200884297,28.306247497337534
31.65,214.2178396779404,18.277037779326758
31.8,228.89633809779227,10.64989368181198
31.95,243.43960429685416,5.9283103143812745
32.1,257.39802411572623,3.604336048336074
32.25,270.1222106901506,2.5577671143351512
32.4,280.75081455852626,1.9630372035903645
32.55,288.4171500497918,1.4707564910594104
32.7,292.91757730430845,1.0379217748738696
32.85,295.0832548447049,0.732976025119742
33.0,296.0102691970382,0.5655814710884046
33.15,296.3912432949918,0.48733604246110523
33.3,296.54610729459597,0.4536363196106345
33.45,296.6067378447568,0.44004664726239345
33.6,296.6255432700115,0.43559843962933287
33.75,296.6230641690288,0.43577037789974504
33.9,296.6072687452068,0.43877664971538544
34.05,296.58116593342845,0.44394418535070135
34.2,296.5457762915383,0.4510536034926229
34.35,296.50128938290726,0.46007857839938376
34.5,296.4475089517131,0.4710852992790375
34.65,296.3840095105682,0.484197847521881
34.8,296.3101945227401,0.4995861278747535
34.95,296.2253163985343,0.5174630873830127
35.1,296.12847000802077,0.5380883702535769
35.25,296.0185711363459,0.5617758903654382
35.4,295.8943257776164,0.5889050505251661
35.55,295.75420869615647,0.6199300299701899
35.7,295.59643464841133,0.655391421347225
35.85,295.4189077362467,0.6959358978703342
36.0,295.2191586607679,0.7423419615464527
36.15,294.99428440777444,0.7955461727809826
36.3,294.74088246194896,0.8566724447556883
36.45,294.45496101765815,0.9270744318155454
36.6,294.13182604053867,1.0083939996306304
36.75,293.76596228873,1.1026270930579076
36.9,293.3509107955406,1.2121936546511016
37.05,292.87912740288436,1.340027484124731
37.2,292.34182356406876,1.4897038664241813
37.35,291.72881983072716,1.6655949396283893
37.5,291.02843369161104,1.8730228820213493
37.65,290.22739743030354,2.1184113834760767
37.8,289.3108570142175,2.409495082416391
37.95,288.2624800089452,2.755556899998101
38.1,287.0647668117164,3.1676070685451836
38.25,285.6995949020641,3.658480096787738
38.4,284.1490038635199,4.242811868392391
38.55,282.3962596477003,4.936807383859031
38.7,280.42719693676685,5.757708762646803
38.85,278.2315903505703,6.722853220100524
39.0,275.80456422076713,7.848346738808152
39.15,273.14769385439354,9.14738913895253
39.3,270.26948627980045,10.628555439013526
39.45,267.1851804609044,12.294481393844556
