Time,x_Malignant_Cells,y_Lymphocytes,alpha,k,sigma,compartment,Malignant_Cells_Growth,Malignant_Cells_Death_Lymphocytes,Lymphocytes_Production,Lymphocyte_Death,Lymphocyte_Elimination_Malignant_Cells
31.68,0.25703853532596627,1.173852611747422,2.0,0.2,0.25,1.0,0.5140770706519325,0.3017253560121175,0.25,0.586926305873711,0.05140770706519326
31.86,0.298600275864447,1.1620614007961707,2.0,0.2,0.25,1.0,0.597200551728894,0.3469918548491623,0.25,0.5810307003980854,0.0597200551728894
32.04,0.3473708697526793,1.1583771238783265,2.0,0.2,0.25,1.0,0.6947417395053586,0.4023864690232214,0.25,0.5791885619391632,0.06947417395053586
32.22,0.40405180708020016,1.163780473660836,2.0,0.2,0.25,1.0,0.8081036141604003,0.47022760342731207,0.25,0.581890236830418,0.08081036141604003
32.4,0.4690953320135926,1.1795898090602355,2.0,0.2,0.25,1.0,0.9381906640271852,0.5533400731209615,0.25,0.5897949045301177,0.09381906640271853
32.58,0.5424850854764033,1.2075338268016498,2.0,0.2,0.25,1.0,1.0849701709528066,0.6550690912481414,0.25,0.6037669134008249,0.10849701709528066
32.76,0.6234269454152118,1.249820505040154,2.0,0.2,0.25,1.0,1.2468538908304236,0.7791717797744806,0.25,0.624910252520077,0.12468538908304237
32.94,0.7099540953404597,1.3091730352343103,2.0,0.2,0.25,1.0,1.4199081906809194,0.9294527578738986,0.25,0.6545865176171551,0.14199081906809194
33.12,0.798483761923933,1.388776852666258,2.0,0.2,0.25,1.0,1.596967523847866,1.1089157657898334,0.25,0.694388426333129,0.15969675238478662
33.3,0.8834410239833657,1.4920345873041394,2.0,0.2,0.25,1.0,1.7668820479667313,1.3181245636265673,0.25,0.7460172936520697,0.17668820479667313
33.48,0.9571712161421672,1.6219844295709966,2.0,0.2,0.25,1.0,1.9143424322843343,1.55251680901613,0.25,0.8109922147854983,0.19143424322843344
33.66,1.0105108643275897,1.7802033262387202,2.0,0.2,0.25,1.0,2.0210217286551795,1.7989148018763395,0.25,0.8901016631193601,0.20210217286551796
33.839999999999996,1.0343159234280062,1.9652098496757675,2.0,0.2,0.25,1.0,2.0686318468560123,2.0326478403972046,0.25,0.9826049248378838,0.20686318468560125
34.019999999999996,1.0219789816699054,2.1706943940299506,2.0,0.2,0.25,1.0,2.043957963339811,2.218404046327301,0.25,1.0853471970149753,0.20439579633398108
34.199999999999996,0.9721679537719458,2.384548445352744,2.0,0.2,0.25,1.0,1.9443359075438915,2.3181815827886516,0.25,1.192274222676372,0.19443359075438915
34.379999999999995,0.8902977526526112,2.5898910020917434,2.0,0.2,0.25,1.0,1.7805955053052225,2.3057741387774984,0.25,1.2949455010458717,0.17805955053052225
