Time,Pathogen_0,Susceptible,Exposed,Infected_Symptomatic,Infected_Asymptomatic,Recovered,alpha_1,alpha_2,b,mu,mu_p,beta_1,beta_2,delta,psi,omega,sigma,gamma_S,gamma_A,eta_S,eta_A,Human,Pathogen,Birth_Rate,Exposed_to_Susceptible,Susceptible_to_Exposed,Death_rate_Susceptible,Death_rate_Exposed,Symptomatic_infection_from_Exposed,Asymptomatic_infection_from_Exposed,Death_rate_Symptomatic_infected,Death_rate_Asymptomatic_infected,Recovery_from_Symptomatic_infection,Recovery_from_Asymptomatic_infection,Death_rate_Recovered,Rate_of_pathogen_increase,Death_rate_of_Pathogen
26.1,18151.86352673925,1131.9100636130024,15603.056866348936,27370.39664186638,9175.646041486443,39434.89512026454,0.05,0.1,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,78.01528433174468,223.75305149200688,0.0516490562026613,0.711967484811502,982.9925825799829,421.28253539142133,50.51562515412785,16.934847603548626,1368.519832093319,655.1411273621321,1.7994142643376712,3195.8219662609604,3129.3812720098467
27.0,18184.918296553944,1009.3587698304033,14506.015155454994,26956.017638778783,8944.028719677955,41237.98967923492,0.05,0.1,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,72.53007577727497,199.5270247542228,0.046057040667361306,0.6619094715434114,913.8789547936647,391.6624091972849,49.75083483465929,16.507367725899226,1347.8008819389393,638.6036505850061,1.8816894690634893,3142.803199861776,3135.0799143259
27.900000000000002,18167.050357856242,902.4139407502868,13479.40141915472,26501.737384253032,8702.232600328009,43006.22058298341,0.05,0.1,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,67.3970070957736,178.38583868669468,0.04117714811643559,0.6150650867560299,849.2022894067474,363.9438383171775,48.91240156849892,16.061101554143384,1325.0868692126517,621.3394076634198,1.9623738452015331,3085.2853684417037,3131.999481694416
28.8,18102.120820240147,808.8149393709115,12519.901624561231,26013.184519601145,8452.524091767289,44737.34204826226,0.05,0.1,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,62.59950812280616,159.88270597745955,0.03690622568349469,0.571283111128729,788.7538023473576,338.0373438631533,48.01071374491146,15.600232039488462,1300.6592259800573,603.5102201521845,2.041364917662207,3023.944656548479,3120.8056294094013
29.7,17993.97570631194,726.65575513735,11624.119569812203,25495.544876242846,8196.945968344611,46429.490029089975,0.05,0.1,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,58.120597849061014,143.6409128769986,0.03315730210691728,0.5304085759705308,732.3195328981687,313.8512283849295,47.05534248994008,15.128529387555865,1274.7772438121424,585.2619421398052,2.1185776300273758,2959.401786041515,3102.1614117681784
30.6,17846.402970412782,654.327114074205,10788.638764291638,24953.578929222604,7937.330473510604,48081.14872499565,0.05,0.1,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,53.94319382145819,129.34238395049442,0.029856946215205977,0.4922855868146275,679.6842421503732,291.29324663587425,46.05507387914111,14.649375241825377,1247.6789464611302,566.7253958086571,2.1939428163215515,2892.2244165977904,3076.7198720991637
31.5,17663.097880658723,590.4681749193026,10010.070265258337,24391.641489226455,7675.312869079364,49691.11880962341,0.05,0.1,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,50.05035132629168,116.71813935074272,0.026943062821567776,0.45675950620373795,630.6344267112752,270.2718971619751,45.01794528176102,14.165787690558947,1219.5820744613227,548.0173388522666,2.2674057512831163,2822.9297923766135,3045.1180746255636
32.4,17447.634786603692,533.9255376211026,9285.090222864901,23813.702637561764,7412.345085679303,51258.48724566427,0.05,0.1,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,46.42545111432451,105.54019587896175,0.024363022281650916,0.4236786668693254,584.9606840404888,250.69743601735235,43.95128399896312,13.680446460482292,1190.6851318780882,529.2414391175023,2.3389247730196607,2751.9875180401414,3007.9722372104766
33.300000000000004,17203.446100215635,483.71993288875854,8610.466686406795,23223.369712674114,7149.709303892636,52782.59911318122,0.05,0.1,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,43.052333432033976,95.6149852115872,0.022072140537714054,0.39289559490074205,542.4594012436281,232.4826005329835,42.86174784280272,13.195717982543366,1161.1684856337058,510.48924429793425,2.4084699975344592,2679.8224364620437,2965.8741076771753
34.2,16933.80736156683,439.0190988096085,7983.0780707033655,22623.909678328313,6888.531211142134,54263.03147036588,0.05,0.1,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,39.91539035351683,86.7779943046616,0.02003244147868244,0.3642678523661946,502.93391845431205,215.5431079089909,41.75536641961308,12.713679859220258,1131.1954839164157,491.84112847554843,2.4760221259927953,2606.817528389938,2919.388389134121
