Time,Susceptible,Exposed,Infected,Recovered,Total_Population,r_1,r_2,beta_1,beta_2,alpha,gamma,Wuhan,Susceptible_to_Exposed,Exposed_to_Infected,Infected_to_Recovered
0.35714285714285715,11075468.237100106,3842.6038427135463,1478.726747321507,210.43230986282867,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,1737.3640573863458,537.9645379798966,70.97888387143233
0.39285714285714285,11073428.57304325,5250.85580203027,2026.6909074817572,293.8802472435295,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,2375.0899451746227,735.1198122842378,97.28116355912435
0.42857142857142855,11070640.422884855,7176.124818865045,2775.2578922650014,408.19440402001345,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,3246.42891699589,1004.6574746411064,133.21237882872006
0.4642857142857143,11066829.776291491,9807.4871730461,3798.0573002176607,564.6792352509448,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,4436.548475509544,1373.0482042264541,182.3067504104477
0.5,11061622.88006632,13402.72704729678,5195.60737136149,778.7855150252468,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,6061.30964968619,1876.3817866215493,249.3891538253515
0.5357142857142857,11054510.424459044,18312.896984251285,7105.055637451725,1071.6229192567237,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,8278.019908648977,2563.80557779518,341.0426705976828
0.5714285714285714,11044799.30285818,25015.304879292544,9713.373427461522,1472.0188350702051,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,11299.683268241224,3502.1426831009567,466.24192451815304
0.6071428571428571,11031547.991570747,34157.52240237483,13275.169641860395,2019.316385023452,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,15413.652756599993,4782.053136332477,637.208142809299
0.6428571428571429,11013480.69526247,46615.51798119955,18136.619369220956,2767.16738711442,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,21005.598087796574,6526.172517367937,870.5577297226059
0.6785714285714286,10988874.559525458,63569.39256048268,24767.39029218487,3788.657621879903,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,28589.474583799816,8899.714958467575,1188.8347340248738
0.7142857142857143,10955413.902541324,86600.06697625309,33802.830170058995,5183.200312369155,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,38843.4263079351,12124.009376675434,1622.5358481628318
0.75,10910006.18295169,117809.08071692383,46098.982917633184,7085.753413758019,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,52649.8378240968,16493.27130036934,2212.751180046393
0.7857142857142857,10848557.864135476,159960.15828338222,62802.942155897494,9679.035425249285,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,71134.23485223037,22394.42215967351,3014.5412234830796
0.8214285714285714,10765716.43265512,216633.72768886285,85440.31507437381,13209.52458164702,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,95691.40966508593,30328.721876440803,4101.135123569943
0.8571428571428571,10654601.310184816,292371.2376467365,116019.38643476916,18008.06573368218,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,127976.65404028463,40931.973270543116,5568.93054886892
0.8928571428571429,10506575.865433656,392761.47867006354,157146.8650599942,24515.790836287415,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,169824.59060593697,54986.6070138089,7543.049522879722
0.9285714285714286,10311159.385252377,524383.638506799,212141.3578915709,33315.618349253324,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,223039.68812021537,73413.70939095187,10182.785178795402
0.9642857142857143,10056241.11954472,694473.7502816564,285116.510493135,45168.619680485215,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,288989.66380772286,97226.3250394319,13685.592503670481
