Time,Normal_cells,Tumor_cells,r,beta1,gamma,alpha1,alpha2,beta2,Whole_organism,Normal_cell_growth,Normal_cell_death_inhibition,Tumor_cell_growth
3.5999999999999996,0.001300882174471675,2.6531944358919715,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,0.0005609403914503312,0.003214720903451029,-0.06785455605652795
3.9,0.0007073545270435618,2.633979039896819,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,0.00030501127141608806,0.0017353444279454607,-0.060261578901631106
4.2,0.00038657293630870213,2.617002404086467,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,0.00016669024994364292,0.0009422622696425579,-0.05300589655934955
4.5,0.0002122059265112873,2.6021114833713943,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,9.150319545360871e-05,0.000514303691608973,-0.04638389387786198
4.8,0.00011694307600772092,2.5890998527511133,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,5.042585435689737e-05,0.00028200677803204337,-0.04048104461609425
5.1,6.466474722350203e-05,2.5777520384389354,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,2.7883438997382883e-05,0.0001552547716501431,-0.03528511549325239
5.3999999999999995,3.5863050562590226e-05,2.5678634403064606,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,1.5464147400930677e-05,8.577394523266642e-05,-0.03074220103011298
5.7,1.9941045981071128e-05,2.5592482387110453,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,8.598579026525191e-06,4.7533148450281555e-05,-0.026784058855934274
6.0,1.1112848992374153e-05,2.5517415081762893,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,4.791860485352514e-06,2.6411819749847757e-05,-0.023341040666400872
6.3,6.205175070916709e-06,2.545198656237587,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,2.6756714905296423e-06,1.4709975789114152e-05,-0.020347823610735918
6.6,3.4707605197155378e-06,2.5394937391516352,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,1.496591936085809e-06,8.209335951672301e-06,-0.017745587353017844
6.8999999999999995,1.9442065298418866e-06,2.5345174127522245,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,8.383418556629481e-07,4.589590208025299e-06,-0.015482482068567135
7.199999999999999,1.0904976125682985e-06,2.530174875667233,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,4.702225705379171e-07,2.5698719945305446e-06,-0.013513318078891367
7.5,6.123491078572784e-07,2.5263839606325122,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,2.64044935307575e-07,1.440902777440536e-06,-0.01179894131636596
7.8,3.4420087330609083e-07,2.523073430524888,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,1.4841941656943362e-07,8.088688144373995e-07,-0.010305520804514993
8.1,1.936417391622741e-07,2.5201814862696166,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,8.349831792672425e-08,4.5453468044181457e-07,-0.009003852571855896
8.4,1.0902489037423542e-07,2.51765447646001,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,4.701153272935499e-08,2.5565719487013253e-07,-0.007868724811343033
8.7,6.142274882663235e-08,2.515445785225233,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,2.6485489294039006e-08,1.4390651085971148e-07,-0.0068783576547535195
