Time,Amyloid,n,a,omega,e,k,ka,C,t1,Brain
9.44,1.8705636168903084e-06,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
9.52,2.035269798028594e-06,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
9.6,2.212915322874487e-06,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
9.68,2.404396001631781e-06,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
9.76,2.6106614477994228e-06,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
9.84,2.8327178246412288e-06,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
9.92,3.0716307076739113e-06,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
10.0,3.3285280666150996e-06,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
10.08,3.604603370788162e-06,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
10.16,3.901118822313698e-06,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
10.24,4.219408722083706e-06,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
10.32,4.560882970516822e-06,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
10.4,4.9270307098669974e-06,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
10.48,5.3194241115273044e-06,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
10.56,5.739722312103623e-06,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
10.64,6.189675504919556e-06,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
10.72,6.671129189839142e-06,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
10.8,7.186028587069515e-06,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
10.88,7.736423220827682e-06,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
10.96,8.324471676091072e-06,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
11.040000000000001,8.952446535204217e-06,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
11.120000000000001,9.622739499559607e-06,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
11.200000000000001,1.0337866701126686e-05,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
11.28,1.1100474209824185e-05,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
11.36,1.1913343742508964e-05,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
11.44,1.2779398579798595e-05,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
11.52,1.3701709695723707e-05,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
11.6,1.4683502107204482e-05,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
11.68,1.5728161449346523e-05,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
11.76,1.683924078210719e-05,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
11.84,1.802046763677012e-05,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
11.92,1.927575130677983e-05,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
12.0,2.060919039048592e-05,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
12.08,2.2025080593457425e-05,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
12.16,2.352792279591842e-05,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
12.24,2.5122431393742595e-05,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
12.32,2.6813542919668087e-05,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
12.4,2.8606424952948295e-05,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
12.48,3.0506485322878696e-05,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
12.56,3.251938161796808e-05,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
12.64,3.46510310038628e-05,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
12.72,3.6907620361903426e-05,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
12.8,3.9295616754753127e-05,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
12.88,4.182177822753541e-05,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
12.96,4.449316495325206e-05,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
13.040000000000001,4.7317150731140956e-05,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
13.120000000000001,5.030143484707761e-05,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
13.200000000000001,5.345405430423611e-05,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
13.280000000000001,5.678339643355734e-05,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
13.36,6.0298211893905496e-05,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
13.44,6.400762807023952e-05,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
13.52,6.792116288012462e-05,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
13.6,7.204873899879782e-05,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
13.68,7.640069851144737e-05,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
13.76,8.098781800391919e-05,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
13.84,8.58213241018424e-05,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
13.92,9.09129094687211e-05,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
14.0,9.627474927309532e-05,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
14.08,0.00010191951813598443,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
14.16,0.00010786040757038151,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
14.24,0.00011411114392179122,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
14.32,0.00012068600682368924,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
14.4,0.00012759984817700687,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
14.48,0.00013486811166774082,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
14.56,0.00014250685283168085,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
14.64,0.00015053275968124336,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
14.72,0.00015896317390395875,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
14.8,0.0001678161126468236,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
14.88,0.0001771102908983968,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
14.96,0.00018686514448029712,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
15.040000000000001,0.00019710085366342334,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
15.120000000000001,0.00020783836741888884,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
15.200000000000001,0.00021909942831976892,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
15.280000000000001,0.00023090659810487413,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
15.36,0.0002432832839186494,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
15.44,0.000256253765242187,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
15.52,0.00026984322152723283,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
15.6,0.0002840777605482847,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
15.68,0.00029898444748699404,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
15.76,0.0003145913347628593,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
15.84,0.0003309274926254213,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
15.92,0.0003480230405206175,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
16.0,0.00036590917924905764,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
16.080000000000002,0.00038461822392865663,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
16.16,0.0004041836377777219,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
16.240000000000002,0.0004246400667338168,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
16.32,0.0004460233749228326,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
16.4,0.0004683706809952559,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
16.48,0.000491720395343398,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
16.56,0.0005161122582161282,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
16.64,0.0005415873787479875,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
16.72,0.0005681882749156708,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
16.8,0.0005959589144407529,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
16.88,0.0006249447566533117,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
16.96,0.0006551927953325487,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
17.04,0.0006867516025401699,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
17.12,0.0007196713734648474,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
17.2,0.00075400397229064,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
