Time,N,T,I,u,a1,a2,a3,b1,b2,alpha,c1,c2,c3,c4,d1,d2,r1,r2,s,p,v,compartment,Presence_of_Normal_Cell,Normal_cells_attacked_and_removed,Induction_of_tumor_cell,Tumor_cells_removed_by_immune_system,Initiation_immune_response_against_tumor,Removal_of_immune_response_components,Increase_in_amount_of_drug_at_tumor_site,Decrease_of_chemotherapeutic_drug_at_tumor_site
1.5,0.8021563947666459,0.2835228520150963,0.4055451084081859,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.15870151310162284,0.22742966880638693,0.3047064666004832,0.2849203216847171,0.3319704679150027,0.19609032743829746,0.0,0.0
1.65,0.7923324324030594,0.28641354365580846,0.4251239172757896,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.1645417489653107,0.22693473971798656,0.3065712384994962,0.2878153635378854,0.3320763716826988,0.20678603109495558,0.0,0.0
1.7999999999999998,0.7833996693917645,0.2891493463555362,0.44316711073992754,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.16968462738863857,0.22651950233977186,0.3083130027865536,0.29059024253813265,0.3321750254190962,0.2167749025447071,0.0,0.0
1.95,0.7752503647014056,0.29173125078104284,0.4597774388590741,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.17423723673174318,0.2261647585628007,0.30993619214815676,0.29323048222243175,0.332266762945885,0.22608693509107697,0.0,0.0
2.1,0.7677942979722104,0.2941626785969149,0.4750530527332882,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.17828621397357097,0.22585642730294325,0.3114464956764046,0.295727866536776,0.3323519295893452,0.2347534890143232,0.0,0.0
2.25,0.7609556030086801,0.2964488875439246,0.4890873768040245,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.18190217325837613,0.22558444198223956,0.31285041692684123,0.29807914636490423,0.3324308773441153,0.24280688412613424,0.0,0.0
2.4,0.7546692320230893,0.29859640231674767,0.5019690308990337,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.18514358226076988,0.22534151762123739,0.314154886260364,0.30028459097167526,0.3325039600325156,0.25027995288068255,0.0,0.0
2.55,0.7488790389493405,0.30061259520139694,0.5137817826687457,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.18805922397165264,0.22512247139048927,0.315366994211517,0.30234710891811517,0.3325715290736363,0.2572056315890009,0.0,0.0
2.6999999999999997,0.7435357792018814,0.30250521695810617,0.5246044620158675,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.19069032424853247,0.22492345220357965,0.31649371600685294,0.3042712455032299,0.3326339288380027,0.2636164790024741,0.0,0.0
2.85,0.7385965811542519,0.30428226342073345,0.5345111055758371,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.1930716714615025,0.22474183946843118,0.3175418513824333,0.3060629639824983,0.3326914946685254,0.2695444701433018,0.0,0.0
3.0,0.7340236863886452,0.30595181546548483,0.5435711222556615,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.19523291420906902,0.22457587944527369,0.3185179531182882,0.307729165289639,0.33274455109208606,0.27502079613986297,0.0,0.0
3.15,0.7297835257832489,0.3075217589414735,0.5518493065259085,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.197199531278619,0.22442431349537487,0.31942819007852363,0.3092771482021147,0.3327934089094878,0.2800755307186614,0.0,0.0
3.3,0.7258467370382152,0.30899981546875843,0.5594060876291077,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.19899325136919127,0.22428650780340892,0.3202783942635475,0.3107146967281561,0.3328383650283448,0.28473759537531595,0.0,0.0
3.4499999999999997,0.7221869472329876,0.3103933878149284,0.5662977262192678,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.20063296047928558,0.22416205318736798,0.3210739989235498,0.31204958806391264,0.3328797014066998,0.28903461499694294,0.0,0.0
3.5999999999999996,0.718780431033563,0.31170949855922075,0.572576469128674,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.20213512299676836,0.2240506877316525,0.3218200306007698,0.3132894497711065,0.3329176843665054,0.29299281790464293,0.0,0.0
3.75,0.7156056211545796,0.3129547700822151,0.5782907862000682,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.2035142161265479,0.2239521926379722,0.3225211229475045,0.31444162265592507,0.3329525646731101,0.2966370172759194,0.0,0.0
3.9,0.7126430514784596,0.31413541413219104,0.5834855646193912,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.20478293265792916,0.22386642010461424,0.3231815335802818,0.3155131598455481,0.33298457759093525,0.299990592405746,0.0,0.0
4.05,0.709875067480985,0.3152572112125286,0.5882023217088154,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.20595245604985202,0.22379323408336085,0.3238051529865416,0.3165107458686887,0.33301394311503,0.3030754879124188,0.0,0.0
4.2,0.7072856632560252,0.31632551691033484,0.5924794162014787,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.20703265380850974,0.22373250303273118,0.3243955263926165,0.31744068182706425,0.3330408664325338,0.30591224082896196,0.0,0.0
4.35,0.704860335774021,0.3173452894299591,0.5963522621416818,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.20803224282655539,0.22368410726390484,0.3249558850598619,0.31830889787968625,0.333065538596825,0.3085200336598992,0.0,0.0
4.5,0.7025857664001038,0.3183211077253506,0.5998535089003098,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.20895900725208255,0.22364787943254547,0.3254891701527845,0.31912089614558803,0.3330881370705349,0.31091673520614704,0.0,0.0
4.6499999999999995,0.7004497761181235,0.3192571474592563,0.6030132826772131,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.20981988725419415,0.22362359746194685,0.3259980318831525,0.31988174771573147,0.33310882645920914,0.31311895704301185,0.0,0.0
4.8,0.6984412193096711,0.3201572752612919,0.6058592701959207,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.21062108247889103,0.2236110377043587,0.3264848915378359,0.3205961642732191,0.3331277590520243,0.31514210717690494,0.0,0.0
4.95,0.6965497318397686,0.32102497464061935,0.6084170387333774,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.21136820291371503,0.22360985999979194,0.32695191044641364,0.3212683922149435,0.33314507584084413,0.3170004721769787,0.0,0.0
5.1,0.6947659343223668,0.32186344828277036,0.6107100441254416,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.2120662308275355,0.2236197593703977,0.32740105341344217,0.32190237972196645,0.33316090680753047,0.3187072495282258,0.0,0.0
5.25,0.6930811655040175,0.3226756030628229,0.6127598861244781,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.21271966352761018,0.22364038305049302,0.3278340873762997,0.3225017159444543,0.33317537197242614,0.32027464301281827,0.0,0.0
5.3999999999999995,0.6914873964243554,0.32346407695868257,0.6145864432555274,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.21333257701062175,0.22367133241296674,0.3282526018139251,0.3230696507024512,0.3331885820518917,0.32171392523007436,0.0,0.0
5.55,0.6899773265378482,0.32423130191551497,0.6162079380700126,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.2139086154015318,0.2237122468755529,0.3286580471605277,0.32360919788111053,0.33320063895222857,0.32303548962511774,0.0,0.0
