Time,M,N,S,T,a,d,u1,u2,r1,e1,r2,e2,u3,b,r3,e3,Q1,Q2,B0,tme,nutrient_supply,nutrient_decay,nutrient_consumption_N,nutrient_consumption_T,normal_cell_growth,normal_cell_death,tumor_growth,tumor_death,tumor_killing,virus_therapy,virus_burst,virus_clearance
335.0,0.03772273671714863,0.2870279562537419,0.19340055291846744,0.06514035853019697,0.02,0.02,0.2,0.4,0.8,0.01,0.8,0.04,0.1,0.001,0.5,0.01,5.333333333333334,5.333333333333334,0.0,1.0,0.02,0.003868011058369349,0.011102273088506275,0.005039272542818921,0.00888181847080502,0.008610838687612256,0.004031418034255137,0.003908421511811817,0.00024572725944952876,0.001,0.00012286362972476438,0.001131682101514459
337.5,0.03770070019955723,0.2877048305589233,0.19337667380347678,0.06483380940819881,0.02,0.02,0.2,0.4,0.8,0.01,0.8,0.04,0.1,0.001,0.5,0.01,5.333333333333334,5.333333333333334,0.0,1.0,0.02,0.0038675334760695356,0.011127080634135495,0.005014938565346419,0.008901664507308399,0.008631144916767699,0.004011950852277135,0.0038900285644919287,0.00024442800112937365,0.001,0.00012221400056468683,0.0011310210059867168
340.0,0.03767869344853364,0.2883805468306177,0.19335280469732086,0.06452782650696097,0.02,0.02,0.2,0.4,0.8,0.01,0.8,0.04,0.1,0.001,0.5,0.01,5.333333333333334,5.333333333333334,0.0,1.0,0.02,0.0038670560939464173,0.011151837509969403,0.004990654494457212,0.008921470007975524,0.008651416404918531,0.00399252359556577,0.0038716695904176582,0.00024313241938559457,0.001,0.00012156620969279729,0.0011303608034560091
342.5,0.037656719029858204,0.28905509022782827,0.19332894702600792,0.06422241581639276,0.02,0.02,0.2,0.4,0.8,0.01,0.8,0.04,0.1,0.001,0.5,0.01,5.333333333333334,5.333333333333334,0.0,1.0,0.02,0.0038665789405201586,0.01117654324525075,0.0049664208100998605,0.008941234596200602,0.008671652706834848,0.003973136648079889,0.0038533449489835656,0.00024184054678166243,0.001,0.00012092027339083121,0.0011297015708957461
345.0,0.037634779472182786,0.28972844592172614,0.19330510223436373,0.06391758336569435,0.02,0.02,0.2,0.4,0.8,0.01,0.8,0.04,0.1,0.001,0.5,0.01,5.333333333333334,5.333333333333334,0.0,1.0,0.02,0.003866102044687275,0.01120119737182052,0.0049422379948316055,0.008960957897456417,0.008691853377651784,0.0039537903958652846,0.0038350550019416608,0.00024055241543627658,0.001,0.00012027620771813829,0.0011290433841654836
347.5,0.037612877289128877,0.29040059907794197,0.19328127179484086,0.06361333522908973,0.02,0.02,0.2,0.4,0.8,0.01,0.8,0.04,0.1,0.001,0.5,0.01,5.333333333333334,5.333333333333334,0.0,1.0,0.02,0.0038656254358968175,0.011225799423953664,0.004918106534476007,0.008980639539162932,0.00871201797233826,0.003934485227580806,0.0038168001137453833,0.0002392680571923971,0.001,0.00011963402859619856,0.0011283863186738663
350.0,0.03759101424417654,0.29107153629421606,0.19325745680207707,0.06330967665304797,0.02,0.02,0.2,0.4,0.8,0.01,0.8,0.04,0.1,0.001,0.5,0.01,5.333333333333334,5.333333333333334,0.0,1.0,0.02,0.0038651491360415413,0.011250348970338735,0.004894026840371954,0.009000279176270989,0.008732146088826482,0.003915221472297564,0.003798580599182878,0.00023798749568589372,0.001,0.00011899374784294686,0.0011277304273252962
352.5,0.03756918966350048,0.2917412488678954,0.19323365704660805,0.06300661007893574,0.02,0.02,0.2,0.4,0.8,0.01,0.8,0.04,0.1,0.001,0.5,0.01,5.333333333333334,5.333333333333334,0.0,1.0,0.02,0.0038646731409321612,0.011274845686017606,0.004869999073464971,0.009019876548814086,0.008752237466036861,0.003895999258771977,0.003780396604736144,0.00023671072841097577,0.001,0.00011835536420548789,0.0011270756899050144
355.0,0.037547407058091876,0.2924097200929661,0.1932098746343926,0.06270414280607699,0.02,0.02,0.2,0.4,0.8,0.01,0.8,0.04,0.1,0.001,0.5,0.01,5.333333333333334,5.333333333333334,0.0,1.0,0.02,0.003864197492687852,0.011299289072207962,0.004846023828247674,0.009039431257766371,0.008772291602788983,0.00387681906259814,0.003762248568364619,0.0002354377974168496,0.001,0.0001177188987084248,0.0011264222117427563
357.5,0.03752566812866298,0.29307693680740443,0.1931861107037587,0.0624022800163569,0.02,0.02,0.2,0.4,0.8,0.01,0.8,0.04,0.1,0.001,0.5,0.01,5.333333333333334,5.333333333333334,0.0,1.0,0.02,0.0038637222140751742,0.011323678711758746,0.004822101510162749,0.009058942969407,0.008792308104222133,0.0038576812081302005,0.003744136800981414,0.0002341687250365707,0.001,0.00011708436251828535,0.0011257700438598894
