Time,M,N,Z,q,r,alpha,k1,beta,d1,s,k2,d2,compartment,Increase_in_the_density_of_tumor_cel,Removal_of_tumor_cell_from_the_system,Activation_and_transfer_of_predator_cells_like_CTL_NK_and_macrophage,Removal_of_hunting_predator_cell,Converstion_of_hunting_to_resting_predator_cell,Removal_of_resting_predator_cells
67.5,2.7253608060136743,5.013890127749941,0.24265385966372266,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.096784262087365,4.099397891948575,0.12166397914283587,0.10027780255499882,0.12683063560560487,0.12894359493274754
67.75,2.7247111496519354,5.019206507358289,0.24212826380635735,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.100182829519474,4.102766379901404,0.12152917573122334,0.10038413014716578,0.1267013583206505,0.12879302364541406
68.0,2.724068982046025,5.024462834911086,0.2416079767152026,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.103541287527999,4.106095008007298,0.12139502996235986,0.10048925669822172,0.1265727649008319,0.12864326926381595
68.25,2.7234342413696147,5.029659574728137,0.24109296633324642,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.106859991785104,4.109384132474142,0.12126155465176212,0.10059319149456274,0.12644486630618126,0.12849434364175952
68.5,2.7228068658503277,5.034797191737511,0.240583200529339,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.1101392969534,4.112634108548053,0.12112876224043384,0.10069594383475022,0.12631767313553963,0.12834625825631402
68.75,2.7221867930964048,5.039876154283596,0.24007864407467583,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.113379560214716,4.115845291809691,0.12099666334246977,0.10079752308567193,0.12619119487032937,0.12819902266471003
69.0,2.7215739576606124,5.044896944455595,0.2395792478526296,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.116581154001047,4.119018042933583,0.12086526154467009,0.1008979388891119,0.1260654371373817,0.128052638980249
69.25,2.720968300554718,5.049860017431233,0.23908499072248274,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.119744416297662,4.122152708900725,0.1207345735417383,0.10099720034862467,0.12594041224796373,0.12790712326341278
69.5,2.7203697600670695,5.054765840587186,0.2385958390050838,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.122869698637077,4.125249641086015,0.12060460967091374,0.10109531681174373,0.12581612904345005,0.12776248484106625
69.75,2.719778274602967,5.059614881316576,0.2381117589406413,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,4.125957351265092,4.1283091896188076,0.1204753798952534,0.10119229762633153,0.12569259601444896,0.12761873266347265
