Time,Exposed_Human,Infected_Human,Recovered,Susceptible_Human,Exposed_Mosquito,Infected_Mosquito,Susceptible_Mosquito,Capital_lambda_h,Psi_h,Psi_v,sigma_v,sigma_h,Beta_hv,Beta_vh,Beta_tilde_vh,v_h,v_v,gamma_h,delta_h,rho_h,u_1h,u_2h,u_1v,u_2v,N_h,N_v,f_h,f_v,lambda_h,lambda_v,Baseline_dummy_variable,Human,Mosquito,Human_Immigration,Human_Birth,Human_Loss_of_Immunity,Human_Infection,Human_Susceptible_natural_death,Human_disease_progression,Human_Exposed_natural_death,Human_Recovery,Human_disease_induced_death,Human_Infectious_natural_death,Human_Recovered_natural_death,Mosquito_birth,Mosquito_infection,Mosquito_Susceptible_death,Mosquito_disease_progression,Mosquito_Exposed_death,Mosquito_Infected_death
100.0,0.8388381901744179,22.08012384705272,6.224504955713255,593.044056254594,24.853171042493724,15.816541029785197,2384.330899382366,0.041,5.5e-05,0.13,0.33,4.3,0.022,0.24,0.024,0.1,0.083,0.0035,1.8e-05,0.0027,8.8e-06,2e-07,0.033,4e-05,622.1875232475344,2425.000611454645,0.00013323750464950686,0.13000002445818581,0.00014206259177708912,0.0022244973296465568,0.0,1.0,1.0,0.041,0.03422031377861439,0.01680616338042579,0.08424937566952546,0.07901571020258388,0.0838838190174418,0.00011176470726354792,0.07728043346468452,0.00039744222924694903,0.0029419006037333744,0.0008293375079777232,315.2500794891039,5.303937718669847,309.9630752361158,2.0628131965269794,3.2309128433876597,2.056150720715975
110.0,0.8413976571779168,22.113438788563755,6.813158316785726,592.3388488730443,24.955139226598934,15.88250386564642,2384.1625891736103,0.041,5.5e-05,0.13,0.33,4.3,0.022,0.24,0.024,0.1,0.083,0.0035,1.8e-05,0.0027,8.8e-06,2e-07,0.033,4e-05,622.1068436355716,2425.0002322658556,0.00013322136872711432,0.13000000929063424,0.00014266930904054066,0.0022337525978355947,0.0,1.0,1.0,0.041,0.03421587639995644,0.018395527455321463,0.08450857428658647,0.07891219219711028,0.08413976571779169,0.00011209214753302938,0.07739703575997314,0.0003980418981941476,0.0029459825826757243,0.0009076582763167168,315.25003019456125,5.3256293772289895,309.9411587429519,2.0712765558077115,3.2441683313069323,2.064725650092569
120.0,0.8439655497874816,22.148081642996917,7.3865417810187,591.6477322648298,25.056872894515543,15.947770121607471,2383.995446379031,0.041,5.5e-05,0.13,0.33,4.3,0.022,0.24,0.024,0.1,0.083,0.0035,1.8e-05,0.0027,8.8e-06,2e-07,0.033,4e-05,622.0263212386328,2425.0000893951537,0.00013320526424772655,0.13000000357580616,0.00014326985854274017,0.0022429897176895644,0.0,1.0,1.0,0.041,0.034211447668124804,0.01994366280875049,0.08476528690871517,0.07881059251790482,0.08439655497874816,0.0001124206540754193,0.07751828575048922,0.00039866546957394454,0.0029502410678356257,0.0009839262498174686,315.25001162137,5.34727727324691,309.9194165539796,2.0797204502447904,3.257393565885541,2.073210172835106
130.0,0.8465306071508913,22.18400430767037,7.945127112254275,590.970293450854,25.158392514716365,16.012739232630484,2383.828905466941,0.041,5.5e-05,0.13,0.33,4.3,0.022,0.24,0.024,0.1,0.083,0.0035,1.8e-05,0.0027,8.8e-06,2e-07,0.033,4e-05,621.9459554779295,2425.0000372142877,0.0001331891910955859,0.13000000148857152,0.00014386782889911552,0.002252208619742373,0.0,1.0,1.0,0.041,0.03420702755128612,0.021451843203086542,0.08502161306264755,0.07871085534624027,0.08465306071508914,0.00011274872680408241,0.0776440150768463,0.0003993120775380667,0.0029546695889996095,0.001058205053232755,315.25000483785743,5.368880008883671,309.8977612592021,2.0881465787214584,3.270591064363194,2.0816561240780707
140.0,0.8490895366109159,22.221162452411253,8.489371102185775,590.3061226940877,25.259706535298463,16.077560129249626,2383.6627465342876,0.041,5.5e-05,0.13,0.33,4.3,0.022,0.24,0.024,0.1,0.083,0.0035,1.8e-05,0.0027,8.8e-06,2e-07,0.033,4e-05,621.8657457852956,2425.000013198836,0.00013317314915705912,0.13000000052795346,0.0001444645581483091,0.0022614094402112384,0.0,1.0,1.0,0.041,0.03420261601819126,0.022921301975901594,0.08527831318724292,0.07861292532586497,0.0849089536610916,0.00011307592750678371,0.07777406858343938,0.00039998092414340257,0.0029592621817182054,0.0011305562840410136,315.25000171584867,5.390437437292486,309.8761583079204,2.0965556424297724,3.2837618629247496,2.090082825290655
150.0,0.8516551763266329,22.25950464930015,9.019716448429659,589.6548153267435,25.36079445960815,16.142205657275785,2383.4970066109518,0.041,5.5e-05,0.13,0.33,4.3,0.022,0.24,0.024,0.1,0.083,0.0035,1.8e-05,0.0027,8.8e-06,2e-07,0.033,4e-05,621.7856916008,2425.000006727836,0.00013315713832015997,0.13000000026911346,0.0001450598017993861,0.0022705914704324753,0.0,1.0,1.0,0.041,0.034198213038044,0.02435323441076008,0.08553521064135101,0.07851674780561156,0.08516551763266329,0.00011340396611520568,0.07790826627255053,0.0004006710836874027,0.0029640119395251043,0.0012010396307321702,315.2500008746187,5.411947973012164,309.85461150085484,2.1049459401474766,3.2969032865739907,2.0984867397899367
160.0,0.8542240661563867,22.29899427712079,9.536591753813035,589.0159822776578,25.46166656214156,16.20670330663503,2383.331636761345,0.041,5.5e-05,0.13,0.33,4.3,0.022,0.24,0.024,0.1,0.083,0.0035,1.8e-05,0.0027,8.8e-06,2e-07,0.033,4e-05,621.705792374748,2425.000006630122,0.00013314115847494958,0.13000000026520486,0.00014565380637665724,0.002279755315137361,0.0,1.0,1.0,0.041,0.034193818580611136,0.025748797735295197,0.08579241983542654,0.07842227024070773,0.08542240661563867,0.0001137323817652433,0.07804647996992277,0.00040138189698817425,0.002968913930882133,0.0012697128740053187,315.25000086191585,5.433412966641703,309.833113411046,2.1133183246577496,3.3100166598309606,2.1068714341606505
170.0,0.8567923606538269,22.339596129886868,10.040412321648924,588.3892467533936,25.562333866197605,16.2710842394396,2383.1665865393616,0.041,5.5e-05,0.13,0.33,4.3,0.022,0.24,0.024,0.1,0.083,0.0035,1.8e-05,0.0027,8.8e-06,2e-07,0.033,4e-05,621.6260475655832,2425.0000046449986,0.00013312520951311665,0.13000000018579994,0.00014624685147186952,0.002288901587087363,0.0,1.0,1.0,0.041,0.03418943261610708,0.027109113268452098,0.08605007477758875,0.07832944174931042,0.08567923606538269,0.00011406066252127851,0.07818858645460404,0.00040211273033796365,0.002973963415229599,0.001336631993917591,315.25000060384986,5.454833782223518,309.8116566929092,2.1216737108944015,3.3231034073551684,2.1152409541503143
180.0,0.8593630057528882,22.381271284841496,10.531580680334459,587.7742416681554,25.66279471080201,16.335339000535573,2383.0018677772273,0.041,5.5e-05,0.13,0.33,4.3,0.022,0.24,0.024,0.1,0.083,0.0035,1.8e-05,0.0027,8.8e-06,2e-07,0.033,4e-05,621.5464566390843,2425.0000014885645,0.00013310929132781687,0.1300000000595426,0.0001468388515554491,0.0022980304076305044,0.0,1.0,1.0,0.041,0.03418505511514964,0.02843526783690304,0.08630809462042693,0.07823821276919313,0.08593630057528882,0.00011438920068910956,0.07833444949694524,0.00040286288312714697,0.002979155159740869,0.0014018512409210472,315.2500001935134,5.476210753592355,309.79024295292965,2.130011960996567,3.336163313932291,2.123594071042273
190.0,0.8619389302548126,22.423982338652152,11.010486852522185,587.1706109473713,25.763047455961107,16.3994502923048,2382.8375027379525,0.041,5.5e-05,0.13,0.33,4.3,0.022,0.24,0.024,0.1,0.083,0.0035,1.8e-05,0.0027,8.8e-06,2e-07,0.033,4e-05,621.4670190688005,2425.000000486218,0.00013309340381376008,0.13000000001944872,0.00014742965052561607,0.002307141923976633,0.0,1.0,1.0,0.041,0.03418068604878403,0.0297283145018099,0.08656635797088343,0.0781485352303907,0.08619389302548126,0.00011471838610720416,0.07848393818528253,0.0004036316820957388,0.002984484136510855,0.0014654231728488314,315.25000006320835,5.497544300590516,309.768875402277,2.138332938844772,3.349196169776002,2.131928538318572
