Time,MPF,Wee1,Cdc25_active_total,Cdc25_active,Cdc25Ps216_active,Cdc25_inactive,Cdc25Ps216_inactive,Chk1P,protein_14_3_3,Cdc25Ps216_14_3_3_inactive,p53,p21,p21_MPF,preMPF,Chk1,Rad3_ATM,Wee1_phosphorylated,k1,k1_0,k2,k2_0,k2_1,k_ctak1,k_ctak1_0,k3,k_3,k4,k5,k6,k7,k_Plk1,k7_0,k8,k8_0,k8_1,k9,k9_0,k9_1,k10,k11,k12,k13,k14,k14_0,k15,k16,k17,k18,k_Plk1_0,k18_0,k20,k21,k22,k23,k_23,kex,kin,nucleus,R2_Cdc25_Phosphorylation,R2__Cdc25_Dephosphorylation,R7__Cdc25_inactivation,R7_Cdc25_Activation,R18_Cdc25Ps216_activation,R18__Cdc25Ps216_inactivation,R2__Cdc25_Phosphorylation,R3___Cdc25_protein_14_3_3_unbinding,R12_14_3_3_degradation,R13_14_3_3_synthesis,R6_14_3_3_synthesis_mediated_by_p53,R3___protein_14_3_3_Cdc25_binding,R20_p21_synthesis_mediated_by_p53,R21_p21_natural_synthesis,R22_p21_degradation,R23_p21_MPF_complex_formation,R23__p21_MPF_unbinding,R9_MPF_activation,R9__MPF_inactivation,R15_MPF_degradation,R14_preMPF_synthesis,R1_Chk1_Phosphorylation,R1__Chk1_Dephosphorylation,R4_Rad3_ATM_natural_synthesis,R5_Rad3_ATM_degradation,R10_p53_synthesis,R11_p53_degradation,R16_Wee1_synthesis,R8_Wee1_Phosphorylation,R8__Wee1_Dephosphorylation,R17_Wee1P_degradation,Rex_Nuclear_export_of_iCdc25Ps216_14_3_3,Rin_nuclear_import_of_iCdc25
6030.0,0.2061571446398342,0.010669455160629643,0.05746819095894894,0.05746819095894894,2.0584047925714808e-43,0.0028338090410258364,2.0538990535731936e-48,6.155017488021254e-247,10.02,2.1000036269379226e-45,0.2,0.30000021407225425,0.006184740041360831,0.04565762925261386,0.9999999999999999,0.0,0.0019996203845423213,1.0,10.0,0.1,0.01,0.1,0.0,0.0,100.0,0.0,0.0,1.0,0.01,1.0,0.0,0.01,0.1,0.0,0.01,1.0,0.0,1.0,0.2,1.0,0.1,1.0,0.0005,1.0,0.01,0.0002,0.1,1.0,0.0,0.01,0.1,0.01,0.1,0.1,1.0,1.0,1e-05,1.0,3.5371772035727573e-249,2.058404792571481e-45,0.0005746819095894894,0.0005842099803524332,4.234259642631074e-49,2.058404792571481e-45,1.7442144205226766e-250,0.0,1.002,1.0,0.002,2.05800685168034e-45,0.020000000000000004,0.01,0.030000021407225425,0.006184718752447495,0.006184740041360831,0.0026238613566221067,0.0021995844107781507,0.00042500768286049523,0.0004166666666666667,0.0,6.155017488021254e-246,0.0,0.0,0.2,0.2,0.0002,0.00021995844107781508,1.9996203845423214e-05,0.00019996203845423213,2.1000036269379226e-45,1e-05
6040.0,0.2061500661773692,0.010669831890851241,0.05756347177056581,0.05756347177056581,1.9861354548758727e-43,0.0028385282294089657,1.9817866944904125e-48,1.8535606023389782e-247,10.02,2.026271853777706e-45,0.2,0.3000002129905406,0.006184527566684094,0.04558165612649305,0.9999999999999999,0.0,0.0019996223603594267,1.0,10.0,0.1,0.01,0.1,0.0,0.0,100.0,0.0,0.0,1.0,0.01,1.0,0.0,0.01,0.1,0.0,0.01,1.0,0.0,1.0,0.2,1.0,0.1,1.0,0.0005,1.0,0.01,0.0002,0.1,1.0,0.0,0.01,0.1,0.01,0.1,0.1,1.0,1.0,1e-05,1.0,1.0669738340777273e-249,1.9861354548758728e-45,0.0005756347177056581,0.0005851627823389889,4.085454582186283e-49,1.9861354548758728e-45,5.261384094659475e-251,0.0,1.002,1.0,0.002,1.9857502678793934e-45,0.020000000000000004,0.01,0.03000002129905406,0.00618450637612248,0.006184527566684094,0.002623838375693021,0.0021995865504003875,0.00042497849784933696,0.0004166666666666667,0.0,1.8535606023389783e-246,0.0,0.0,0.2,0.2,0.0002,0.00021995865504003878,1.999622360359427e-05,0.00019996223603594267,2.026271853777706e-45,1e-05
6050.0,0.20614302582002775,0.010670206680064501,0.057658752733990605,0.057658752733990605,1.943345489027176e-43,0.0028432472659841697,1.9390885550867277e-48,-6.579161520357507e-248,10.020000000000001,1.982614867769858e-45,0.2,0.30000021189649034,0.006184316231085005,0.045505934738019366,0.9999999999999999,0.0,0.0019996243308955173,1.0,10.0,0.1,0.01,0.1,0.0,0.0,100.0,0.0,0.0,1.0,0.01,1.0,0.0,0.01,0.1,0.0,0.01,1.0,0.0,1.0,0.2,1.0,0.1,1.0,0.0005,1.0,0.01,0.0002,0.1,1.0,0.0,0.01,0.1,0.01,0.1,0.1,1.0,1.0,1e-05,1.0,-3.793462472992792e-250,1.9433454890271762e-45,0.000576587527339906,0.000586115594564498,3.997295820785636e-49,1.9433454890271762e-45,-1.8706183005224735e-251,0.0,1.0020000000000002,1.0,0.002,1.9429667321969014e-45,0.020000000000000004,0.01,0.030000021189649034,0.006184295142699201,0.006184316231085005,0.0026238154389885723,0.002199588691153569,0.00042494947094236625,0.0004166666666666667,0.0,-6.579161520357507e-247,0.0,0.0,0.2,0.2,0.0002,0.0002199588691153569,1.9996243308955174e-05,0.00019996243308955175,1.982614867769858e-45,1e-05
6060.0,0.20613602330021055,0.010670579528306197,0.057754033849454885,0.057754033849454885,1.8976464557976933e-43,0.0028479661505198877,1.8934874049975228e-48,-1.719382032531176e-247,10.02,1.9359899544698255e-45,0.2,0.30000021079201283,0.00618410602668003,0.04543046382343226,0.9999999999999999,0.0,0.0019996262936945123,1.0,10.0,0.1,0.01,0.1,0.0,0.0,100.0,0.0,0.0,1.0,0.01,1.0,0.0,0.01,0.1,0.0,0.01,1.0,0.0,1.0,0.2,1.0,0.1,1.0,0.0005,1.0,0.01,0.0002,0.1,1.0,0.0,0.01,0.1,0.01,0.1,0.1,1.0,1.0,1e-05,1.0,-9.930124810695008e-250,1.8976464557976935e-45,0.0005775403384945489,0.0005870684167617786,3.903159638352246e-49,1.8976464557976935e-45,-4.896741828460874e-251,0.0,1.002,1.0,0.002,1.897274379807518e-45,0.020000000000000004,0.01,0.030000021079201286,0.006184085044189044,0.00618410602668003,0.0026237925454549423,0.0021995908302736757,0.00042492060102024943,0.0004166666666666667,0.0,-1.719382032531176e-246,0.0,0.0,0.2,0.2,0.0002,0.00021995908302736763,1.9996262936945125e-05,0.00019996262936945123,1.9359899544698255e-45,1e-05
6070.0,0.20612905788631591,0.010670950418439993,0.05784931512878576,0.05784931512878576,1.7462149378597812e-43,0.0028526848711890123,1.742385569033991e-48,-2.6629781604666106e-247,10.02,1.7814962098911107e-45,0.2,0.3000002096876556,0.00618389693386706,0.04535524261189543,0.9999999999999999,0.0,0.0019996282410554116,1.0,10.0,0.1,0.01,0.1,0.0,0.0,100.0,0.0,0.0,1.0,0.01,1.0,0.0,0.01,0.1,0.0,0.01,1.0,0.0,1.0,0.2,1.0,0.1,1.0,0.0005,1.0,0.01,0.0002,0.1,1.0,0.0,0.01,0.1,0.01,0.1,0.1,1.0,1.0,1e-05,1.0,-1.5405146278590718e-249,1.7462149378597812e-45,0.0005784931512878576,0.0005880212449447375,3.59156295819689e-49,1.7462149378597812e-45,-7.596637510669848e-251,0.0,1.002,1.0,0.002,1.745870340172059e-45,0.020000000000000004,0.01,0.030000020968765563,0.006183876058861368,0.00618389693386706,0.0026237697225980705,0.0021995929565046244,0.0004248918850510018,0.0004166666666666667,0.0,-2.6629781604666106e-246,0.0,0.0,0.2,0.2,0.0002,0.00021995929565046243,1.9996282410554116e-05,0.00019996282410554117,1.7814962098911107e-45,1e-05
6080.0,0.2061221296741168,0.01067131935912632,0.05794459656327043,0.05794459656327043,1.5153425631610025e-43,0.0028574034367043442,1.5120173362706767e-48,-3.202910367427897e-247,10.02,1.5459568341842143e-45,0.2,0.3000002085797945,0.006183688953955541,0.04528026946695073,0.9999999999999999,0.0,0.0019996301738224114,1.0,10.0,0.1,0.01,0.1,0.0,0.0,100.0,0.0,0.0,1.0,0.01,1.0,0.0,0.01,0.1,0.0,0.01,1.0,0.0,1.0,0.2,1.0,0.1,1.0,0.0005,1.0,0.01,0.0002,0.1,1.0,0.0,0.01,0.1,0.01,0.1,0.1,1.0,1.0,1e-05,1.0,-1.8559134906892578e-249,1.5153425631610026e-45,0.0005794459656327044,0.0005889740817116399,3.116602334562971e-49,1.5153425631610026e-45,-9.152007091344447e-251,0.0,1.002,1.0,0.002,1.515041370943218e-45,0.020000000000000004,0.01,0.03000002085797945,0.0061836681895146494,0.006183688953955541,0.0026237469465386323,0.0021995950727357483,0.0004248633234139342,0.0004166666666666667,0.0,-3.202910367427897e-246,0.0,0.0,0.2,0.2,0.0002,0.00021995950727357486,1.9996301738224114e-05,0.00019996301738224115,1.5459568341842143e-45,1e-05
6090.0,0.20611523883033167,0.010671686359586131,0.058039878142463086,0.058039878142463086,1.2442799619606015e-43,0.002862121857511686,1.241547657245177e-48,-2.9683010285346935e-247,10.02,1.269415951708495e-45,0.2,0.30000020746404,0.006183482090051021,0.04520554268132291,0.9999999999999999,0.0,0.001999632093300009,1.0,10.0,0.1,0.01,0.1,0.0,0.0,100.0,0.0,0.0,1.0,0.01,1.0,0.0,0.01,0.1,0.0,0.01,1.0,0.0,1.0,0.2,1.0,0.1,1.0,0.0005,1.0,0.01,0.0002,0.1,1.0,0.0,0.01,0.1,0.01,0.1,0.1,1.0,1.0,1e-05,1.0,-1.7227982998630147e-249,1.2442799619606016e-45,0.0005803987814246308,0.0005899269302225336,2.559018918923284e-49,1.2442799619606016e-45,-8.495639253443565e-251,0.0,1.002,1.0,0.002,1.2440307525596674e-45,0.020000000000000004,0.01,0.030000020746404,0.006183461441059966,0.006183482090051021,0.0026237241885878958,0.0021995971827284883,0.0004248349167808466,0.0004166666666666667,0.0,-2.9683010285346933e-246,0.0,0.0,0.2,0.2,0.0002,0.00021995971827284882,1.999632093300009e-05,0.00019996320933000092,1.269415951708495e-45,1e-05
6100.0,0.20610838559792294,0.010672051429735475,0.05813515985404268,0.05813515985404268,9.865147181250897e-44,0.00286684014593209,9.843472985582228e-49,-1.494973828087794e-247,10.02,1.0064423898272715e-45,0.2,0.30000020633517205,0.006183276347187645,0.0451310604707369,0.9999999999999999,0.0,0.0019996340013050135,1.0,10.0,0.1,0.01,0.1,0.0,0.0,100.0,0.0,0.0,1.0,0.01,1.0,0.0,0.01,0.1,0.0,0.01,1.0,0.0,1.0,0.2,1.0,0.1,1.0,0.0005,1.0,0.01,0.0002,0.1,1.0,0.0,0.01,0.1,0.01,0.1,0.1,1.0,1.0,1e-05,1.0,-8.691054247349404e-250,9.865147181250897e-46,0.0005813515985404269,0.0005908797942453769,2.0288223257351195e-49,9.865147181250897e-46,-4.285850987479867e-251,0.0,1.002,1.0,0.002,9.863159931553393e-46,0.020000000000000004,0.01,0.030000020633517206,0.006183255820678609,0.006183276347187645,0.0026237014148487565,0.002199599291200784,0.00042480666613782086,0.0004166666666666667,0.0,-1.4949738280877939e-246,0.0,0.0,0.2,0.2,0.0002,0.0002199599291200784,1.9996340013050135e-05,0.00019996340013050137,1.0064423898272715e-45,1e-05
6110.0,0.20610156785235437,0.010672414598192837,0.05823044173832105,0.05823044173832105,6.714335957961403e-44,0.002871558261653719,6.699569981313873e-49,5.201220758249526e-249,10.02,6.849951690132189e-46,0.2,0.3000002052160296,0.006183071669854012,0.045056823652296386,0.9999999999999999,0.0,0.001999635892266491,1.0,10.0,0.1,0.01,0.1,0.0,0.0,100.0,0.0,0.0,1.0,0.01,1.0,0.0,0.01,0.1,0.0,0.01,1.0,0.0,1.0,0.2,1.0,0.1,1.0,0.0005,1.0,0.01,0.0002,0.1,1.0,0.0,0.01,0.1,0.01,0.1,0.1,1.0,1.0,1e-05,1.0,3.0286938233139506e-251,6.7143359579614024e-46,0.0005823044173832105,0.0005918326599062127,1.3807918770853576e-49,6.7143359579614024e-46,1.4935608439036245e-252,0.0,1.002,1.0,0.002,6.712969121276501e-46,0.020000000000000004,0.01,0.03000002052160296,0.006183051265105176,0.006183071669854012,0.002623678744598851,0.0021996013814578985,0.0004247785627119863,0.0004166666666666667,0.0,5.201220758249526e-248,0.0,0.0,0.2,0.2,0.0002,0.00021996013814578984,1.999635892266491e-05,0.00019996358922664913,6.849951690132189e-46,1e-05
6120.0,0.20609478304190285,0.010672775898292236,0.058325723844920824,0.058325723844920824,2.15912338967307e-44,0.0028762761550539476,2.1543370144449463e-49,2.540610921256845e-248,10.02,2.2026926739230193e-46,0.2,0.30000020413456796,0.006182867991591814,0.04498283351720111,0.9999999999999999,0.0,0.001999637759560784,1.0,10.0,0.1,0.01,0.1,0.0,0.0,100.0,0.0,0.0,1.0,0.01,1.0,0.0,0.01,0.1,0.0,0.01,1.0,0.0,1.0,0.2,1.0,0.1,1.0,0.0005,1.0,0.01,0.0002,0.1,1.0,0.0,0.01,0.1,0.01,0.1,0.1,1.0,1.0,1e-05,1.0,1.4818297099061665e-250,2.15912338967307e-46,0.0005832572384492083,0.0005927855101444419,4.439976195911719e-50,2.15912338967307e-46,7.307498612080706e-252,0.0,1.002,1.0,0.002,2.1586456884738363e-46,0.020000000000000004,0.01,0.0300000204134568,0.006182847698364036,0.006182867991591814,0.0026236563254863204,0.0021996034332133884,0.00042475059597089,0.0004166666666666667,0.0,2.540610921256845e-247,0.0,0.0,0.2,0.2,0.0002,0.00021996034332133883,1.999637759560784e-05,0.0001999637759560784,2.2026926739230193e-46,1e-05
