Time,C,F,P,m,gamma,nu,sigma,Brain
23.55,4.289793531236798,2.0285418391041135,2.4304864109474615,25.0,1.0,1.0,1.0,1.0
23.7,4.395136087650658,2.4162583450371358,2.1332019231732526,25.0,1.0,1.0,1.0,1.0
23.849999999999998,4.516083588374891,2.879744583648443,1.8628870552543688,25.0,1.0,1.0,1.0,1.0
24.0,4.64822792505209,3.430351666344796,1.6198785939164677,25.0,1.0,1.0,1.0,1.0
24.15,4.78725787196017,4.0787593477164785,1.4043736494901273,25.0,1.0,1.0,1.0,1.0
24.3,4.929279288385323,4.833689539658611,1.2161504687667497,25.0,1.0,1.0,1.0,1.0
24.45,5.071110284718271,5.700656130800069,1.0543537618866876,25.0,1.0,1.0,1.0,1.0
24.599999999999998,5.210534795235137,6.681066092934913,0.9173481483288826,25.0,1.0,1.0,1.0,1.0
24.75,5.346379406688157,7.772023250436892,0.8027583350087327,25.0,1.0,1.0,1.0,1.0
24.9,5.478369726950028,8.966952657006564,0.7077079479379665,25.0,1.0,1.0,1.0,1.0
25.05,5.606850005701685,10.256763013210795,0.629150384119524,25.0,1.0,1.0,1.0,1.0
25.2,5.732473649715783,11.631125189322258,0.5641796828142952,25.0,1.0,1.0,1.0,1.0
25.349999999999998,5.855962052830193,13.07952496890562,0.5102336534211451,25.0,1.0,1.0,1.0,1.0
25.5,5.977971473202266,14.591936577268513,0.46516839723389797,25.0,1.0,1.0,1.0,1.0
25.65,6.0990376708573795,16.15917842377021,0.42725079445871017,25.0,1.0,1.0,1.0,1.0
25.8,6.219577760809594,17.77302370156184,0.3950992138510392,25.0,1.0,1.0,1.0,1.0
25.95,6.339888728201466,19.426234346039642,0.3676359774442207,25.0,1.0,1.0,1.0,1.0
26.099999999999998,6.460198540466839,21.11243958551865,0.34399689204883593,25.0,1.0,1.0,1.0,1.0
26.25,6.580657278023424,22.82609060988433,0.3235109112597413,25.0,1.0,1.0,1.0,1.0
26.4,6.701374268578142,24.562334108267557,0.3056375291558941,25.0,1.0,1.0,1.0,1.0
26.55,6.822417974697166,26.316935944085674,0.28994976969280584,25.0,1.0,1.0,1.0,1.0
26.7,6.943835348601682,28.086183870129556,0.2760997757139489,25.0,1.0,1.0,1.0,1.0
26.849999999999998,7.065651330514164,29.8668251799637,0.2638086140041758,25.0,1.0,1.0,1.0,1.0
27.0,7.18787944340024,31.65599460640416,0.25284670901742773,25.0,1.0,1.0,1.0,1.0
27.15,7.3105224582782276,33.45116473228782,0.24302644868360163,25.0,1.0,1.0,1.0,1.0
27.3,7.433576251622308,35.25009739511033,0.23419273600454826,25.0,1.0,1.0,1.0,1.0
27.45,7.557035106372311,37.05079986288819,0.22621335161688494,25.0,1.0,1.0,1.0,1.0
