Time,C,I,U,V,r,K,beta,alpha,delta_u,K_c,delta,delta_i,b,gamma,mu,psi,compartment,Tumor_Growth,Tumor_Cell_Infection,Uninfected_Tumor_Lysis_Drug,Infected_Tumor_Lysis_Drug,Infected_Tumor_Death,Virus_Production,Virus_Decay,Drug_Injection,Drug_Decay
134.0,48.6810551558753,3.5448422572461323e-06,67.4110339737256,5.924785581035535e-06,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,13.418615481329539,4.1873884852736945e-06,13.06296913983848,1.0303839508688613e-06,3.5448422572461323e-06,3.5448422572461323e-06,5.924785581035536e-09,203.0,203.0
134.5,48.6810551558753,3.3561320110967923e-06,67.58878045425877,5.609262619642245e-06,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,13.452759696153826,3.964466940468593e-06,13.09741300834263,9.75531295973055e-07,3.3561320110967923e-06,3.3561320110967923e-06,5.609262619642245e-09,203.0,203.0
135.0,48.6810551558753,3.1774648349215017e-06,67.76637565424497,5.310538498290679e-06,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,13.486868350656799,3.753409489528179e-06,13.131827561570033,9.235978734062929e-07,3.1774648349215017e-06,3.1774648349215017e-06,5.310538498290679e-09,203.0,203.0
135.5,48.6810551558753,3.008307299555763e-06,67.94381645090675,5.0277205530631e-06,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,13.52094086186082,3.5535859612665396e-06,13.16621219438615,8.74428630613302e-07,3.008307299555763e-06,3.008307299555763e-06,5.0277205530631e-09,203.0,203.0
136.0,48.6810551558753,2.8481527052538426e-06,68.12109973296509,4.759960875010235e-06,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,13.554976649437478,3.3643977609525477e-06,13.200566303884605,8.278762845140396e-07,2.8481527052538426e-06,2.8481527052538426e-06,4.759960875010235e-09,203.0,203.0
136.5,48.6810551558753,2.696522338046092e-06,68.29822240081931,4.506458412579619e-06,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,13.588975135738993,3.185279360164491e-06,13.234889289422068,7.838016866907238e-07,2.696522338046092e-06,2.696522338046092e-06,4.506458412579619e-09,203.0,203.0
137.0,48.6810551558753,2.5529625937470366e-06,68.47518136674871,4.266454148246547e-06,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,13.622935745833793,3.015694891326788e-06,13.269180552657314,7.420729874194904e-07,2.5529625937470366e-06,2.5529625937470366e-06,4.2664541482465475e-09,203.0,203.0
137.5,48.6810551558753,2.417043840687603e-06,68.65197355510118,4.0392291977919e-06,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,13.656857907539491,2.855136807677467e-06,13.303439497587798,7.025653050992769e-07,2.417043840687603e-06,2.417043840687603e-06,4.0392291977919e-09,203.0,203.0
138.0,48.6810551558753,2.2883598292716145e-06,68.82859590247944,3.824103829256404e-06,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,13.690741051455388,2.7031251931141464e-06,13.33766553058571,6.651605546268349e-07,2.2883598292716145e-06,2.2883598292716145e-06,3.824103829256405e-09,203.0,203.0
138.5,48.6810551558753,2.1665251278686193e-06,69.00504535794217,3.620433154197778e-06,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,13.724584610997745,2.5592047196313863e-06,13.37185806043697,6.297467020843325e-07,2.1665251278686193e-06,2.1665251278686193e-06,3.620433154197778e-09,203.0,203.0
