Time,P,Q,R,body,reaction_0,reaction_1,reaction_2,reaction_3,reaction_4,reaction_5
10.4,0.483304761289893,0.9182128545645577,0.7104483048329922,1.0,0.09182128545645578,0.07073048347819873,0.8910522824022955,1.0541915512050506,2.803022954066478,2.465299383963718
10.44,0.4841342989755369,0.9114366374870513,0.7239510586161687,1.0,0.09114366374870514,0.07076597383006644,0.8985424224068426,1.0741414412983732,2.8032565351913816,2.465937783307873
10.48,0.48493433349085424,0.9041579317714417,0.7374257352935187,1.0,0.09041579317714417,0.0708001205048848,0.9055196089100819,1.0940385208374317,2.8028605602455676,2.466551860847844
10.52,0.4857028669664298,0.8963532839628743,0.7508467588465726,1.0,0.08963532839628743,0.0708328476319771,0.9120080161688682,1.1138437460649846,2.801765696703442,2.4671418722504654
10.56,0.4864378237574479,0.8880044137269354,0.7641856026883084,1.0,0.08880044137269355,0.07086407638418979,0.9180298213607758,1.1335136738539644,2.7998939889641092,2.467708001914284
10.6,0.48713707592540667,0.8791099354651443,0.7774104327850336,1.0,0.08791099354651444,0.07089372601083291,0.9236000071087365,1.1530001096625466,2.7971580721258578,2.4682503571719563
10.64,0.48779847548221184,0.8696537111960347,0.7904857174516291,1.0,0.08696537111960348,0.07092171513468665,0.9287476705994845,1.1722490834965653,2.793460537484371,2.4687689618253423
10.68,0.4884198270681909,0.8596255899020859,0.8033718159777476,1.0,0.0859625589902086,0.07094796051244626,0.933499323498668,1.1912005222241762,2.788693248928861,2.4692637493592673
10.72,0.4889989253036878,0.8490361854860246,0.8160245572600019,1.0,0.08490361854860246,0.07097237852557656,0.9378742357082264,1.2097878804144258,2.782737624248098,2.4697345559762445
10.76,0.4895335925528604,0.8378807673725517,0.8283948452859661,1.0,0.08378807673725518,0.07099488666541395,0.9419007402755217,1.2279369966249478,2.7754659724289863,2.470181114375205
10.8,0.4900216470978592,0.8261582784748513,0.8404283492745713,1.0,0.08261582784748514,0.07101540207598213,0.9456053831685205,1.2455659223118434,2.766744185744006,2.470603049602797
10.84,0.4904609284393491,0.813887235401311,0.8520653562885072,1.0,0.0813887235401311,0.0710338425011158,0.949008928508742,1.2625850129959109,2.7564375110362134,2.470999878585037
10.88,0.4908493511640186,0.8010810117327496,0.8632409252764452,1.0,0.08010810117327496,0.07105012841612747,0.9521345566387295,1.2788967509772504,2.7444205363230334,2.4713710165472538
10.92,0.4911848948199105,0.7877528998332806,0.8738855538853122,1.0,0.07877528998332806,0.07106418246421453,0.9550050372198401,1.2943968226366234,2.7305923530520744,2.4717157952292497
10.96,0.4914656231263941,0.773936598146795,0.8839265905506939,1.0,0.07739365981467951,0.07107593012423097,0.9576384991426224,1.3089766572695427,2.714898760297893,2.472033497756679
11.0,0.49168972964708135,0.7596599531695208,0.8932906381033161,1.0,0.07596599531695208,0.07108530148307314,0.9600543335890177,1.3225265031274256,2.6973618799273305,2.472323415138572
11.040000000000001,0.49185552854424214,0.744950272721728,0.9019073074463683,1.0,0.0744950272721728,0.07109223071168816,0.962271230750971,1.3349410926689125,2.6781144221209443,2.4725849329248075
11.08,0.4919614796199195,0.7298576609290746,0.909714327005844,1.0,0.07298576609290745,0.0710966569830078,0.9643038605547295,1.346127787583595,2.6574328285521025,2.4728176464518192
11.120000000000001,0.49200623492272144,0.7144244980741273,0.9166636910999059,1.0,0.07144244980741274,0.07109852629834548,0.9661676967988101,1.3560150143137801,2.635757770420093,2.4730214961046695
11.16,0.4919886178566109,0.6986877160439606,0.922728245888128,1.0,0.06986877160439607,0.07109779050709146,0.9678779138653838,1.3645620124072424,2.6136857606498496,2.473196909056619
11.200000000000001,0.49190761664860155,0.6826993766159164,0.9279070408311226,1.0,0.06826993766159165,0.07109440694283124,0.9694470487205118,1.3717672767969935,2.591920872211802,2.4733449063589004
11.24,0.49176243585539625,0.6665147426820206,0.9322280557323157,1.0,0.06665147426820206,0.07108834050049412,0.9708866689706493,1.3776722889084894,2.5711865667923806,2.473467145402957
