t33.time,t33.aRel,t33.a,t33.b,t33.k1,t33.k2,t33.k3,t33.k4,t33.Brain,t33.Loss_of_intracellular_choline,t33.Abeta_formation_from_APP,t33.Effect_of_extracellular_ACh,t33.Decrease_in_the_extracellular_concentration_of_beta_amyloid,t28.aRel,t28.a,t28.b,t28.k1,t28.k2,t28.k3,t28.k4,t28.Brain,t28.Loss_of_intracellular_choline,t28.Abeta_formation_from_APP,t28.Effect_of_extracellular_ACh,t28.Decrease_in_the_extracellular_concentration_of_beta_amyloid,t26.aRel,t26.a,t26.b,t26.k1,t26.k2,t26.k3,t26.k4,t26.Brain,t26.Loss_of_intracellular_choline,t26.Abeta_formation_from_APP,t26.Effect_of_extracellular_ACh,t26.Decrease_in_the_extracellular_concentration_of_beta_amyloid,t24.aRel,t24.a,t24.b,t24.k1,t24.k2,t24.k3,t24.k4,t24.Brain,t24.Loss_of_intracellular_choline,t24.Abeta_formation_from_APP,t24.Effect_of_extracellular_ACh,t24.Decrease_in_the_extracellular_concentration_of_beta_amyloid,t22.aRel,t22.a,t22.b,t22.k1,t22.k2,t22.k3,t22.k4,t22.Brain,t22.Loss_of_intracellular_choline,t22.Abeta_formation_from_APP,t22.Effect_of_extracellular_ACh,t22.Decrease_in_the_extracellular_concentration_of_beta_amyloid
20.4,0.8423286734358065,42.116433671790325,2.43524310630127,0.007,0.33,0.0042,0.01,1.0,0.7179462833285544,0.33,0.17688902142151935,0.0243524310630127,0.9046933903728751,45.234669518643756,1.4233647320502307,0.007,0.28,0.0042,0.01,1.0,0.4506980328114958,0.28,0.18998561197830377,0.014233647320502307,0.9309382361228389,46.54691180614194,1.0175129612401717,0.007,0.26,0.0042,0.01,1.0,0.33153460247916816,0.26,0.19549702958579615,0.010175129612401716,0.957959774549621,47.89798872748105,0.6110079025888672,0.007,0.24,0.0042,0.01,1.0,0.20486234741422382,0.24,0.2011715526554204,0.0061100790258886714,0.9857815264692578,49.289076323462886,0.20383849519080785,0.007,0.22,0.0042,0.01,1.0,0.07032907802983686,0.22,0.20701412055854412,0.0020383849519080787
20.55,0.8401690938882231,42.00845469441116,2.4545762106043743,0.007,0.33,0.0042,0.01,1.0,0.721790674760073,0.33,0.17643550971652686,0.024545762106043742,0.9033369501493191,45.16684750746596,1.4347446228325622,0.007,0.28,0.0042,0.01,1.0,0.4536202411414457,0.28,0.189700759531357,0.014347446228325622,0.9299401870351509,46.49700935175755,1.025671723971826,0.007,0.26,0.0042,0.01,1.0,0.33383467418945895,0.26,0.19528743927738168,0.010256717239718261,0.9573429234242148,47.86714617121074,0.6159216985536753,0.007,0.24,0.0042,0.01,1.0,0.2063768978228242,0.24,0.2010420139190851,0.006159216985536753,0.9855697141522871,49.27848570761436,0.2054827365788358,0.007,0.22,0.0042,0.01,1.0,0.07088114668363153,0.22,0.20696963997198028,0.0020548273657883583
20.7,0.8379980205569624,41.89990102784812,2.473948504623267,0.007,0.33,0.0042,0.01,1.0,0.7256073824419542,0.33,0.1759795843169621,0.024739485046232672,0.9019717524292316,45.098587621461576,1.446150291470288,0.007,0.28,0.0042,0.01,1.0,0.4565353494357249,0.28,0.1894140680101386,0.01446150291470288,0.9289352382149737,46.446761910748684,1.0338497805004265,0.007,0.26,0.0042,0.01,1.0,0.3361328222446817,0.26,0.19507640002514445,0.010338497805004265,0.9567215270179881,47.836076350899404,0.6208476163168014,0.007,0.24,0.0042,0.01,1.0,0.20789239783483088,0.24,0.2009115206737775,0.006208476163168014,0.9853562436498183,49.267812182490914,0.20713120434941062,0.007,0.22,0.0042,0.01,1.0,0.07143430891113936,0.22,0.20692481116646183,0.0020713120434941064
20.849999999999998,0.8358155363334376,41.79077681667188,2.4933602928280623,0.007,0.33,0.0042,0.01,1.0,0.7293962446479043,0.33,0.17552126263002188,0.02493360292828062,0.900597817989941,45.02989089949705,1.4575819751218109,0.007,0.28,0.0042,0.01,1.0,0.45944330121765997,0.28,0.1891255417778876,0.014575819751218109,0.9279234039917864,46.39617019958932,1.0420473193809192,0.007,0.26,0.0042,0.01,1.0,0.3384290335021606,0.26,0.19486391483827514,0.010420473193809192,0.9560955823930315,47.80477911965158,0.6257857806583835,0.007,0.24,0.0042,0.01,1.0,0.20940885714414928,0.24,0.2007800723025366,0.006257857806583836,0.9851411115862493,49.257055579312464,0.20878394390893432,0.007,0.22,0.0042,0.01,1.0,0.07198857630433304,0.22,0.20687963343311233,0.002087839439089343
21.0,0.8336217245661557,41.681086228307784,2.5128118768821848,0.007,0.33,0.0042,0.01,1.0,0.7331570996108959,0.33,0.17506056215889268,0.025128118768821848,0.8992151677165927,44.960758385829635,1.4690399099830709,0.007,0.28,0.0042,0.01,1.0,0.46234403916322836,0.28,0.18883518522048445,0.01469039909983071,0.9269046880225388,46.34523440112694,1.0502645281497973,0.007,0.26,0.0042,0.01,1.0,0.34072329018203934,0.26,0.1946499844847331,0.010502645281497974,0.9554650865752558,47.77325432876279,0.6307363162546727,0.007,0.24,0.0042,0.01,1.0,0.2109262851557501,0.24,0.2006476681808037,0.006307363162546728,0.9849243145445157,49.24621572722578,0.21044100065970484,0.007,0.22,0.0042,0.01,1.0,0.07254396041438761,0.22,0.20683410605434827,0.0021044100065970486
21.15,0.8314166690607163,41.57083345303582,2.532303555642372,0.007,0.33,0.0042,0.01,1.0,0.7368897855489763,0.33,0.1745975005027504,0.02532303555642372,0.897823822602148,44.8911911301074,1.4805243312875433,0.007,0.28,0.0042,0.01,1.0,0.46523750510022494,0.28,0.18854300274645108,0.014805243312875433,0.9258790924591396,46.29395462295698,1.05850159380441,0.007,0.26,0.0042,0.01,1.0,0.343015573263363,0.26,0.1944346094164193,0.0105850159380441,0.9548300365548935,47.74150182774468,0.6356993476792699,0.007,0.24,0.0042,0.01,1.0,0.21244469098388175,0.24,0.20051430767652764,0.0063569934767927,0.9847058490659556,49.23529245329778,0.21210241999966978,0.007,0.22,0.0042,0.01,1.0,0.07310047275115157,0.22,0.20678822830385066,0.002121024199996698
21.3,0.829200454079812,41.4600227039906,2.5518356251586733,0.007,0.33,0.0042,0.01,1.0,0.7405941406915146,0.33,0.17413209535676052,0.025518356251586733,0.896423803747384,44.8211901873692,1.4920354733062406,0.007,0.28,0.0042,0.01,1.0,0.468123640007523,0.28,0.18824899878695062,0.014920354733062406,0.9248466231242621,46.242331156213105,1.0667587030735746,0.007,0.26,0.0042,0.01,1.0,0.3453058644791045,0.26,0.19421779085609503,0.010667587030735746,0.954190429287001,47.709521464350054,0.6406749994043648,0.007,0.24,0.0042,0.01,1.0,0.21396408345028498,0.24,0.20037999015027022,0.006406749994043648,0.9844857125211267,49.224285626056336,0.2137682530477348,0.007,0.22,0.0042,0.01,1.0,0.0736581268206335,0.22,0.2067419996294366,0.002137682530477348
21.45,0.826973164343229,41.34865821716145,2.5714083786744517,0.007,0.33,0.0042,0.01,1.0,0.7442700033058862,0.33,0.1736643645120781,0.02571408378674452,0.8950151323608937,44.75075661804468,1.5035735693477108,0.007,0.28,0.0042,0.01,1.0,0.47100238401442895,0.28,0.18795317779578766,0.015035735693477109,0.9238072858682996,46.19036429341498,1.0750360422271024,0.007,0.26,0.0042,0.01,1.0,0.3475941449331464,0.26,0.1939995300323429,0.010750360422271024,0.9535462616919591,47.677313084597955,0.6456633958019727,0.007,0.24,0.0042,0.01,1.0,0.2154844710824074,0.24,0.2002447149553114,0.006456633958019728,0.9842639037949497,49.21319518974748,0.21543856114846888,0.007,0.22,0.0042,0.01,1.0,0.07421693972838564,0.22,0.2066954197969394,0.002154385611484689
21.599999999999998,0.824734890829612,41.236744541480604,2.5910220611842423,0.007,0.33,0.0042,0.01,1.0,0.7479172038687659,0.33,0.17319432707421853,0.02591022061184242,0.8935978297590864,44.67989148795432,1.5151388517580389,0.007,0.28,0.0042,0.01,1.0,0.47387367640013023,0.28,0.18765554424940814,0.015151388517580388,0.9227610865693657,46.138054328468286,1.0833337970758,0.007,0.26,0.0042,0.01,1.0,0.3498803950974436,0.26,0.1937798281795668,0.010833337970757998,0.9528975306559755,47.644876532798776,0.6506646611451734,0.007,0.24,0.0042,0.01,1.0,0.21700586211161998,0.24,0.20010848143775484,0.006506646611451734,0.9840404169180432,49.20202084590216,0.21711337400579558,0.007,0.22,0.0042,0.01,1.0,0.07477691727630115,0.22,0.20664848755278906,0.002171133740057956
21.75,0.8224857332626061,41.124286663130306,2.6106768499611404,0.007,0.33,0.0042,0.01,1.0,0.7515355621381997,0.33,0.17272200398514728,0.026106768499611403,0.8921719247337944,44.60859623668972,1.5267315445677614,0.007,0.28,0.0042,0.01,1.0,0.4767374572340865,0.28,0.18735610419409682,0.015267315445677615,0.921708031133294,46.0854015566647,1.0916521529714696,0.007,0.26,0.0042,0.01,1.0,0.35216459480921414,0.26,0.19355868653799171,0.010916521529714696,0.9522442330315865,47.61221165157932,0.6556789196093482,0.007,0.24,0.0042,0.01,1.0,0.21852826447143406,0.24,0.19997128893663313,0.006556789196093482,0.9838152483636258,49.190762418181286,0.21879273765272103,0.007,0.22,0.0042,0.01,1.0,0.07533807103688928,0.22,0.20660120215636138,0.0021879273765272106
