Time,BMAL1,CRY,DBP,E4BP4,PERCRY,PER,REV,ROR,V_R,k_R,k_R_r,V_E,k_E,k_E_r,V_D,k_D,k_D_r,gamma_ror,gamma_rev,gamma_p,gamma_c,gamma_db,gamma_E4,gamma_pc,gamma_cp,gamma_bp,E_box,R_box,D_box,ModelValue_6,ModelValue_3,ModelValue_0,ModelValue_8,ModelValue_4,ModelValue_5,ModelValue_1,ModelValue_2,compartment,v4_1,v4_2,v5_1,v5_2,v5_3,v8_1,v6_1,v6_2,v6_3,v7_1,v7_2,v8_2,v9_1,v9_3,v9_4,v9_5,v10_1,v10_2,v10_5,v11_3
162.7,0.31263490911662895,4.144654819860495,0.5791118860549603,39.21664606132538,11.406337448399096,11.654922922883118,92.26258941553876,3.3719425024508665,44.4,3.54,80.1,30.3,214.0,1.24,202.0,5.32,94.7,2.55,0.241,0.844,2.34,0.156,0.295,0.191,0.141,2.58,0.04387210475730348,9.309254779358973,14.02305476074326,202.0,30.3,44.4,94.7,214.0,1.24,3.54,80.1,1.0,9.309254779358973,9.20032972055734,0.04387210475730348,9.309254779358973,8.598453381249708,18.618509558717946,0.08774420951460696,14.02305476074326,22.23528404914484,0.04387210475730348,0.0903414542245738,11.568910588090986,0.04387210475730348,9.226375801279145,1.6082935802242724,9.698492278473559,0.04387210475730348,14.02305476074326,9.836754946913352,9.20032972055734
162.8,0.3239028839257262,4.280890924752185,0.574577531423506,39.93119544730987,11.241075793759295,11.319105769655671,91.45138662515194,3.4478667444268463,44.4,3.54,80.1,30.3,214.0,1.24,202.0,5.32,94.7,2.55,0.241,0.844,2.34,0.156,0.295,0.191,0.141,2.58,0.04542727489258237,9.510383996671125,13.850058287480671,202.0,30.3,44.4,94.7,214.0,1.24,3.54,80.1,1.0,9.510383996671125,9.393823519507873,0.04542727489258237,9.510383996671125,8.792060198288457,19.02076799334225,0.09085454978516475,13.850058287480671,22.039784176661616,0.04542727489258237,0.08963409490206693,11.77970265695641,0.04542727489258237,9.255068718635151,1.5849916869200604,10.017284763920113,0.04542727489258237,13.850058287480671,9.553325269589386,9.393823519507873
162.9,0.3359757600041376,4.4204019190577375,0.5702729881479103,40.66479091850404,11.061444698462376,10.989441011715563,90.64295821775725,3.524680373281028,44.4,3.54,80.1,30.3,214.0,1.24,202.0,5.32,94.7,2.55,0.241,0.844,2.34,0.156,0.295,0.191,0.141,2.58,0.047091222457151534,9.71330231044517,13.681792822866463,202.0,30.3,44.4,94.7,214.0,1.24,3.54,80.1,1.0,9.71330231044517,9.58825340641886,0.047091222457151534,9.71330231044517,8.98793495186662,19.42660462089034,0.09418244491430307,13.681792822866463,21.844952930479497,0.047091222457151534,0.088962586151074,11.99611332095869,0.047091222457151534,9.278349512273824,1.5596637024831947,10.343740490595104,0.047091222457151534,13.681792822866463,9.275088213887935,9.58825340641886
163.0,0.34894582947311076,4.563121685043795,0.5662060881318076,41.4172194698687,10.86702818391622,10.666227053037316,89.83773834028412,3.602345681844557,44.4,3.54,80.1,30.3,214.0,1.24,202.0,5.32,94.7,2.55,0.241,0.844,2.34,0.156,0.295,0.191,0.141,2.58,0.048876172494447534,9.917887581601134,13.51846405825013,202.0,30.3,44.4,94.7,214.0,1.24,3.54,80.1,1.0,9.917887581601134,9.78337074194434,0.048876172494447534,9.917887581601134,9.18598148870362,19.835775163202268,0.09775234498889507,13.51846405825013,21.65089494000847,0.048876172494447534,0.08832814974856198,12.218079743611264,0.048876172494447534,9.29621676499323,1.532250973932187,10.67770474300248,0.048876172494447534,13.51846405825013,9.002295632763495,9.78337074194434
163.1,0.36291858347437717,4.708970023314529,0.5623858434876406,42.188249532633954,10.65744335555913,10.349752799471645,89.0361746034761,3.6808235604486956,44.4,3.54,80.1,30.3,214.0,1.24,202.0,5.32,94.7,2.55,0.241,0.844,2.34,0.156,0.295,0.191,0.141,2.58,0.05079605142769939,10.124011588538936,13.360295094139138,202.0,30.3,44.4,94.7,214.0,1.24,3.54,80.1,1.0,10.124011588538936,9.978883354829465,0.05079605142769939,10.124011588538936,9.386100079144173,20.248023177077872,0.10159210285539878,13.360295094139138,21.45771807943774,0.05079605142769939,0.08773219158407194,12.445533612127015,0.05079605142769939,9.308705055152673,1.5026995131338372,11.018989854555997,0.05079605142769939,13.360295094139138,8.735191362754069,9.978883354829465
163.2,0.37801665665484074,4.85785231231415,0.5588226287868141,42.97763032582385,10.43234770768175,10.04029803672912,88.23873007874457,3.760073404091222,44.4,3.54,80.1,30.3,214.0,1.24,202.0,5.32,94.7,2.55,0.241,0.844,2.34,0.156,0.295,0.191,0.141,2.58,0.0528670003626782,10.331539422974165,13.207529604473246,202.0,30.3,44.4,94.7,214.0,1.24,3.54,80.1,1.0,10.331539422974165,10.174491099918109,0.0528670003626782,10.331539422974165,9.588187180432616,20.66307884594833,0.1057340007253564,13.207529604473246,21.26553394897744,0.0528670003626782,0.087176330090743,12.678400946118035,0.0528670003626782,9.315888441503125,1.4709610267831266,11.36737441081511,0.0528670003626782,13.207529604473246,8.474011542999376,10.174491099918109
163.3,0.3943811793643736,5.009658583705514,0.5555283232701453,43.78509119679227,10.191444061691994,9.738132769463016,87.44588489230635,3.8400530646709745,44.4,3.54,80.1,30.3,214.0,1.24,202.0,5.32,94.7,2.55,0.241,0.844,2.34,0.156,0.295,0.191,0.141,2.58,0.0551075195714564,10.540328979750775,13.060434005778982,202.0,30.3,44.4,94.7,214.0,1.24,3.54,80.1,1.0,10.540328979750775,10.369829419468418,0.0551075195714564,10.540328979750775,9.792135314910984,21.08065795950155,0.1102150391429128,13.060434005778982,21.07445825904583,0.0551075195714564,0.08666241843014268,12.916601903053719,0.0551075195714564,9.31788159980063,1.436993612698571,11.722601085870902,0.0551075195714564,13.060434005778982,8.218984057426786,10.369829419468418
163.4,0.41217698209126447,5.16426195088502,0.5525166631759879,44.61034044694369,9.934491366469777,9.443517773099074,86.6581400731737,3.9207187404118287,44.4,3.54,80.1,30.3,214.0,1.24,202.0,5.32,94.7,2.55,0.241,0.844,2.34,0.156,0.295,0.191,0.141,2.58,0.0575391331808136,10.7502300493014,12.919303995416877,202.0,30.3,44.4,94.7,214.0,1.24,3.54,80.1,1.0,10.7502300493014,10.564503168711546,0.0575391331808136,10.7502300493014,9.997832788050163,21.5004600986028,0.1150782663616272,12.919303995416877,20.88461175763486,0.0575391331808136,0.08619259945545411,13.160050431848388,0.0575391331808136,9.3148407079613,1.4007632826722385,12.084372965070946,0.0575391331808136,12.919303995416877,7.970329000495618,10.564503168711546
163.5,0.4315960600383802,5.321518070719748,0.5498034246129285,45.45306451848961,9.661311472575706,9.156704627237879,85.8760195254301,4.002024890428313,44.4,3.54,80.1,30.3,214.0,1.24,202.0,5.32,94.7,2.55,0.241,0.844,2.34,0.156,0.295,0.191,0.141,2.58,0.06018679592127739,10.961083655756074,12.78446720790784,202.0,30.3,44.4,94.7,214.0,1.24,3.54,80.1,1.0,10.961083655756074,10.758042633227571,0.06018679592127739,10.961083655756074,10.205163470592197,21.922167311512148,0.12037359184255478,12.78446720790784,20.69612070562865,0.06018679592127739,0.08576933423961686,13.408654032954434,0.06018679592127739,9.306965706139096,1.3622449176331743,12.452352285484208,0.06018679592127739,12.78446720790784,7.72825870538877,10.758042633227571
163.6,0.4528637933799579,5.481263273913643,0.5474068251702399,46.31292663592445,9.371801338112768,8.877936305838816,85.10007434810271,4.083924110374349,44.4,3.54,80.1,30.3,214.0,1.24,202.0,5.32,94.7,2.55,0.241,0.844,2.34,0.156,0.295,0.191,0.141,2.58,0.06307965731644903,11.172721006482323,12.656290321997469,202.0,30.3,44.4,94.7,214.0,1.24,3.54,80.1,1.0,11.172721006482323,10.949905722335274,0.06307965731644903,11.172721006482323,10.41400648145459,22.345442012964646,0.12615931463289806,12.656290321997469,20.509117917892752,0.06307965731644903,0.08539546472655742,13.66231335759771,0.06307965731644903,9.294500488275723,1.3214239886739,12.826156060957924,0.06307965731644903,12.656290321997469,7.49297824212796,10.949905722335274
163.7,0.47624809879660995,5.643314637600748,0.545347943739638,47.18956546164484,9.065945926700016,8.607449477108396,84.33088716035738,4.166367067580342,44.4,3.54,80.1,30.3,214.0,1.24,202.0,5.32,94.7,2.55,0.241,0.844,2.34,0.156,0.295,0.191,0.141,2.58,0.06625219526945385,11.384962471354429,12.535186196657325,202.0,30.3,44.4,94.7,214.0,1.24,3.54,80.1,1.0,11.384962471354429,11.139509939370082,0.06625219526945385,11.384962471354429,10.624236022329873,22.769924942708858,0.1325043905389077,12.535186196657325,20.323743805646128,0.06625219526945385,0.08507427922338354,13.920921811185227,0.06625219526945385,9.277738214675772,1.2782983756647022,13.20535625198575,0.06625219526945385,12.535186196657325,7.2646873586794865,11.139509939370082
163.8,0.50206500240201,5.807469731053156,0.5436512568741171,48.08259357002355,8.743828205908967,8.345477633905709,83.56907779573656,4.249302454852621,44.4,3.54,80.1,30.3,214.0,1.24,202.0,5.32,94.7,2.55,0.241,0.844,2.34,0.156,0.295,0.191,0.141,2.58,0.06974481602643659,11.597616340759563,12.421623050095471,202.0,30.3,44.4,94.7,214.0,1.24,3.54,80.1,1.0,11.597616340759563,11.326122933342319,0.06974481602643659,11.597616340759563,10.835721259874182,23.195232681519126,0.13948963205287318,12.421623050095471,20.14014774877251,0.06974481602643659,0.08480959607236227,14.184365103156946,0.06974481602643659,9.257026771266906,1.2328797770331643,13.589479170664385,0.06974481602643659,12.421623050095471,7.043583123016418,11.326122933342319
163.9,0.5306890406668564,5.973505992494977,0.5423452463042562,48.991595687497586,8.40564425031613,8.092254458261396,82.8153096594682,4.332676901562885,44.4,3.54,80.1,30.3,214.0,1.24,202.0,5.32,94.7,2.55,0.241,0.844,2.34,0.156,0.295,0.191,0.141,2.58,0.07360506070793695,11.810477367515896,12.316134621338854,202.0,30.3,44.4,94.7,214.0,1.24,3.54,80.1,1.0,11.810477367515896,11.508820871138832,0.07360506070793695,11.810477367515896,11.048326098985356,23.62095473503179,0.1472101214158739,12.316134621338854,19.958489627931836,0.07360506070793695,0.08460585842346396,14.452520727811788,0.07360506070793695,9.232773925350761,1.185195839294574,13.978004022438245,0.07360506070793695,12.316134621338854,6.829862762772618,11.508820871138832
164.0,0.562569404906873,6.141178389512526,0.5414630952031579,49.91612668096306,8.051725737510916,7.848016264229635,82.07029690773595,4.416434827498011,44.4,3.54,80.1,30.3,214.0,1.24,202.0,5.32,94.7,2.55,0.241,0.844,2.34,0.156,0.295,0.191,0.141,2.58,0.07788951400990254,12.02332504845951,12.21933157273332,202.0,30.3,44.4,94.7,214.0,1.24,3.54,80.1,1.0,12.02332504845951,11.686508756092161,0.07788951400990254,12.02332504845951,11.261908810119929,24.04665009691902,0.1557790280198051,12.21933157273332,19.778941554764362,0.07788951400990254,0.08446824285169263,14.725257370884101,0.07788951400990254,9.205448965544104,1.135293328989039,14.370357431459311,0.07788951400990254,12.21933157273332,6.623725727009812,11.686508756092161
