Time,C,M,X,kd,vi,Kc,Kd,VM1,V2,VM3,V4,vd,kj,j,V1C,V3M,epislon,compartment,Production_of_Cyclin,Cdc2_kinase_activation,activation_of_cyclin_protease
5.2,0.8023541367767593,0.8972258763026678,0.08462920411069494,0.25,0.25,0.5,0.0,3.0,1.5,1.0,0.7,0.25,0.001,1.0,1.8482395397365565,0.8972258763026678,0.001,1.0,0.028254164778136442,0.332099282485139,0.20442154952012903
5.333333333333333,0.805579409228112,0.940982420364668,0.11466042137404624,0.25,0.25,0.5,0.0,3.0,1.5,1.0,0.7,0.25,0.001,1.0,1.8510848214994182,0.940982420364668,0.001,1.0,0.01994004234946045,0.3218348308418564,0.24597297033772325
5.466666666666667,0.8076240952011067,0.9811907612749547,0.15011241161523306,0.25,0.25,0.5,0.0,3.0,1.5,1.0,0.7,0.25,0.001,1.0,1.8528813399011994,0.9811907612749547,0.001,1.0,0.010565873295915074,0.2608723167013536,0.28466993640865135
5.6,0.8083663133184082,0.9957540496755786,0.18942528399356248,0.25,0.25,0.5,0.0,3.0,1.5,1.0,0.7,0.25,0.001,1.0,1.8535320844545813,0.9957540496755786,0.001,1.0,0.0005521006720073107,0.0017106947139939876,0.2982030914156898
5.733333333333333,0.8077838516244216,0.9957742554164862,0.22913960147393234,0.25,0.25,0.5,0.0,3.0,1.5,1.0,0.7,0.25,0.001,1.0,1.8530214697659533,0.9957742554164862,0.001,1.0,-0.009230863274588469,-6.840215537828875e-05,0.2975257912049619
5.866666666666666,0.8059198898605004,0.9957525017767269,0.2687726106793336,0.25,0.25,0.5,0.0,3.0,1.5,1.0,0.7,0.25,0.001,1.0,1.8513843677193467,0.9957525017767269,0.001,1.0,-0.0186731251349585,7.64878873995567e-05,0.29698738446029593
6.0,0.8028188087484278,0.9957254495017602,0.30834120451583613,0.25,0.25,0.5,0.0,3.0,1.5,1.0,0.7,0.25,0.001,1.0,1.8486503342387288,0.9957254495017602,0.001,1.0,-0.027790003316065987,-0.0003296435466484393,0.29655078190982176
6.133333333333333,0.7985231033353858,0.9956794990281641,0.3478549274226435,0.25,0.25,0.5,0.0,3.0,1.5,1.0,0.7,0.25,0.001,1.0,1.8448415002034997,0.9956794990281641,0.001,1.0,-0.03659450768950731,-0.0003955686532044478,0.29616162527091217
6.266666666666667,0.7930736446696045,0.9956196038505335,0.387318853074487,0.25,0.25,0.5,0.0,3.0,1.5,1.0,0.7,0.25,0.001,1.0,1.8399732635620552,0.9956196038505335,0.001,1.0,-0.045098124436022874,-0.0004989329280811194,0.29579987336992997
6.4,0.7865098450923819,0.9955445431010475,0.42673530064008114,0.25,0.25,0.5,0.0,3.0,1.5,1.0,0.7,0.25,0.001,1.0,1.8340547833955456,0.9955445431010475,0.001,1.0,-0.05331128643311575,-0.0006272161461835513,0.2954474705279809
