Time,P,D,I,S,f_D,alpha,k_p,beta,gamma,theta,epsilon,delta,omega,rho,compartment,reaction_1,reaction_2,reaction_3,reaction_4,reaction_5,reaction_6
9.24,-4.264076336083513e-15,4.241546211981081,0.0,-4.264076336083513e-15,0.7845541803438354,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,-9.466249466105406e-15,-1.80862768309209e-12,-1.2365821374642185e-15,0.042415462119810815,0.0,0.0
9.46,-4.667438018420724e-15,4.232224628029817,0.0,-4.667438018420724e-15,0.7173316411477831,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,-1.0361712400894017e-14,-1.9753646131372094e-12,-1.3535570253420098e-15,0.042322246280298174,0.0,0.0
9.68,-3.982240835535298e-15,4.222923610310056,0.0,-3.982240835535298e-15,0.6529146377142977,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,-8.84057465488837e-15,-1.681669884632955e-12,-1.1548498423052362e-15,0.04222923610310056,0.0,0.0
9.9,-2.2084847874272247e-15,4.213643158821799,0.0,-2.2084847874272247e-15,0.591746043165237,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,-4.9028362280884414e-15,-9.305766815906794e-13,-6.404605883538951e-16,0.04213643158821799,0.0,0.0
10.12,3.351858110770868e-17,4.204383138284854,0.0,3.351858110770868e-17,0.5341592703248608,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,7.441125005911327e-17,1.4092495722848317e-14,9.720388521235517e-18,0.04204383138284854,0.0,0.0
10.34,1.4931533748486006e-16,4.195142982889624,0.0,1.4931533748486006e-16,0.48037697349686637,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,3.3148004921638936e-16,6.263991902873974e-14,4.330144787060942e-17,0.041951429828896235,0.0,0.0
10.56,3.123040090075791e-16,4.185923166620143,0.0,3.123040090075791e-16,0.43052544225107436,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,6.933148999968255e-16,1.3072805863331303e-13,9.056816261219793e-17,0.04185923166620143,0.0,0.0
10.78,5.224845956758634e-16,4.176723689476414,0.0,5.224845956758634e-16,0.38463537955496985,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,1.1599158024004167e-15,2.1822737881457706e-13,1.5152053274600038e-16,0.04176723689476414,0.0,0.0
11.0,7.798570974897164e-16,4.167544551458435,0.0,7.798570974897164e-16,0.34265795972562607,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,1.7312827564271702e-15,3.250089197559203e-13,2.261585582720177e-16,0.041675445514584346,0.0,0.0
11.22,1.0844215144491368e-15,4.158385752566206,0.0,1.0844215144491368e-15,0.3044792477356094,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,2.4074157620770833e-15,4.509442975461069e-13,3.1448223919024964e-16,0.04158385752566206,0.0,0.0
11.44,1.3589970386963544e-15,4.149247126244193,0.0,1.3589970386963544e-15,0.26993419452120404,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,3.0169734259059057e-15,5.638814557384451e-13,3.9410914122194275e-16,0.041492471262441925,0.0,0.0
11.66,1.3257260775526808e-15,4.140128072878044,0.0,1.3257260775526808e-15,0.23881990321629887,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,2.9431118921669507e-15,5.488675750621621e-13,3.844605624902774e-16,0.04140128072878044,0.0,0.0
11.88,1.2229346433882084e-15,4.131029106773291,0.0,1.2229346433882084e-15,0.21091323484321634,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,2.714914908321822e-15,5.051978607517486e-13,3.546510465825804e-16,0.041310291067732915,0.0,0.0
12.1,1.0506227362029395e-15,4.121950227929936,0.0,1.0506227362029395e-15,0.18597539726636614,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,2.3323824743705255e-15,4.3306146269596245e-13,3.046805934988524e-16,0.041219502279299366,0.0,0.0
12.32,8.087903559968712e-16,4.1128914363479785,0.0,8.087903559968712e-16,0.16376278374982955,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,1.7955145903130538e-15,3.3264669289800953e-13,2.3454920323909264e-16,0.041128914363479784,0.0,0.0
12.540000000000001,4.974375027700048e-16,4.103852732027417,0.0,4.974375027700048e-16,0.1440339193265574,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,1.1043112561494105e-15,2.0414102547554786e-13,1.442568758033014e-16,0.041038527320274173,0.0,0.0
12.76,1.6848363536158787e-16,4.094833944213607,0.0,1.6848363536158787e-16,0.12655439161676574,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,3.740336705027251e-16,6.899125091231265e-14,4.886025425486048e-17,0.04094833944213607,0.0,0.0
12.98,-6.295373984632446e-18,4.085834507963674,0.0,-6.295373984632446e-18,0.11110041649247504,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,-1.397573024588403e-17,-2.572185626694804e-15,-1.825658455543409e-18,0.04085834507963674,0.0,0.0
13.2,-1.584215244719896e-16,4.076854855832057,0.0,-1.584215244719896e-16,0.09746364551135844,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,-3.5169578432781694e-16,-6.45861561311958e-14,-4.594224209687698e-17,0.040768548558320565,0.0,0.0
13.42,-2.812931884752909e-16,4.067894966107079,0.0,-2.812931884752909e-16,0.08544985797691118,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,-6.244708784151459e-16,-1.1442711453988777e-13,-8.157502465783436e-17,0.04067894966107079,0.0,0.0
13.64,-3.6830873836934187e-16,4.05895481707706,0.0,-3.6830873836934187e-16,0.07488056091762973,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,-8.17645399179939e-16,-1.4949485277758697e-13,-1.0680953412710914e-16,0.0405895481707706,0.0,0.0
13.86,-4.128665465289485e-16,4.0500343870303235,0.0,-4.128665465289485e-16,0.06559304835712676,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,-9.165637332942658e-16,-1.6721237106967655e-13,-1.1973129849339505e-16,0.04050034387030323,0.0,0.0
14.08,-4.083649853289172e-16,4.041133654255191,0.0,-4.083649853289172e-16,0.05744001904064944,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,-9.065702674301963e-16,-1.650257485432182e-13,-1.1842584574538598e-16,0.040411336542551905,0.0,0.0
14.3,-3.4820242714405376e-16,4.0322525970399825,0.0,-3.4820242714405376e-16,0.0502888880721607,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,-7.730093882597994e-16,-1.404040141147285e-13,-1.0097870387177559e-16,0.04032252597039983,0.0,0.0
14.52,-2.257772443491652e-16,4.023391193673021,0.0,-2.257772443491652e-16,0.044020900367016336,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,-5.012254824551467e-16,-9.083901766462135e-14,-6.547540086125791e-17,0.04023391193673021,0.0,0.0
14.74,-3.4487809319055865e-17,4.014549422442628,0.0,-3.4487809319055865e-17,0.03853012949793544,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,-7.656293668830403e-17,-1.3845301498312768e-14,-1.00014647025262e-17,0.04014549422442628,0.0,0.0
14.96,-1.4642078569107635e-17,4.0057268112831075,0.0,-1.4642078569107635e-17,0.03372219515299035,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,-3.2505414423418954e-17,-5.865216669718833e-15,-4.246202785041214e-18,0.04005726811283108,0.0,0.0
15.18,-1.3315860336254124e-17,3.996923605369766,0.0,-1.3315860336254124e-17,0.029513868064598436,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,-2.9561209946484155e-17,-5.322247650378117e-15,-3.861599497513696e-18,0.03996923605369766,0.0,0.0
15.4,-1.3697003912082027e-17,3.9881398016145457,0.0,-1.3697003912082027e-17,0.025831427438367083,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,-3.04073486848221e-17,-5.462556646464454e-15,-3.972131134503787e-18,0.03988139801614546,0.0,0.0
15.62,-1.7228709828670353e-17,3.9793753636322964,0.0,-1.7228709828670353e-17,0.022609833107259503,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,-3.8247735819648187e-17,-6.855950343938052e-15,-4.996325850314402e-18,0.03979375363632297,0.0,0.0
15.84,-2.5354178618098187e-17,3.9706302550378685,0.0,-2.5354178618098187e-17,0.01979182302792637,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,-5.628627653217798e-17,-1.0067206871265514e-14,-7.352711799248473e-18,0.039706302550378686,0.0,0.0
16.06,-3.9516610812444265e-17,3.9619044394461125,0.0,-3.9516610812444265e-17,0.017327060701510577,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,-8.772687600362627e-17,-1.565610358096878e-14,-1.1459817135608836e-17,0.03961904439446112,0.0,0.0
16.28,-6.115920694378804e-17,3.953197880471879,0.0,-6.115920694378804e-17,0.015171354880860632,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,-1.3577343941520946e-16,-2.4177444726152538e-14,-1.773617001369853e-17,0.03953197880471879,0.0,0.0
16.5,-9.172516754420775e-17,3.944510541730018,0.0,-9.172516754420775e-17,0.01328595143421274,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,-2.0362987194814123e-16,-3.6181089032008287e-14,-2.6600298587820245e-17,0.03944510541730018,0.0,0.0
16.72,-1.3265769314578268e-16,3.9358423868353802,0.0,-1.3265769314578268e-16,0.011636895097282274,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,-2.9450007878363756e-16,-5.221197716229796e-14,-3.847073101227697e-17,0.0393584238683538,0.0,0.0
16.94,-1.528545834999141e-16,3.9271932214111547,0.0,-1.528545834999141e-16,0.010194432808404263,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,-3.3933717536980934e-16,-6.002894841824972e-14,-4.4327829214975085e-17,0.03927193221411155,0.0,0.0
17.16,-1.5160619857042622e-16,3.9185629986212267,0.0,-1.5160619857042622e-16,0.008932560443247084,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,-3.3656576082634623e-16,-5.940784400797035e-14,-4.3965797585423604e-17,0.03918562998621227,0.0,0.0
17.38,-1.4663941530711862e-16,3.9099517611295607,0.0,-1.4663941530711862e-16,0.007828546265734926,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,-3.255395019818034e-16,-5.73353040131086e-14,-4.2525430439064395e-17,0.039099517611295605,0.0,0.0
17.6,-1.3771119677390467e-16,3.901359464365166,0.0,-1.3771119677390467e-16,0.006862504421705773,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,-3.057188568380684e-16,-5.372608808829341e-14,-3.993624706443235e-17,0.039013594643651665,0.0,0.0
17.82,-1.2457850603469794e-16,3.892786063757053,0.0,-1.2457850603469794e-16,0.006017055801141535,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,-2.7656428339702943e-16,-4.849574721355521e-14,-3.61277667500624e-17,0.03892786063757053,0.0,0.0
18.04,-1.0699830615341162e-16,3.8842315147342314,0.0,-1.0699830615341162e-16,0.005277015498851734,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,-2.375362396605738e-16,-4.156061927842675e-14,-3.1029508784489367e-17,0.038842315147342314,0.0,0.0
18.26,-8.472756019395884e-17,3.8756957727257113,0.0,-8.472756019395884e-17,0.00462911792368581,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,-1.8809518363058864e-16,-3.283782468770923e-14,-2.4570992456248062e-17,0.03875695772725712,0.0,0.0
18.48,-5.752323122025364e-17,3.8671787931605026,0.0,-5.752323122025364e-17,0.004061775408636614,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,-1.277015733089631e-16,-2.224526198890343e-14,-1.6681737053873553e-17,0.03867178793160503,0.0,0.0
18.7,-2.5142282296209053e-17,3.8586805314676154,0.0,-2.5142282296209053e-17,0.0035648665232472787,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,-5.58158666975841e-17,-9.7016035213045e-15,-7.291261865900625e-18,0.038586805314676155,0.0,0.0
18.92,5.760640836939736e-18,3.850200944795494,0.0,5.760640836939736e-18,0.0031295507236969167,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,1.2788622658006216e-17,2.2179624793012864e-15,1.6705858427125234e-18,0.03850200944795494,0.0,0.0
19.14,2.0764895503792283e-17,3.8417399922284674,0.0,2.0764895503792283e-17,0.002748106028442332,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,4.609806801841887e-17,7.977332949136374e-15,6.021819696099762e-18,0.03841739992228468,0.0,0.0
19.36,3.344058876507752e-17,3.833297625873413,0.0,3.344058876507752e-17,0.0024137867352508335,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,7.42381070584721e-17,1.2818772952098036e-14,9.697770741872481e-18,0.03833297625873413,0.0,0.0
19.580000000000002,4.325444278473576e-17,3.8248738013528576,0.0,4.325444278473576e-17,0.002120699915914903,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,9.60248629821134e-17,1.654427849994512e-14,1.2543788407573369e-17,0.03824873801352858,0.0,0.0
19.8,4.9673179726706827e-17,3.8164684742893287,0.0,4.9673179726706827e-17,0.0018636968870587856,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,1.1027445899328917e-16,1.8957612444468348e-14,1.440522212074498e-17,0.038164684742893286,0.0,0.0
20.02,5.2163521754931075e-17,3.8080816003053544,0.0,5.2163521754931075e-17,0.0016382786159551133,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,1.15803018295947e-16,1.9864294740208004e-14,1.5127421308930012e-17,0.03808081600305355,0.0,0.0
20.24,5.019219103334869e-17,3.7997131350234614,0.0,5.019219103334869e-17,0.0014405131515569103,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,1.114266640940341e-16,1.9071592754502086e-14,1.455573539967112e-17,0.037997131350234616,0.0,0.0
20.46,4.322590972589967e-17,3.7913630340661775,0.0,4.322590972589967e-17,0.0012669635691209269,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,9.596151959149727e-17,1.6388511624865697e-14,1.2535513820510904e-17,0.03791363034066177,0.0,0.0
20.68,3.0731399996524405e-17,3.78303125305603,0.0,3.0731399996524405e-17,0.0011146251004293672,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,6.822370799228419e-17,1.1625784663701743e-14,8.912105998992077e-18,0.0378303125305603,0.0,0.0
20.9,1.2175384009162995e-17,3.7747177476155467,0.0,1.2175384009162995e-17,0.0009808702848184137,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,2.702935250034185e-17,4.595863810342203e-15,3.5308613626572685e-18,0.03774717747615547,0.0,0.0
21.12,2.8029381493590877e-17,3.766422831680731,0.0,2.8029381493590877e-17,0.0008634058782091003,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,6.222522691577176e-17,1.0557050241534972e-14,8.128520633141353e-18,0.03766422831680731,0.0,0.0
21.34,4.607748434665239e-17,3.7581461840208137,0.0,4.607748434665239e-17,0.0007602166557040269,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,1.0229201524956831e-16,1.7316592196664968e-14,1.3362470460529193e-17,0.037581461840208136,0.0,0.0
21.56,6.513559352242242e-17,3.749887754571231,0.0,6.513559352242242e-17,0.0006695434471865047,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,1.446010176197778e-16,2.442511645364594e-14,1.88893221215025e-17,0.03749887754571231,0.0,0.0
21.78,8.478369205850127e-17,3.7416474999442224,0.0,8.478369205850127e-17,0.0005898467578988598,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,1.8821979636987283e-16,3.172306894267294e-14,2.4587270696965365e-17,0.03741647499944222,0.0,0.0
