Time,Normal_cells,Tumor_cells,Vitamins,r,beta1,gamma,alpha1,alpha2,beta2,k1,k2,c1,c2,Whole_organism,Normal_cell_growth,Normal_cell_death_inhibition,Tumor_cell_growth,Tumor_cell_inhibition,Vitamin_intake,Vitamin_decay
17.189999999999998,0.23360531575289556,0.4138467742924813,0.9339301483219687,0.4312,2.99e-06,0.9817,0.4426,0.4,0.2291,0.8976,0.9611,0.2215,0.4975,1.0,0.14905542874690456,0.0949076208251234,0.17499574786900896,0.19228572970052882,0.8976,0.8976002655522441
17.22,0.23523715342219614,0.41333130386707634,0.9339301406720797,0.4312,2.99e-06,0.9817,0.4426,0.4,0.2291,0.8976,0.9611,0.2215,0.4975,1.0,0.1500966467257383,0.09545155425001765,0.17497002612225143,0.19204622497546447,0.8976,0.8976002581999357
17.25,0.23688397080388263,0.41282224683642715,0.933930133214309,0.4312,2.99e-06,0.9817,0.4426,0.4,0.2291,0.8976,0.9611,0.2215,0.4975,1.0,0.151147422731146,0.09600139825967112,0.17494749076660124,0.19180970015093293,0.8976,0.8976002510322723
17.28,0.23854587906615768,0.4123196089615233,0.93393012593748,0.4312,2.99e-06,0.9817,0.4426,0.4,0.2291,0.8976,0.9611,0.2215,0.4975,1.0,0.15220782769501132,0.09655720784850125,0.17492815981287044,0.19157615790115418,0.8976,0.897600244038512
17.31,0.24022299000704397,0.4118233964014515,0.933930118830176,0.4312,2.99e-06,0.9817,0.4426,0.4,0.2291,0.8976,0.9611,0.2215,0.4975,1.0,0.1532779329510539,0.09711903874662983,0.17491205152206785,0.19134560108528148,0.8976,0.8976002372076821
17.34,0.2419154160534528,0.4113336157121496,0.9339301118807167,0.4312,2.99e-06,0.9817,0.4426,0.4,0.2291,0.8976,0.9611,0.2215,0.4975,1.0,0.15435781023423328,0.09768694742886926,0.17489918440734067,0.19111803274681793,0.8976,0.8976002305285568
17.37,0.24362325953945038,0.41085027797849394,0.9339301051096388,0.4312,2.99e-06,0.9817,0.4426,0.4,0.2291,0.8976,0.9611,0.2215,0.4975,1.0,0.1554475248413386,0.09826098778837024,0.1748895776856517,0.19089345804014765,0.8976,0.8976002240208738
17.4,0.2453466040614468,0.4103734021456421,0.9339300985958773,0.4312,2.99e-06,0.9817,0.4426,0.4,0.2291,0.8976,0.9611,0.2215,0.4975,1.0,0.15654713011652271,0.0988412085263473,0.17488325166268362,0.19067188578368505,0.8976,0.8976002177604976
17.43,0.24708558837557582,0.4099029865267977,0.9339300922527143,0.4312,2.99e-06,0.9817,0.4426,0.4,0.2291,0.8976,0.9611,0.2215,0.4975,1.0,0.1576567145904761,0.09942767609584684,0.17488022461819072,0.19045331517576353,0.8976,0.8976002116640837
17.46,0.2488403247081556,0.4094390402964503,0.9339300860754036,0.4312,2.99e-06,0.9817,0.4426,0.4,0.2291,0.8976,0.9611,0.2215,0.4975,1.0,0.1587763498705293,0.10002044926520347,0.17488051622567646,0.19023775047798047,0.8976,0.8976002057270703
17.49,0.25061092566713944,0.408981573113245,0.9339300800595607,0.4312,2.99e-06,0.9817,0.4426,0.4,0.2291,0.8976,0.9611,0.2215,0.4975,1.0,0.15990610780753262,0.10061958753239075,0.1748841464347089,0.19002519617696764,0.8976,0.8976001999452438
17.52,0.2523975042318569,0.40853059512233264,0.9339300742011688,0.4312,2.99e-06,0.9817,0.4426,0.4,0.2291,0.8976,0.9611,0.2215,0.4975,1.0,0.16104606048931086,0.10122515113344643,0.1748911354737633,0.18981565698548375,0.8976,0.8976001943147432
17.55,0.25420017374275267,0.40808611695772146,0.9339300684965854,0.4312,2.99e-06,0.9817,0.4426,0.4,0.2291,0.8976,0.9611,0.2215,0.4975,1.0,0.1621962802341172,0.10183720105112044,0.17490150385310263,0.18960913784350814,0.8976,0.8976001888320683
17.58,0.25601904789112756,0.4076481497446276,0.9339300629425483,0.4312,2.99e-06,0.9817,0.4426,0.4,0.2291,0.8976,0.9611,0.2215,0.4975,1.0,0.1633568395840882,0.10245579902374811,0.17491527236769477,0.18940564391933315,0.8976,0.8976001834940831
17.61,0.2578542407088794,0.40721670510182617,0.9339300575361813,0.4312,2.99e-06,0.9817,0.4426,0.4,0.2291,0.8976,0.9611,0.2215,0.4975,1.0,0.1645278112986987,0.10308100755434961,0.1749324621001684,0.18920518061065772,0.8976,0.8976001782980239
17.64,0.259705866558242,0.4067917951440022,0.9339300522750007,0.4312,2.99e-06,0.9817,0.4426,0.4,0.2291,0.8976,0.9611,0.2215,0.4975,1.0,0.16570926834821567,0.10371288991995617,0.17495309442380547,0.18900775354567997,0.8976,0.8976001732415031
