Time,AR_Central,AR_A1,AR_A2,AR_Dose,F1,F2,Lag_time_1,Lag_time_2,k_a_1,k_a_2,base,CL_V,compartment,A1,A2,Central,reaction,reaction_1,reaction_2,reaction_3,reaction_4,reaction_5
8.575000000000001,1.4822196680619306,59.171694436626474,6.34766039781385,225.12344344223325,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,11.70641905899613,10.805925285227197,17.751508330987942,11.425788716064929,0.32,29.644393361238613
8.6,1.47854618437307,59.020767909487894,6.332174528483353,224.56133775863813,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,11.677189563449183,10.77894421241463,17.706230372846367,11.397914151270037,0.32,29.570923687461402
8.625,1.4748806672370778,58.870242003381414,6.316711476555862,224.0006355840843,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,11.648033050372383,10.752030508036047,17.661072601014425,11.370080657800552,0.32,29.497613344741556
8.65,1.4712231589062712,58.72011554040681,6.301271839172214,223.44133341420402,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,11.61894933753861,10.725184003881793,17.616034662122043,11.342289310509987,0.32,29.424463178125425
8.675,1.4675736811493556,58.57038734714621,6.285856001186557,222.88342775346695,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,11.589938243180281,10.698404532166414,17.571116204143863,11.314540802135804,0.32,29.35147362298711
8.700000000000001,1.463932290931705,58.42105625395135,6.270464712216868,222.3269151148749,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,11.560999585973494,10.671691925513995,17.526316876185405,11.286836481990363,0.32,29.2786458186341
8.725,1.4602990261876614,58.272121095599935,6.255098524523407,221.77179202021728,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,11.532133185051299,10.64504601697043,17.48163632867998,11.259177344142133,0.32,29.205980523753226
8.75,1.4566739223647474,58.123580711070346,6.239757964422505,221.2180549999651,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,11.503338859998184,10.618466639998324,17.437074213321104,11.23156433596051,0.32,29.133478447294948
8.775,1.4530570126303604,57.97543394351997,6.224443534365543,220.66570059324897,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,11.474616430848945,10.59195362847595,17.39263018305599,11.203998361857977,0.32,29.061140252607206
8.8,1.4494483280784636,57.82767964026345,6.209155715017921,220.1147253478366,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,11.445965718087503,10.565506816696157,17.348303892079034,11.176480287032259,0.32,28.98896656156927
8.825000000000001,1.4458478875831395,57.680316652991145,6.193894871442459,219.56512582021432,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,11.417386542651144,10.539126039370288,17.304094995897344,11.149010768596426,0.32,28.916957751662792
8.85,1.44225571649788,57.53334383731839,6.17866142646538,219.0168985753793,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,11.388878725919723,10.512811131618205,17.260003151195516,11.121590567637686,0.32,28.8451143299576
8.875,1.4386718412228754,57.38676005289451,6.163455810520525,218.47004018687358,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,11.360442089717425,10.486561928969932,17.216028015868353,11.094220458936945,0.32,28.77343682445751
8.9,1.4350962832266947,57.240564163524674,6.148278406439863,217.92454723682408,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,11.332076456314851,10.460378267367556,17.1721692490574,11.066901131591752,0.32,28.701925664533896
8.925,1.4315290624357768,57.094755037074314,6.133129581013033,217.38041631588814,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,11.303781648426183,10.434259983162631,17.128426511122292,11.03963324582346,0.32,28.630581248715536
8.950000000000001,1.427970197409481,56.94933154544811,6.118009686773237,216.83764402323152,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,11.275557489208039,10.408206913115112,17.084799463634432,11.012417436191827,0.32,28.55940394818962
8.975,1.4244197038939101,56.80429256460473,6.10291904694194,216.29622696652203,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,11.247403802259145,10.382218894393057,17.04128776938142,10.985254284495493,0.32,28.488394077878205
9.0,1.4208775825330568,56.65963697481058,6.087857827740695,215.7561617620277,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,11.21932041162544,10.356295764577329,16.997891092443172,10.958144089933251,0.32,28.41755165066114
9.025,1.4173438545327517,56.51536365983652,6.072826408832955,215.21744503425245,0.052,0.048,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,11.191307141781127,10.330437361644117,16.954609097950954,10.93108753589932,0.32,28.346877090655035
