Time,x,y,z,t,tau,R,Dx,Dy,Dz,p,mu,compartment,Formation_of_tumor_system,Removal_of_tumor_system,Formation_of_effector_cell_against_tumor_cell,Removal_of_effector_cell_functioning_against_tumor_cell,Formation_of_tumor_detecting_cell,Removal_of_tumor_detecting_cell
20.0,1.922356254350633,0.01993962111490146,0.13621250238289007,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,3.7321388641101967,3.733784624000608,0.00271602568862744,0.000996981055745073,2.1645731423988126,2.1646890878688887
22.0,1.9187709507474549,0.023686107383183552,0.13595981557486314,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,3.725181918425928,3.727130176215429,0.00322035879150404,0.0011843053691591775,2.1605360905416338,2.160673389115725
24.0,1.9145270838686559,0.02812104104395932,0.13566070745882453,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,3.716947073965002,3.7192524495718615,0.003814920322502163,0.0014060520521979659,2.1557574964361064,2.155919962935639
26.0,1.909508669635634,0.033364618872162154,0.1353069952803135,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,3.707209251638345,3.7099333884091314,0.004514466328265103,0.0016682309436081076,2.150106762009724,2.1502987689947424
28.0,1.903582913499813,0.03955547659694507,0.1348893110524292,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,3.6957107519708052,3.698925037953723,0.0053356109865124075,0.0019777738298472534,2.1434343606007893,2.143660931245205
30.0,1.8965972100820614,0.04685249237269185,0.13439688722519513,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,3.6821554253482267,3.6859412836104974,0.006296829133631982,0.0023426246186345925,2.135568458552401,2.135835331782801
32.0,1.8883779560917127,0.05543630954626425,0.13381747219201962,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,3.6662063663325277,3.670656009967356,0.007418346811135408,0.0027718154773132123,2.126313578559268,2.1266272680755756
34.0,1.8787295605500043,0.06551030835433173,0.13313725741941126,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,3.6474839845964007,3.652700914510441,0.008721862786995672,0.0032755154177165863,2.1154494851793046,2.115817294909284
36.0,1.8674340625529378,0.07730076153354853,0.13234084946139477,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,3.6255652603721433,3.631664053132,0.010230048445362521,0.0038650380766774265,2.102730754434608,2.1031607796404854
38.0,1.8542515717970782,0.09105625202443315,0.1314112973223917,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,3.599984589191423,3.607090089950191,0.011965820207845417,0.004552812601221657,2.08788726984351,2.0883883370474488
40.0,1.8389232159648863,0.10704453214178303,0.1303302979232967,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,3.5702394948372214,3.578485269512264,0.013951145765098491,0.0053522266070891505,2.070627541176462,2.071209094597031
42.0,1.8211757401315605,0.12554733222243566,0.12907851632014594,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,3.5357995433039666,3.5453248321254742,0.016205463371224447,0.006277366611121783,2.050643883388137,2.0513157813597593
44.0,1.8007286586289983,0.14685260085965307,0.12763608492729547,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,3.4961202071350064,3.5070653889699743,0.018743691035116902,0.007342630042982653,2.027620469616252,2.0283926616645798
46.0,1.7773049602557949,0.1712430711651217,0.1259833551895759,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,3.450663630194672,3.4631640815410596,0.02157377665834935,0.008562153558256083,2.001245385248025,2.00212748067274
48.0,1.7506456164523068,0.19898063289878598,0.12410191660679924,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,3.3989267698951946,3.4131046471468425,0.024693877910373273,0.009949031644939299,1.9712269641252973,1.9722276587152534
50.0,1.7205277465897129,0.23028693643745177,0.121975874951134,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,3.340476639655414,3.3564307906028525,0.02808945056177436,0.011514346821872587,1.9373142426600165,1.9384406047234215
52.0,1.6867863606742137,0.2653203760785969,0.11959338666197365,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,3.274992504045714,3.292787018134889,0.0317305623256679,0.013266018803929842,1.8993214421191644,1.9005781008320852
54.0,1.6493382711135376,0.3041507478708557,0.11694834975552773,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,3.202312292739055,3.2219642012109997,0.035569928040406165,0.015207537393542785,1.857154893273843,1.8585431743148466
56.0,1.6082063512212248,0.34673378054322923,0.11404212396285056,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,3.122479700353283,3.143947136160853,0.039542256782818766,0.01733668902716146,1.810840351475099,1.812357434017621
58.0,1.56354142375981,0.3928885528154051,0.11088509096646018,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,3.0357867070705846,3.0589593110607836,0.04356548291861709,0.019644427640770252,1.7605476431535458,1.762185865638985
60.0,1.5156380302563233,0.4422815336233576,0.10749778944736951,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,2.9428042420793723,2.9674973511989187,0.04754428717790338,0.02211407668116788,1.7066084220686197,1.7083548698975963
62.0,1.464940543542412,0.4944212180190322,0.10391137201993153,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,2.84439411572655,2.87034848397804,0.05137598712012333,0.024721060900951608,1.6495230520287558,1.651359524140752
64.0,1.41203699887119,0.5486664556641617,0.10016719774848618,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,2.7416971238802077,2.768585821618473,0.05495838136247311,0.027433322783208085,1.58995366072896,1.5918571066189422
66.0,1.3576381026587587,0.6042504568606536,0.09631538428984492,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,2.6360924025587873,2.6635346615738604,0.05819861495984821,0.030212522843032677,1.5287005035937622,1.5306440871342153
68.0,1.3025434237112625,0.660318287398069,0.09241242324849297,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,2.5291318201156727,2.5567126134600957,0.061021613053750375,0.03301591436990345,1.4666638950988815,1.4686182302650501
70.0,1.2475972324978846,0.7159762177758245,0.08851808832610315,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,2.422454343536564,2.449748802367802,0.06337684608446971,0.03579881088879122,1.4047944837926178,1.4067294596784312
72.0,1.193638239318803,0.7703468432217937,0.08469187216961221,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,2.317688453352309,2.3442876959721515,0.06524211637240446,0.03851734216108968,1.344036657472972,1.3459232325194772
74.0,1.141449463130883,0.8226217799329936,0.08098942311357692,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,2.2163547866528486,2.2418880659460676,0.06662366339743697,0.041131088996649676,1.285272095485374,1.2870839121209643
76.0,1.0917164881232562,0.872106766818091,0.07745957057007254,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,2.11978504889575,2.1439382271793495,0.06755301564898371,0.04360533834090454,1.2292727656267863,1.2309874954995927
78.0,1.0449991612473581,0.9182537586850998,0.07414228373000245,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,2.029066968443289,2.051597654645845,0.06808143071257187,0.045912687934254987,1.1766690555645252,1.1782691730371988
80.0,1.0017100900159654,0.9606779382708219,0.07106714617550147,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.9450025464070269,1.965743888461411,0.06827263946667188,0.04803389691354109,1.127925561357977,1.1293990870210693
82.0,0.9621072014256222,0.9991582482475468,0.06825276437030689,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.8680934348229257,1.886947613037817,0.0681953124862884,0.04995791241237734,1.0833327088052505,1.084672931372917
84.0,0.9263134868273329,1.0336256770502157,0.06570811695462263,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.7985791342602981,1.8155180808608598,0.06791759687491657,0.05168128385251078,1.0430289861675768,1.0442333946428628
86.0,0.8943313521331062,1.0641427750047112,0.0634336636264881,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.7364651052289823,1.7515248142408693,0.06750247484020645,0.053207138750235555,1.0070171025018775,1.0080877823521488
88.0,0.8660440529238785,1.0908768672410103,0.06142137807760587,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.681525366662804,1.694779724951126,0.06700316049892437,0.05454384336205051,0.9751656035922871,0.9761085404093125
90.0,0.8412537625116812,1.1140696644655785,0.05965729575383588,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.6333759942783908,1.6449231898718542,0.06646238346339972,0.05570348322327892,0.9472517365881529,0.9480737441199598
92.0,0.8197439110249813,1.1340171691507468,0.058126284289322025,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.5915971125815167,1.6015837490716436,0.06591620436302849,0.056700858457537334,0.9230316438141289,0.9237429099259056
94.0,0.8012140512445705,1.1510399388365402,0.0568070064055068,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.555605289062543,1.5641733284512642,0.0653871331784815,0.057551996941827006,0.9021670217013863,0.9027769457963141
96.0,0.7853674697408264,1.1654662983117632,0.05567858312993879,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.5248248690516977,1.5321213803004246,0.06489151217569356,0.058273314915588154,0.8843237709281704,0.8848440431009873
98.0,0.7719160651033788,1.177617763672396,0.05472048416416093,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.4986962035688658,1.5048764818945202,0.06443981418846995,0.05888088818361979,0.8691774893064045,0.8696179343368454
100.0,0.7605559389646999,1.1877985615661895,0.05391120054017204,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.4766293587849653,1.4818325865873694,0.06403564645392272,0.059389928078309465,0.856385987274252,0.856756798984414
102.0,0.7510161470760455,1.1962888456081244,0.053231484976871316,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.4580981790757863,1.4624574927876122,0.0636802317129876,0.059814442280406215,0.8456441816076271,0.8459547592524389
104.0,0.7430421973290092,1.2033406418152839,0.05266323983245824,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.4426084056737194,1.446244581641251,0.06337181682006253,0.06016703209076419,0.8366655141924643,0.8369242074174263
106.0,0.7364026050510453,1.2091770702315883,0.05219007542005401,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.4297106595259748,1.432729941212498,0.06310704249158654,0.06045885351157941,0.8291893332874769,0.8294046785754983
108.0,0.7308980948582986,1.2139936767151887,0.05179772526034681,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.419017659773053,1.421517690548643,0.06288211093429162,0.060699683835759424,0.8229912548104441,0.8231694498374315
110.0,0.7263467144396043,1.217958575110208,0.051473291309233796,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.4101761421146368,1.4122397589320497,0.06269233653922705,0.060897928755510394,0.8178664004589944,0.8180135454863434
