Time,aRel,a,b,k1,k2,k3,k4,Brain,Loss_of_intracellular_choline,Abeta_formation_from_APP,Effect_of_extracellular_ACh,Decrease_in_the_extracellular_concentration_of_beta_amyloid
28.65,0.8177135806740555,40.88567903370278,2.093377931218596,0.007,0.28,0.0042,0.01,1.0,0.5991242473442817,0.28,0.17171985194155165,0.020933779312185957
28.799999999999997,0.8159125986368501,40.795629931842505,2.1064983101291967,0.007,0.28,0.0042,0.01,1.0,0.6015514785845762,0.28,0.1713416457137385,0.021064983101291967
28.95,0.8141043521337745,40.70521760668873,2.119655824143589,0.007,0.28,0.0042,0.01,1.0,0.6039673610113496,0.28,0.17096191394809265,0.021196558241435893
29.099999999999998,0.8122888751756752,40.61444375878376,2.1328506463079524,0.007,0.28,0.0042,0.01,1.0,0.6063717983425194,0.28,0.17058066378689177,0.021328506463079523
29.25,0.8104662020296977,40.52331010148488,2.146082948446136,0.007,0.28,0.0042,0.01,1.0,0.6087646937637423,0.28,0.1701979024262365,0.02146082948446136
29.4,0.808636367219288,40.4318183609644,2.1593529011596537,0.007,0.28,0.0042,0.01,1.0,0.6111459499383605,0.28,0.16981363711605046,0.021593529011596536
29.549999999999997,0.8067994055241919,40.3399702762096,2.1726606738276883,0.007,0.28,0.0042,0.01,1.0,0.6135154690174892,0.28,0.16942787516008032,0.021726606738276883
29.7,0.8049553519804548,40.24776759902274,2.1860064346070893,0.007,0.28,0.0042,0.01,1.0,0.6158731526502409,0.28,0.16904062391589547,0.021860064346070893
29.849999999999998,0.8031042418804217,40.15521209402109,2.1993903504323717,0.007,0.28,0.0042,0.01,1.0,0.6182189019940868,0.28,0.16865189079488857,0.021993903504323717
30.0,0.8012461107727382,40.06230553863691,2.2128125870157205,0.007,0.28,0.0042,0.01,1.0,0.6205526177253576,0.28,0.16826168326227503,0.022128125870157205
30.15,0.799380994462349,39.96904972311745,2.2262733088469844,0.007,0.28,0.0042,0.01,1.0,0.6228742000498803,0.28,0.16787000883709327,0.022262733088469846
30.299999999999997,0.7975089290104989,39.87544645052494,2.239772679193682,0.007,0.28,0.0042,0.01,1.0,0.6251835487137551,0.28,0.16747687509220474,0.02239772679193682
30.45,0.7956299507347323,39.781497536736616,2.253310860100998,0.007,0.28,0.0042,0.01,1.0,0.627480563014268,0.28,0.16708228965429378,0.02253310860100998
30.599999999999998,0.793744096208894,39.6872048104447,2.2668880123917834,0.007,0.28,0.0042,0.01,1.0,0.6297651418109422,0.28,0.16668626020386773,0.022668880123917833
30.75,0.791851402263128,39.5925701131564,2.2805042956665575,0.007,0.28,0.0042,0.01,1.0,0.6320371835367277,0.28,0.16628879447525685,0.022805042956665574
30.9,0.789951908575312,39.4975954287656,2.2941598589690866,0.007,0.28,0.0042,0.01,1.0,0.6342965857093245,0.28,0.1658899008008155,0.022941598589690866
31.049999999999997,0.7880456761609568,39.40228380804784,2.3078547741852264,0.007,0.28,0.0042,0.01,1.0,0.6365432416014312,0.28,0.16548959199380092,0.023078547741852265
31.2,0.7861327231073542,39.306636155367705,2.3215892675303973,0.007,0.28,0.0042,0.01,1.0,0.6387770524871677,0.28,0.16508787185254437,0.023215892675303974
31.349999999999998,0.7842130879601426,39.21065439800713,2.3353634912293226,0.007,0.28,0.0042,0.01,1.0,0.6409979152382143,0.28,0.16468474847162992,0.023353634912293225
31.5,0.7822868095494222,39.11434047747111,2.3491775961829555,0.007,0.28,0.0042,0.01,1.0,0.6432057263740308,0.28,0.16428023000537864,0.023491775961829556
31.65,0.7803539269897538,39.01769634948769,2.363031731968479,0.007,0.28,0.0042,0.01,1.0,0.6454003820750507,0.28,0.1638743246678483,0.02363031731968479
31.799999999999997,0.7784144796801594,38.92072398400797,2.3769260468393045,0.007,0.28,0.0042,0.01,1.0,0.6475817781960224,0.28,0.16346704073283347,0.023769260468393047
31.95,0.7764685073041215,38.82342536520608,2.3908606877250755,0.007,0.28,0.0042,0.01,1.0,0.6497498102794982,0.28,0.1630583865338655,0.023908606877250757
32.1,0.7745160498295841,38.72580249147921,2.404835800231663,0.007,0.28,0.0042,0.01,1.0,0.6519043735694681,0.28,0.16264837046421265,0.024048358002316632
32.25,0.7725571475089523,38.62785737544762,2.418851528641168,0.007,0.28,0.0042,0.01,1.0,0.6540453630251414,0.28,0.16223700097687999,0.02418851528641168
32.4,0.770591840879092,38.5295920439546,2.4329080159119214,0.007,0.28,0.0042,0.01,1.0,0.6561726733348734,0.28,0.16182428658460932,0.024329080159119214
32.55,0.76862017076133,38.4310085380665,2.447005403678485,0.007,0.28,0.0042,0.01,1.0,0.6582861989302391,0.28,0.1614102358598793,0.02447005403678485
32.699999999999996,0.7666421782614541,38.3321089130727,2.4611438322516492,0.007,0.28,0.0042,0.01,1.0,0.6603858340002515,0.28,0.16099485743490533,0.024611438322516492
32.85,0.7646579047697134,38.23289523848567,2.4753234406184337,0.007,0.28,0.0042,0.01,1.0,0.6624714725057272,0.28,0.1605781600016398,0.02475323440618434
33.0,0.7626673919608177,38.133369598040886,2.4895443664420878,0.007,0.28,0.0042,0.01,1.0,0.6645430081937967,0.28,0.16016015231177172,0.02489544366442088
