Time,x_Normal_Hematopoietic_Stem_Cell,y_Leukemic_Cell,a,b,c,A,B,C,compartment,Normal_Cells_Growth,Normal_Cells_Removal,Leukemic_Cells_Growth,Leukemic_Cells_Removal
28.0,1.5409669945946636,1.9451440401290154,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.1220120513932827,0.15409669945946636,0.21273474355339808,0.19451440401290154
29.0,1.5093821652751727,1.9637107356005714,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.11984060526805221,0.15093821652751727,0.2152761633503089,0.19637107356005715
30.0,1.4787478771111344,1.982939138676656,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.11769254877468942,0.14787478771111345,0.21783809283959543,0.1982939138676656
31.0,1.4489959103125003,2.002784594875769,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.11556759524771346,0.14489959103125002,0.22041803696643203,0.20027845948757694
32.0,1.4200642154113865,2.0232043739233747,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.11346550290972193,0.14200642154113866,0.22301354497415718,0.2023204373923375
33.0,1.3918964219214254,2.0441574836768956,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.11138607637376075,0.13918964219214255,0.22562220895989127,0.20441574836768958
34.0,1.3644414878556799,2.065604607133818,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.10932917060233102,0.136444148785568,0.22824166546650423,0.2065604607133818
35.0,1.3376525651113114,2.0875077832852447,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.10729465398738305,0.13376525651113114,0.23086961297675437,0.20875077832852448
36.0,1.3114879326124773,2.1098307621834365,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.1052824709385763,0.13114879326124773,0.23350378912887665,0.21098307621834367
37.0,1.2859087383251897,2.132538268010117,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.10329254594034293,0.12859087383251896,0.23614200882836686,0.2132538268010117
38.0,1.260880968690696,2.1555966472758734,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.10132489688607955,0.1260880968690696,0.23878211636156174,0.21555966472758736
39.0,1.236372954051562,2.178973147890715,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.09937952032675844,0.12363729540515621,0.24142203732195816,0.21789731478907148
40.0,1.212356615947859,2.202636361336418,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.09745646632143738,0.1212356615947859,0.24405974714017994,0.22026363613364183
41.0,1.1888065010186375,2.2265559227137333,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.09555579982687376,0.11888065010186376,0.24669328644997487,0.22265559227137333
42.0,1.1656995982828335,2.2507025255700306,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.0936775995196778,0.11656995982828336,0.2493207639430987,0.22507025255700308
43.0,1.1430152382661039,2.2750479496726843,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.09182196064896316,0.1143015238266104,0.2519403562590995,0.22750479496726844
44.0,1.1207346714843232,2.2995649027752654,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.08998898146126953,0.11207346714843232,0.254550310875323,0.22995649027752654
45.0,1.0988411841423675,2.3242271157019614,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.0881787762586553,0.10988411841423676,0.2571489408424392,0.23242271157019614
46.0,1.0773194747202397,2.349009197803008,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.08639144750321899,0.10773194747202397,0.25973463896841875,0.2349009197803008
47.0,1.056156162354259,2.373886709144542,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.08462712239129722,0.10561561623542591,0.26230585267802514,0.2373886709144542
48.0,1.0353388718299772,2.398836042089975,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.08288590500377636,0.10353388718299772,0.26486111471442164,0.2398836042089975
49.0,1.0148568826030635,2.4238345178025393,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.08116792052964435,0.10148568826030635,0.2673990126693097,0.24238345178025394
50.0,0.9947003507817219,2.4488602449620074,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.079473274912314,0.0994700350781722,0.26991821274590927,0.24488602449620075
51.0,0.9748606233592526,2.4738922235332956,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.07780207763034097,0.09748606233592527,0.2724174459420566,0.24738922235332958
52.0,0.9553299274383592,2.4989102635127143,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.0761544283981291,0.09553299274383592,0.27489551351169644,0.24989102635127144
53.0,0.9361013145250322,2.5238949905688406,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.07453041790441292,0.09361013145250323,0.277351285554628,0.25238949905688407
54.0,0.9171685929399482,2.5488278533812285,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.0729301275493491,0.09171685929399483,0.2797837003823908,0.25488278533812286
55.0,0.8985261743838827,2.573691077255946,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.07135362424864047,0.08985261743838828,0.2821917653015003,0.25736910772559457
56.0,0.8801691433893682,2.598467668383715,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.06980096842059015,0.08801691433893682,0.28457454921631403,0.2598467668383715
57.0,0.8620929784854521,2.623141401840443,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.06827219963498299,0.08620929784854521,0.2869311923569538,0.2623141401840443
58.0,0.8442937693420604,2.6476967925155352,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.06676735420984176,0.08442937693420605,0.2892608895839019,0.26476967925155354
