Time,I,U,V,m,K,xi,gamma,compartment,Tumor_Growth,Conversion_Uninfected_to_Infected,Tumor_Cell_Death,Viral_Decay
494.0,19.89272338829031,71.83761622970677,4.891909610244196,0.1,100.0,0.06,0.1,1.0,2.376114961100565,3.831045722436084,1.1935634032974185,0.4891909610244196
495.0,22.663872579646842,70.21897966258187,5.641364280485516,0.1,100.0,0.06,0.1,1.0,2.482602881366058,4.264843661858711,1.3598323547788105,0.5641364280485516
496.0,25.701785562883593,68.27427041004512,6.485481101874601,0.1,100.0,0.06,0.1,1.0,2.6056001714530876,4.7117479649941565,1.5421071337730154,0.6485481101874602
497.0,28.99922380873318,66.00984009084644,7.430316413756591,0.1,100.0,0.06,0.1,1.0,2.7418267186835825,5.162391651546778,1.7399534285239908,0.7430316413756591
498.0,32.53931272170361,63.438648719337486,8.480662810787432,0.1,100.0,0.06,0.1,1.0,2.88707329448867,5.60547214050994,1.9523587633022166,0.8480662810787433
499.0,36.29437820157327,60.58112793344571,9.63958513406891,0.1,100.0,0.06,0.1,1.0,3.0362459326331255,6.028117565842285,2.177662692094396,0.963958513406891
500.0,40.22532274452978,57.46565121876233,10.907945899279667,0.1,100.0,0.06,0.1,1.0,3.1834981606865242,6.416480347474779,2.4135193646717865,1.0907945899279667
501.0,44.28174284588646,54.12845220338145,12.283962806646594,0.1,100.0,0.06,0.1,1.0,3.322459713631582,6.756534658983302,2.6569045707531878,1.2283962806646596
502.0,48.40283621207117,50.61299977220142,13.762835949379168,0.1,100.0,0.06,0.1,1.0,3.4465515895335392,7.035020265661504,2.90417017272427,1.3762835949379169
503.0,52.51925062656182,46.96870754167905,15.336492129297964,0.1,100.0,0.06,0.1,1.0,3.5493716987113704,7.2404261460278745,3.151155037593709,1.5336492129297965
504.0,56.55573561297664,43.249101957367216,16.993481265148258,0.1,100.0,0.06,0.1,1.0,3.6251125518655436,7.363899603854387,3.393344136778598,1.6993481265148258
505.0,60.43443229038795,39.509584318691196,18.719051435209263,0.1,100.0,0.06,0.1,1.0,3.668966290627419,7.399962160197318,3.626065937423277,1.8719051435209264
506.0,64.0785500613133,35.80498764589218,20.49542489701967,0.1,100.0,0.06,0.1,1.0,3.6774693502148637,7.346940768019695,3.8447130036787973,2.049542489701967
507.0,67.41606040557382,32.18717920386107,22.302250386206286,0.1,100.0,0.06,0.1,1.0,3.6487449886071817,7.207060057936144,4.044963624334429,2.230225038620629
508.0,70.38311841750755,28.702905779630694,24.117222788052825,0.1,100.0,0.06,0.1,1.0,3.5826158194200866,6.98619587334129,4.222987105050453,2.4117222788052826
509.0,72.92687486514178,25.3920959196473,25.916823788760002,0.1,100.0,0.06,0.1,1.0,3.4805764636492253,6.69334178667585,4.375612491908507,2.5916823788760004
510.0,75.00752781981274,22.286691593476252,27.67712520913278,0.1,100.0,0.06,0.1,1.0,3.345634627697477,6.33985818941386,4.500451669188764,2.7677125209132782
511.0,76.59943221230877,19.410102546416113,29.374612049290935,0.1,100.0,0.06,0.1,1.0,3.1820466086787307,5.9386209252109055,4.595965932738526,2.9374612049290936
512.0,77.69131118877475,16.777216364831148,30.98696052302635,0.1,100.0,0.06,0.1,1.0,2.994982076169124,5.50315490932462,4.661478671326485,3.0986960523026355
513.0,78.28567002548321,14.394875434228885,32.4937331648893,0.1,100.0,0.06,0.1,1.0,2.790155704613089,5.04683306492817,4.697140201528993,3.24937331648893
514.0,78.39748728998156,12.262748423260126,33.876949072897915,0.1,100.0,0.06,0.1,1.0,2.573465414927626,4.582212924556364,4.703849237398893,3.3876949072897915
515.0,78.0524591429071,10.374407793707036,35.121513864888726,0.1,100.0,0.06,0.1,1.0,2.3506625754140478,4.120522639661927,4.683147548574426,3.5121513864888727
516.0,77.2848631873154,8.71859674248491,36.21549806892147,0.1,100.0,0.06,0.1,1.0,2.1270864093544803,3.6713444290368615,4.637091791238923,3.6215498068921472
517.0,76.13538260943052,7.280435114678632,37.15025848689871,0.1,100.0,0.06,0.1,1.0,1.9074591167001655,3.242431157385069,4.568122956565831,3.715025848689871
518.0,74.64895836145979,6.042562975035298,37.920432326146205,0.1,100.0,0.06,0.1,1.0,1.6957497844107219,2.8396614238535745,4.478937501687588,3.7920432326146205
519.0,72.87273447221133,4.986208871459751,38.523806390852755,0.1,100.0,0.06,0.1,1.0,1.4951118930419942,2.4671249947560723,4.37236406833268,3.8523806390852755
520.0,70.85426181757819,4.092087287643588,38.961088298870685,0.1,100.0,0.06,0.1,1.0,1.3078781589316488,2.1272840644543134,4.251255709054691,3.8961088298870687
521.0,68.6399936250043,3.341117919146856,39.23560915424696,0.1,100.0,0.06,0.1,1.0,1.1356007849714742,1.8211832799148926,4.118399617500257,3.923560915424696
522.0,66.27409752523805,2.7149746786947047,39.352973307199356,0.1,100.0,0.06,0.1,1.0,0.9791250904497931,1.5486847793019642,3.9764458515142826,3.9352973307199357
523.0,63.7975582064012,2.196488870865692,39.32068478569347,0.1,100.0,0.06,0.1,1.0,0.8386875570591149,1.3087157153049467,3.827853492384072,3.9320684785693474
524.0,61.24757153052196,1.7699125559027946,39.14776609673568,0.1,100.0,0.06,0.1,1.0,0.7140252107520898,1.0995063315306854,3.6748542918313176,3.9147766096735683
525.0,58.65719630796647,1.4210570437704655,38.844385880071925,0.1,100.0,0.06,0.1,1.0,0.6044848676104716,0.9188031456679876,3.5194317784779883,3.8844385880071925
526.0,56.05521979778897,1.1373449238284348,38.421508927633575,0.1,100.0,0.06,0.1,1.0,0.5091294587187029,0.7640592506626295,3.3633131878673383,3.8421508927633576
527.0,53.4662031050312,0.9077871837674506,37.890576746028145,0.1,100.0,0.06,0.1,1.0,0.42683386236583043,0.6325925276572396,3.207972186301872,3.7890576746028146
528.0,50.910662718564154,0.7229058081210107,37.26322653810024,0.1,100.0,0.06,0.1,1.0,0.35636701088983697,0.5217110430746172,3.0546397631138493,3.7263226538100245
529.0,48.40534117457161,0.5746239315515558,36.55104793934442,0.1,100.0,0.06,0.1,1.0,0.29646053444060316,0.4288101639870259,2.9043204704742966,3.6551047939344423
530.0,45.96354996985389,0.45613187078750334,35.76538240950536,0.1,100.0,0.06,0.1,1.0,0.24586162416335794,0.3514399526451544,2.757812998191233,3.5765382409505357
531.0,43.59554436433076,0.36174436865229104,34.9171621857727,0.1,100.0,0.06,0.1,1.0,0.20337223790033368,0.2873490871274858,2.6157326618598455,3.4917162185772703
532.0,41.30890331338125,0.28675949366564646,34.01678724402242,0.1,100.0,0.06,0.1,1.0,0.16787708278781285,0.23451090878098269,2.478534198802875,3.4016787244022417
533.0,39.10891160518563,0.22731884428278315,33.0740292827986,0.1,100.0,0.06,0.1,1.0,0.13835924746427064,0.19113041657610857,2.3465346963111378,3.30740292827986
534.0,36.99891810423025,0.18027860491947406,32.09796810021172,0.1,100.0,0.06,0.1,1.0,0.11390763044598312,0.15564018112397482,2.2199350862538147,3.2097968100211727
535.0,34.98066149328699,0.1430967200461878,31.09697228158239,0.1,100.0,0.06,0.1,1.0,0.09371983307366503,0.12669130421164496,2.0988396895972192,3.109697228158239
536.0,33.05456960213943,0.1137286843047662,30.078673175378007,0.1,100.0,0.06,0.1,1.0,0.07709792400659635,0.10313486378850134,1.9832741761283659,3.007867317537801
537.0,31.22002217731236,0.09053823095004246,29.049964321077272,0.1,100.0,0.06,0.1,1.0,0.0634415260340077,0.08400144693986805,1.8732013306387414,2.9049964321077275
538.0,29.475570255159063,0.07222341706032463,28.017025501398194,0.1,100.0,0.06,0.1,1.0,0.052240361336396215,0.06848177363170428,1.7685342153095438,2.8017025501398196
539.0,27.81913505021742,0.05775042875141103,26.98534575672262,0.1,100.0,0.06,0.1,1.0,0.0430633090535497,0.055903493545988746,1.669148103013045,2.6985345756722623
540.0,26.248165666139847,0.0463021535259608,25.959758448188914,0.1,100.0,0.06,0.1,1.0,0.03554957569596074,0.04571276092782995,1.5748899399683909,2.5959758448188914
541.0,24.759772169613292,0.03723432511947576,24.944481325358918,0.1,100.0,0.06,0.1,1.0,0.029399085273830387,0.03745576821147319,1.4855863301767975,2.494448132535892
542.0,23.35083504520761,0.03003967178611959,23.94315838235619,0.1,100.0,0.06,0.1,1.0,0.024363395123541517,0.03076209201045397,1.4010501027124564,2.3943158382356193
543.0,22.018091993024086,0.024319800185713926,22.958904286346122,0.1,100.0,0.06,0.1,1.0,0.0202380491273079,0.025330983286451034,1.321085519581445,2.2958904286346122
544.0,20.758207546046666,0.019761924497704177,21.99434863144453,0.1,100.0,0.06,0.1,1.0,0.016855278162855376,0.020918822584996437,1.2454924527628,2.1994348631444534
545.0,19.567827929864777,0.016120646032417023,21.051679533427627,0.1,100.0,0.06,0.1,1.0,0.014077877508196045,0.01732881767081118,1.1740696757918865,2.1051679533427627
546.0,18.44362295251611,0.013203504770080062,20.132685919988933,0.1,100.0,0.06,0.1,1.0,0.011793955584162782,0.014402368424185904,1.1066173771509666,2.0132685919988935
547.0,17.382318079558313,0.01085945427322218,19.238797810859072,0.1,100.0,0.06,0.1,1.0,0.009912389758086169,0.012011769827129887,1.0429390847734987,1.9238797810859074
548.0,16.380718266468925,0.00896989164387335,18.371124385097218,0.1,100.0,0.06,0.1,1.0,0.008359088548684529,0.010054309363346422,0.9828430959881355,1.837112438509722
549.0,15.435724986278972,0.007441600965229375,17.53048957565365,0.1,100.0,0.06,0.1,1.0,0.007073866406941298,0.008447419602070556,0.9261434991767383,1.7530489575653652
550.0,14.544348297937757,0.006201197143010386,16.717465092036075,0.1,100.0,0.06,0.1,1.0,0.006007833338533666,0.007124699778668704,0.8726608978762654,1.6717465092036077
551.0,13.7037145170735,0.005190832349246825,15.932400867113994,0.1,100.0,0.06,0.1,1.0,0.005121291497614217,0.0060327516832455125,0.8222228710244099,1.5932400867113996
552.0,12.911070759528629,0.004364809359552827,15.175452943880975,0.1,100.0,0.06,0.1,1.0,0.004381985299659304,0.005128588864975248,0.7746642455717178,1.5175452943880976
553.0,12.163786988724812,0.0036869545771689234,14.446608892721384,0.1,100.0,0.06,0.1,1.0,0.0037636891959851666,0.0043775717975471345,0.7298272193234887,1.4446608892721384
554.0,11.459356103858656,0.0031285690137922693,13.745710871502203,0.1,100.0,0.06,0.1,1.0,0.0032450612025095743,0.003751752463137872,0.6875613662315193,1.3745710871502204
555.0,10.795392601655655,0.0026668239951958233,13.072476447795042,0.1,100.0,0.06,0.1,1.0,0.0028087089564591853,0.003228542508739785,0.6477235560993393,1.3072476447795043
556.0,10.169630163654293,0.002283513959166099,12.426517331606064,0.1,100.0,0.06,0.1,1.0,0.002440439321563199,0.002789654600883276,0.6101778098192576,1.2426517331606064
557.0,9.579918452803405,0.001964079538878252,11.8073561655654,0.1,100.0,0.06,0.1,1.0,0.002128650108617524,0.0024202537001219173,0.5747951071682043,1.1807356165565401
558.0,9.02421937048494,0.0016968415738494262,11.214441516350234,0.1,100.0,0.06,0.1,1.0,0.001863837397924537,0.0021082768934884205,0.5414531622290963,1.1214441516350235
559.0,8.500602933583652,0.0014724045750834716,10.647161214275968,0.1,100.0,0.06,0.1,1.0,0.0016382015465013049,0.0018438943740230749,0.510036176015019,1.0647161214275969
560.0,8.007242918069851,0.0012831928525803011,10.10485418042157,0.1,100.0,0.06,0.1,1.0,0.0014453337749925604,0.001619084021340556,0.480434575084191,1.0104854180421572
