Time,CSC_Plot,CTL_Plot,Tumor_Plot,Tumor,CancerStemCell,CytotoxicTcell,TGFb,IFNy,MHC1,MHC2,r1,k1,at,et,atb,etb,ht,r2,k2,ra,as,es,asb,esb,hs,uc,gb,abt,abs,ub,gm1,am1y,em1y,um1,am2y,em2y,am2b,em2b,um2,ayc,uy,N,tumor_microenvironment,tumor_growth,tumor_transformation,tumor_killing,csc_growth,csc_killing,ctl_death,ctl_source,tgfb_source,tgfb_by_tumor,tgfb_by_csc,tgfb_decay,ifny_production,ifny_decay,mhc1_source,mhc1_decay,mhc1_stimulation,mhc2_production,mhc2_decay
626.5,0.999985308500487,0.031141667364798797,2.6200414587876918e-05,2620.0414587876917,9999853.08500487,3.1141667364798797,9143.216315181626,0.0033436316539055405,99.99396538377202,2.8868205132269993,0.001,100000000.0,0.12,50.0,0.69,10000.0,500000000.0,0.1,10000000.0,0.006,0.012,50.0,0.69,10000.0,500000000.0,0.007,63945.0,5.75e-06,5.75e-06,7.0,1.44,2.88,338000.0,0.0144,8660.0,1420.0,0.012,100000.0,0.0144,0.000102,0.102,0.0,1.0,2.6199728126152344,15.719605927715602,1.6516547884981512e-08,14.691283672895212,6.180263129041105e-06,0.021799167155359157,0.0,63945.0,0.015065238388029227,57.499155238778,64002.51420627138,0.00031764500712094774,0.00034105042869836513,1.44,1.4399131015263171,2.8490115585761845e-08,0.0187036533975354,0.04157021539046879
630.0,0.9999849441393975,0.030387967261307512,2.6850227061371098e-05,2685.0227061371097,9999849.441393975,3.038796726130751,9143.216365515784,0.003262708063846092,99.99426208348966,2.807988969640379,0.001,100000000.0,0.12,50.0,0.69,10000.0,500000000.0,0.1,10000000.0,0.006,0.012,50.0,0.69,10000.0,500000000.0,0.007,63945.0,5.75e-06,5.75e-06,7.0,1.44,2.88,338000.0,0.0144,8660.0,1420.0,0.012,100000.0,0.0144,0.000102,0.102,0.0,1.0,2.684950612667785,16.109461130553814,1.6516578564025968e-08,15.055633923525741,6.03070208105959e-06,0.021271577082915258,0.0,63945.0,0.01543888056028838,57.499134288015355,64002.514558610485,0.0003099572660653366,0.0003327962225123014,1.44,1.439917374002251,2.7800589151395086e-08,0.018250982922162817,0.040435041162821456
633.5,0.9999845707444902,0.02965250847173922,2.7516155303409427e-05,2751.6155303409428,9999845.707444903,2.9652508471739223,9143.216417098283,0.0031837430148603744,99.99454419745899,2.7315059441836667,0.001,100000000.0,0.12,50.0,0.69,10000.0,500000000.0,0.1,10000000.0,0.006,0.012,50.0,0.69,10000.0,500000000.0,0.007,63945.0,5.75e-06,5.75e-06,7.0,1.44,2.88,338000.0,0.0144,8660.0,1420.0,0.012,100000.0,0.0144,0.000102,0.102,0.0,1.0,2.751539816460675,16.508984173498806,1.6516606447099448e-08,15.429017447865654,5.884759483282429e-06,0.020756755930217457,0.0,63945.0,0.01582178929946042,57.49911281780819,64002.51491968798,0.00030245558641174005,0.00032474178751575814,1.44,1.4399214364434094,2.71277508770121e-08,0.01780926808646739,0.0393336855962448
637.0,0.9999841880902125,0.02893484954192973,2.8198598976471947e-05,2819.859897647195,9999841.880902125,2.893484954192973,9143.216469960069,0.003106689108711907,99.99481244213064,2.6572929737674413,0.001,100000000.0,0.12,50.0,0.69,10000.0,500000000.0,0.1,10000000.0,0.006,0.012,50.0,0.69,10000.0,500000000.0,0.007,63945.0,5.75e-06,5.75e-06,7.0,1.44,2.88,338000.0,0.0144,8660.0,1420.0,0.012,100000.0,0.0144,0.000102,0.102,0.0,1.0,2.8197803815487714,16.918414772614547,1.651663166480046e-08,15.811659771008673,5.742347858611669e-06,0.02025439467935081,0.0,63945.0,0.016214194411471372,57.499090815187216,64002.51528972048,0.00029513546532768326,0.0003168822890886145,1.44,1.439925299166681,2.6471196896013354e-08,0.017378243757718955,0.038265018822251154
640.5,0.9999837959434532,0.028234559495187543,2.889796750543038e-05,2889.796750543038,9999837.959434532,2.8234559495187543,9143.216524132824,0.0030315000721141696,99.99506750208097,2.5852743423502313,0.001,100000000.0,0.12,50.0,0.69,10000.0,500000000.0,0.1,10000000.0,0.006,0.012,50.0,0.69,10000.0,500000000.0,0.007,63945.0,5.75e-06,5.75e-06,7.0,1.44,2.88,338000.0,0.0144,8660.0,1420.0,0.012,100000.0,0.0144,0.000102,0.102,0.0,1.0,2.8897132412904436,17.337998497282065,1.651665413789916e-08,16.203793975338343,5.603381799587154e-06,0.01976419164663128,0.0,63945.0,0.016616331315622467,57.49906826674856,64002.515668929766,0.00028799250685091296,0.0003092130073556453,1.44,1.439928972029966,2.5830532927170253e-08,0.01695765109573333,0.03722795052984333
644.0,0.9999833940710818,0.02755121815531035,2.9614680751548077e-05,2961.4680751548076,9999833.940710818,2.755121815531035,9143.216579649092,0.0029581307914115524,99.99531002250114,2.5153775541004344,0.001,100000000.0,0.12,50.0,0.69,10000.0,500000000.0,0.1,10000000.0,0.006,0.012,50.0,0.69,10000.0,500000000.0,0.007,63945.0,5.75e-06,5.75e-06,7.0,1.44,2.88,338000.0,0.0144,8660.0,1420.0,0.012,100000.0,0.0144,0.000102,0.102,0.0,1.0,2.961380372223206,17.767987174507475,1.6516674158939076e-08,16.605653161292246,5.4677780327306594e-06,0.019285852708717247,0.0,63945.0,0.017028441432140145,57.4990451590872,64002.516057543646,0.00028102242518416557,0.0003017293407239783,1.44,1.4399324643240163,2.5205374570131587e-08,0.016547237746881025,0.036221436779046254
647.5,0.9999829822313996,0.026884415281634023,3.0349168793859773e-05,3034.916879385977,9999829.822313996,2.6884415281634024,9143.21663654218,0.002886537219711678,99.99554062037035,2.4475325983309624,0.001,100000000.0,0.12,50.0,0.69,10000.0,500000000.0,0.1,10000000.0,0.006,0.012,50.0,0.69,10000.0,500000000.0,0.007,63945.0,5.75e-06,5.75e-06,7.0,1.44,2.88,338000.0,0.0144,8660.0,1420.0,0.012,100000.0,0.0144,0.000102,0.102,0.0,1.0,3.0348247721813295,18.208638757413684,1.6516691769463744e-08,17.017478995965458,5.335455248052106e-06,0.01881909069714382,0.0,63945.0,0.017450772056469367,57.49902147830548,64002.51645579526,0.00027422103587266704,0.00029442679641059115,1.44,1.439935784933333,2.4595346514124995e-08,0.016146757324613632,0.03524446941596586
651.0,0.9999825601766091,0.026233750449520244,3.1101872280843075e-05,3110.1872280843077,9999825.60176609,2.6233750449520246,9143.216694846216,0.0028166763640533267,99.99575988401766,2.3816719658761265,0.001,100000000.0,0.12,50.0,0.69,10000.0,500000000.0,0.1,10000000.0,0.006,0.012,50.0,0.69,10000.0,500000000.0,0.007,63945.0,5.75e-06,5.75e-06,7.0,1.44,2.88,338000.0,0.0144,8660.0,1420.0,0.012,100000.0,0.0144,0.000102,0.102,0.0,1.0,3.1100904954383704,18.6602175360564,1.6516706884961154e-08,17.439519243423568,5.2063340758378855e-06,0.01836362531466417,0.0,63945.0,0.01788357656148477,57.498997210155025,64002.51686392351,0.0002675842545851065,0.0002873009891334393,1.44,1.4399389423298543,2.4000082428618685e-08,0.015755969337692993,0.03429607630861622
654.5,0.9999821276537537,0.025598833318447957,3.187324313714631e-05,3187.324313714631,9999821.276537538,2.5598833318447958,9143.21675459621,0.00274850631419116,99.99596836722762,2.317731021588109,0.001,100000000.0,0.12,50.0,0.69,10000.0,500000000.0,0.1,10000000.0,0.006,0.012,50.0,0.69,10000.0,500000000.0,0.007,63945.0,5.75e-06,5.75e-06,7.0,1.44,2.88,338000.0,0.0144,8660.0,1420.0,0.012,100000.0,0.0144,0.000102,0.102,0.0,1.0,3.187222723351823,19.122994561222484,1.651671984823954e-08,17.87202682552341,5.080337140054905e-06,0.01791918332291357,0.0,63945.0,0.018327114803859127,57.498972340090845,64002.51728217347,0.00026110809984816914,0.0002803476440474983,1.44,1.4399419444880777,2.341922520858773e-08,0.015374639351216277,0.03337532671086876
658.0,0.9999816844045565,0.024979282645042216,3.2663744164616866e-05,3266.3744164616865,9999816.844045565,2.4979282645042216,9143.21681582802,0.002681986136625799,99.99616660144665,2.2556471979034454,0.001,100000000.0,0.12,50.0,0.69,10000.0,500000000.0,0.1,10000000.0,0.006,0.012,50.0,0.69,10000.0,500000000.0,0.007,63945.0,5.75e-06,5.75e-06,7.0,1.44,2.88,338000.0,0.0144,8660.0,1420.0,0.012,100000.0,0.0144,0.000102,0.102,0.0,1.0,3.266267724443401,19.597247404830902,1.651673060406652e-08,18.315259982482345,4.957388863574833e-06,0.01748549785152955,0.0,63945.0,0.018781652894654697,57.498946853262,64002.51771079614,0.0002547886829794306,0.0002735625859358315,1.44,1.4399447990608316,2.285242607157518e-08,0.015002538393849435,0.03248131964980961
