Time,P_10,X_1000,T_Cancer_Cell_Total,T_ast,X_Complex,P_Perforin,C_Cancer_Uncomplexed,E_CTL,k,k_1,k_2,k_3,k_4,k_5,k_6,k_p,k_m,k_m_1,k_m_2,E_init,Perc_Lysis,ModelValue_11,compartment,X_Complex_Formation,X_Complex_Dissociation,X_Complex_Apoptosis,P_Production,P_Apoptosis_Perforin,C_Growth,C_Carrying_Capacity_Limit,T_Growth,T_Carrying_Capacity_Limit
4.56,0.002127151948975204,0.3502932218739869,0.7975305377649095,1.1558971395326607,0.0003502932218739869,0.0002127151948975204,0.7971802445430355,0.999649706778126,0.035,0.0001,0.0001,0.0001,3.0,0.003,0.63,0.097,1.0,2.2,80.0,1.0,31.00332975238973,1.0,1.0,7.969009977067603e-05,3.502932218739869e-08,3.502932218739869e-08,0.00047519364899341495,0.0005087170532592743,0.027901308559006244,0.0019064890268690818,0.04045639988364313,0.0040082945915393626
4.68,0.002090138325561222,0.3598657761588308,0.800594829884189,1.1602782830343403,0.0003598657761588308,0.00020901383255612221,0.8002349641080301,0.9996401342238411,0.035,0.0001,0.0001,0.0001,3.0,0.003,0.63,0.097,1.0,2.2,80.0,1.0,30.99975742108292,1.0,1.0,7.99946986931562e-05,3.598657761588308e-08,3.598657761588308e-08,0.00047337658577180537,0.0005017805303808909,0.028008223743781056,0.0019211279933429406,0.04060973990620192,0.00403873708224335
4.8,0.0020584967440535817,0.3694747225592927,0.8036709679420629,1.1646741921483337,0.0003694747225592927,0.0002058496744053582,0.8033014932195036,0.9996305252774407,0.035,0.0001,0.0001,0.0001,3.0,0.003,0.63,0.097,1.0,2.2,80.0,1.0,30.996069685408905,1.0,1.0,8.030046936231648e-05,3.694747225592927e-08,3.694747225592927e-08,0.0004715663977221042,0.0004960780524857186,0.028115552262682628,0.0019358798670260527,0.040763596725191684,0.004069397921569121
4.92,0.0020309411337478067,0.37912020020595383,0.8067588583336712,1.1690849026784784,0.00037912020020595385,0.00020309411337478066,0.8063797381334653,0.9996208797997941,0.035,0.0001,0.0001,0.0001,3.0,0.003,0.63,0.097,1.0,2.2,80.0,1.0,30.992278106978006,1.0,1.0,8.060740232857022e-05,3.791202002059539e-08,3.791202002059539e-08,0.0004697631405064227,0.0004913129338788118,0.02822329083467129,0.0019507448462165883,0.04091797159374675,0.004100278529012243
5.04,0.0020064974730329486,0.3888023472830318,0.8098584382939692,1.1735104504081522,0.0003888023472830318,0.00020064974730329486,0.8094696359466862,0.999611197652717,0.035,0.0001,0.0001,0.0001,3.0,0.003,0.63,0.097,1.0,2.2,80.0,1.0,30.98839145298648,1.0,1.0,8.091549122521759e-05,3.8880234728303184e-08,3.8880234728303184e-08,0.00046796684967377594,0.00048725963370717796,0.02833143725813402,0.0019657232745589823,0.04107286576428533,0.0041313803316514325
5.16,0.0019844272010450456,0.39852130135986463,0.8129696683414037,1.1779508710992723,0.0003985213013598646,0.00019844272010450454,0.8125711470400439,0.9996014786986401,0.035,0.0001,0.0001,0.0001,3.0,0.003,0.63,0.097,1.0,2.2,80.0,1.0,30.98441638888263,1.0,1.0,8.12247320129078e-05,3.985213013598646e-08,3.985213013598646e-08,0.0004661775457187123,0.0004837464860911909,0.02843999014640154,0.0019808156070059177,0.04122828048847454,0.004162704764170603
5.279999999999999,0.001964172224764057,0.40827719962765424,0.81609252685159,1.1824062004912896,0.0004082771996276542,0.0001964172224764057,0.8156842496519623,0.9995917228003723,0.035,0.0001,0.0001,0.0001,3.0,0.003,0.63,0.097,1.0,2.2,80.0,1.0,30.980357975752863,1.0,1.0,8.15351224370734e-05,4.082771996276542e-08,4.082771996276542e-08,0.0004643952377127311,0.00048064330420316857,0.028548948737818682,0.0019960223853908543,0.04138421701719514,0.004194253268880743
5.3999999999999995,0.0019453111109253777,0.41807017908772215,0.8192270057343811,1.1868764743001763,0.0004180701790877221,0.00019453111109253777,0.8188089355552934,0.9995819298209123,0.035,0.0001,0.0001,0.0001,3.0,0.003,0.63,0.097,1.0,2.2,80.0,1.0,30.97622006389284,1.0,1.0,8.184666159569673e-05,4.180701790877221e-08,4.180701790877221e-08,0.00046261992615877673,0.00047785143601820814,0.028658312744435272,0.002011344218835578,0.04154067660050617,0.004226027295741651
5.52,0.001927525593329659,0.42790037669501946,0.8223731071285528,1.1913617282174047,0.00042790037669501946,0.0001927525593329659,0.8219452067518578,0.999572099623305,0.035,0.0001,0.0001,0.0001,3.0,0.003,0.63,0.097,1.0,2.2,80.0,1.0,30.972005592370117,1.0,1.0,8.21593496088266e-05,4.2790037669501945e-08,4.2790037669501945e-08,0.00046085160515414725,0.00047529612669865314,0.028768082236315023,0.0020267817687070625,0.041697660487609166,0.004258028302383484
5.64,0.0019105756901189042,0.4377679294642844,0.8255308409458594,1.1958619979089216,0.0004377679294642844,0.0001910575690118904,0.8250930730163951,0.9995622320705357,0.035,0.0001,0.0001,0.0001,3.0,0.003,0.63,0.097,1.0,2.2,80.0,1.0,30.967716811021795,1.0,1.0,8.247318737302055e-05,4.377679294642844e-08,4.377679294642844e-08,0.00045909026398903,0.00047292083021718785,0.02887825755557383,0.002042335737418915,0.041855169926812257,0.004290257754128153
5.76,0.0018942808202580365,0.4476729745504497,0.8287002230070101,1.2003773190141134,0.0004476729745504497,0.00018942808202580366,0.8282525500324597,0.9995523270254496,0.035,0.0001,0.0001,0.0001,3.0,0.003,0.63,0.097,1.0,2.2,80.0,1.0,30.96335544829911,1.0,1.0,8.278817637497077e-05,4.476729745504497e-08,4.476729745504497e-08,0.00045733588835044335,0.0004706828759568895,0.02898883925113609,0.002058006859905816,0.04201320616549397,0.004322717124010532
5.88,0.0018785051342107585,0.4576156493109911,0.8318812735934584,1.2049077271447663,0.00045761564931099107,0.00018785051342107585,0.8314236579441474,0.999542384350689,0.035,0.0001,0.0001,0.0001,3.0,0.003,0.63,0.097,1.0,2.2,80.0,1.0,30.958922840942975,1.0,1.0,8.310431854670648e-05,4.576156493109911e-08,4.576156493109911e-08,0.00045558846124729604,0.0004685500830457111,0.02909982802804516,0.00207379589696768,0.04217177045006683,0.0043554078927995
6.0,0.001863145826001104,0.4675960913554688,0.8350740162933481,1.2094532578840198,0.0004675960913554688,0.00018631458260011039,0.8346064202019926,0.9995324039086445,0.035,0.0001,0.0001,0.0001,3.0,0.003,0.63,0.097,1.0,2.2,80.0,1.0,30.95442003650981,1.0,1.0,8.34216161502086e-05,4.675960913554688e-08,4.675960913554688e-08,0.00045384796373621746,0.0004664980404459197,0.029211224707069744,0.002089703629927155,0.0423308640259407,0.0043883315490188075
6.12,0.0018481253728610718,0.4776144385788007,0.8382784772351972,1.214013946785312,0.00047761443857880073,0.00018481253728610717,0.8378008627966184,0.9995223855614211,0.035,0.0001,0.0001,0.0001,3.0,0.003,0.63,0.097,1.0,2.2,80.0,1.0,30.94984786171986,1.0,1.0,8.374007170078929e-05,4.7761443857880077e-08,4.7761443857880077e-08,0.00045211437540722396,0.0004645083095817983,0.029323030197881645,0.0021057308571082746,0.042490488137485925,0.00442148958896775
