Time,C,M,X,V1,V3,VM1,VM3,Kc,cell,reaction1,reaction2,reaction3,reaction4,reaction5,reaction6,reaction7
2.0,0.05928598753091672,0.001333401519958081,1.3240445189711625e-05,0.31800897315153703,0.001333401519958081,3.0,1.0,0.5,1.0,0.025,0.0005928598753091672,2.4751311450681557e-06,0.31642473704348517,0.3158022231235956,0.001326767594151194,0.0013205475913703733
2.1,0.06172522707492359,0.0013959564258742795,1.3865621436628175e-05,0.3296552696930448,0.0013959564258742795,3.0,1.0,0.5,1.0,0.025,0.0006172522707492358,2.618098053512207e-06,0.32801291247157005,0.32738413137722305,0.001389011273209375,0.0013827276679839742
2.2,0.06416201420992326,0.001459137150972715,1.4497206670666458e-05,0.3411892998491497,0.001459137150972715,3.0,1.0,0.5,1.0,0.025,0.0006416201420992326,2.7630338613551808e-06,0.3394893725592907,0.3388541960483784,0.0014518776574431213,0.0014455294392607468
2.3000000000000003,0.06659635119035988,0.001522953593702512,1.5135304843867043e-05,0.35261267241016225,0.001522953593702512,3.0,1.0,0.5,1.0,0.025,0.0006659635119035988,2.909926523750381e-06,0.350855718059921,0.35021411048504725,0.0015153765960421316,0.0015089627621062002
2.4000000000000004,0.06902824027126271,0.0015874151267181462,1.5780014294709166e-05,0.36392696558446436,0.0015874151267181462,3.0,1.0,0.5,1.0,0.025,0.0006902824027126271,3.0587671251847353e-06,0.3621135192959149,0.3614654070334103,0.0015795174150170573,0.0015730369204527465
2.5,0.0714576837035484,0.0016525317320096047,1.6431440345328583e-05,0.37513372770021963,0.0016525317320096047,3.0,1.0,0.5,1.0,0.025,0.000714576837035484,3.2095517277589293e-06,0.37326431685520206,0.3726096616852377,0.0016443100466820623,0.0016377618772157932
2.6,0.07388468373875867,0.0017183131097758117,1.708968507487817e-05,0.38623447793072035,0.0017183131097758117,3.0,1.0,0.5,1.0,0.025,0.0007388468373875867,3.3622789327006277e-06,0.3843096223145081,0.3836483388833491,0.0017097641429618521,0.0017031472574346766
2.7,0.07630924262401874,0.0017847691892585089,1.775485331956562e-05,0.3972307069546818,0.0017847691892585089,3.0,1.0,0.5,1.0,0.025,0.0007630924262401874,3.5169506394257176e-06,0.3952509188954751,0.3945828825137003,0.0017758895836839945,0.0017692029442031877
2.8000000000000003,0.07873136260488274,0.001851910147593777,1.8427052134128078e-05,0.40812387763388763,0.001851910147593777,3.0,1.0,0.5,1.0,0.025,0.0007873136260488275,3.673571611477404e-06,0.40608966213887565,0.40541471816675584,0.001842696495336643,0.001835939024588573
2.9000000000000004,0.08115104592502662,0.001919746257960731,1.9106389636251445e-05,0.41891542565766515,0.001919746257960731,3.0,1.0,0.5,1.0,0.025,0.0008115104592502662,3.832148962607194e-06,0.4168272805461704,0.4161452283930609,0.0019101950999727219,0.001903365674386127
3.0,0.08356829482115227,0.0019882888057003974,1.9792984267603158e-05,0.42960676014842625,0.0019882888057003974,3.0,1.0,0.5,1.0,0.025,0.0008356829482115228,3.9926937764154224e-06,0.4274651761800951,0.4267758948539453,0.001978396626770802,0.0019714940765122994
3.1,0.08598311153317614,0.002057548615573704,2.0486949837498293e-05,0.440199264317747,0.002057548615573704,3.0,1.0,0.5,1.0,0.025,0.0008598311153317614,4.155217910121426e-06,0.4380047253204689,0.43730806424061325,0.00204731184662043,0.002040334935853325
3.2,0.08839549828894067,0.0021275378609985534,2.1188414605299143e-05,0.45069429599306365,0.0021275378609985534,3.0,1.0,0.5,1.0,0.025,0.0008839549828894066,4.31973766566277e-06,0.44844727898438147,0.44774322546365747,0.0021169528723576376,0.0021099003717593716
3.3000000000000003,0.09080545732141465,0.0021982679002485682,2.1897498335226428e-05,0.46109318827101126,0.0021982679002485682,3.0,1.0,0.5,1.0,0.025,0.0009080545732141465,4.486268994760206e-06,0.4587941635809285,0.4580826798984499,0.002187331005729292,0.0021802016411610866
3.4000000000000004,0.09321299085139458,0.00226975074454114,2.2614328567145267e-05,0.4713972500043174,0.00226975074454114,3.0,1.0,0.5,1.0,0.025,0.0009321299085139458,4.6548306558888525e-06,0.4690466813924982,0.4683277647955462,0.002258458198176902,0.0022512507518765326
3.5,0.0956181011019255,0.002341997935648069,2.3339027617996677e-05,0.48160776641119646,0.002341997935648069,3.0,1.0,0.5,1.0,0.025,0.0009561810110192551,4.82544143418965e-06,0.47920611118369305,0.4784796909864584,0.002330345934031524,0.0023230591733586162
3.6,0.09802079028825401,0.0024150210387972,2.4071718648889448e-05,0.491725999564363,0.0024150210387972,3.0,1.0,0.5,1.0,0.025,0.00098020790288254,4.9981212627828786e-06,0.48927370868686626,0.48853961967765575,0.0024030057209630347,0.002395638437996163
3.7,0.10042106061160158,0.0024888325442402933,2.481253352012153e-05,0.5017531888837005,0.0024888325442402933,3.0,1.0,0.5,1.0,0.025,0.0010042106061160158,5.1728927645557236e-06,0.4992507070901207,0.4985087854890953,0.0024764499870623662,0.0024690009184023393
3.8000000000000003,0.1028189142843141,0.0025634443978502946,2.556159883781531e-05,0.5116905517457958,0.0025634443978502946,3.0,1.0,0.5,1.0,0.025,0.001028189142843141,5.349778279653421e-06,0.5091383176473574,0.5083882943422346,0.0025506906187495616,0.0025431584445931923
3.9000000000000004,0.10521435352454252,0.0026388683203442407,2.631903897846846e-05,0.5215392839502899,0.0026388683203442407,3.0,1.0,0.5,1.0,0.025,0.0010521435352454252,5.528800400195398e-06,0.5189377301416525,0.5181791745217547,0.002625739278408432,0.0026181226036755367
4.0,0.1076073805241934,0.0027151214146526417,2.7085029709939288e-05,0.5313005600657384,0.0027151214146526417,3.0,1.0,0.5,1.0,0.025,0.001076073805241934,5.7099931965807095e-06,0.5286501132146615,0.5278830886891918,0.002701612983857107,0.0026939100442769
4.1000000000000005,0.10999799747758772,0.0027922191030637818,2.785973210418168e-05,0.5409755340137614,0.0027922191030637818,3.0,1.0,0.5,1.0,0.025,0.0010999799747758773,5.8933883620983915e-06,0.5382766149656094,0.5375013971243295,0.002778327080632596,0.002770535932644471
4.2,0.11238620656691922,0.002870170334706223,2.8643256345535128e-05,0.5505653394626456,0.002870170334706223,3.0,1.0,0.5,1.0,0.025,0.0011238620656691923,6.079007413002881e-06,0.5478183633565329,0.5470346026786522,0.002855890473317903,0.0028480103762969096
4.3,0.11477200997777938,0.002948989871914529,2.94357550368705e-05,0.5600710903311673,0.002948989871914529,3.0,1.0,0.5,1.0,0.025,0.0011477200997777937,6.266881326753579e-06,0.5572764666809223,0.556483890299182,0.002934317850778615,0.0029263476531528644
4.4,0.11715540988592786,0.0030286933356529554,3.0237384447816432e-05,0.5694938811647895,0.0030286933356529554,3.0,1.0,0.5,1.0,0.025,0.0011715540988592786,6.4570423649504405e-06,0.5666520139507439,0.5658504832044327,0.0030136247562373396,0.003005562375774009
4.5,0.11953640846117275,0.0031092957560279163,3.104830920108394e-05,0.5788347875700235,0.0031092957560279163,3.0,1.0,0.5,1.0,0.025,0.0011953640846117275,6.649525044430052e-06,0.5759460753326603,0.5751354709901912,0.0030938261449976615,0.003085669953148822
4.6000000000000005,0.1219150078736815,0.0031908122541542353,3.186869047479292e-05,0.5880948666466845,0.0031908122541542353,3.0,1.0,0.5,1.0,0.025,0.001219150078736815,6.844363588410214e-06,0.5851597025763193,0.5843398960590103,0.0031749370629180896,0.0031666854239578617
4.7,0.1242912102801746,0.0032732581758563714,3.269869264658762e-05,0.5972751573311155,0.0032732581758563714,3.0,1.0,0.5,1.0,0.025,0.0012429121028017462,7.041593309343511e-06,0.5942939293554927,0.5934647703987952,0.0032569727794479596,0.003248624112383736
4.800000000000001,0.12666501783870845,0.0033566491698124716,3.3538482126365486e-05,0.6063766808408776,0.0033566491698124716,3.0,1.0,0.5,1.0,0.025,0.0012666501783870846,7.2412503325965215e-06,0.6033497717103057,0.6025110845752658,0.0033399488653826958,0.003331501511854689
4.9,0.12903643269848647,0.003441001279578166,3.438822925140049e-05,0.6154004410123108,0.003441001279578166,3.0,1.0,0.5,1.0,0.025,0.0012903643269848648,7.443371981392584e-06,0.6123282283828075,0.6114798171935821,0.0034238812844296996,0.003415333471065453
5.0,0.1314054569987825,0.0035263315466735855,3.5248115680196235e-05,0.6243474246645729,0.0035263315466735855,3.0,1.0,0.5,1.0,0.025,0.001314054569987825,7.647998363327459e-06,0.6212302811772719,0.6203719959815535,0.0035087869932946647,0.0035001369217964222
