Time,Normal_cells,Tumor_cells,Immune_cells,r,beta_1,eta,gamma,alpha_1,alpha_2,beta_2,alpha_3,sigma,delta,mu,rho,m,mu_1,rho_1,m_1,Whole_organism,Normal_cell_growth,Normal_cell_death_inhibition,Tumor_cell_growth,Tumor_cell_death_inhibition,Immune_cell_increase,Immune_cell_decrease
4.5,0.0006833644559903594,2.030070889620033,0.8788953244587593,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.813,0.271,0.813,0.3634,0.7829,0.862,1.0,0.0002946667528209623,0.0013749345417792174,0.17054375853066656,0.2621018905600908,1.183198461253753,1.1498441075968189
4.8,0.00042679847565160576,2.003673791226657,0.88879157238312,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.813,0.271,0.813,0.3634,0.7829,0.862,1.0,0.00018403550246611966,0.0008488108873921849,0.17707878962828985,0.2616066269407919,1.186652863432135,1.1540798966136459
5.1,0.00026834730273451063,1.9792911473380066,0.8984159449308321,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.813,0.271,0.813,0.3634,0.7829,0.862,1.0,0.00011571135684627901,0.0005279473779185917,0.18309504056125725,0.2612215061124063,1.1900595855303826,1.1585006851287254
5.3999999999999995,0.0001697648138025762,1.956737870347346,0.9077124551636984,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.813,0.271,0.813,0.3634,0.7829,0.862,1.0,7.320258767451346e-05,0.00033064739673660916,0.18859230923711717,0.26091721891786157,1.1933756998909062,1.1629762300708206
5.7,0.00010801129219387068,1.9358411422723627,0.9166474066250435,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.813,0.271,0.813,0.3634,0.7829,0.862,1.0,4.657446917895564e-05,0.0002084021843690996,0.19359787728055514,0.26067166474092723,1.1965741767942164,1.1674169148664117
6.0,6.908392248623692e-05,1.9164440830502847,0.9252030322844934,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.813,0.271,0.813,0.3634,0.7829,0.862,1.0,2.9788987369912122e-05,0.00013212725159784613,0.19815050660813244,0.26046837190806027,1.1996390221786446,1.1717621878866336
6.3,4.4402223495761116e-05,1.8984063293409252,0.9333728573706938,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.813,0.271,0.813,0.3634,0.7829,0.862,1.0,1.914623876883029e-05,8.422603480669307e-05,0.2022921617722459,0.26029518609592306,1.2025618949963102,1.17597229215581
6.6,2.8668306520728437e-05,1.8816031705386684,0.9411583200917601,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.813,0.271,0.813,0.3634,0.7829,0.862,1.0,1.2361773770678474e-05,5.396266657612043e-05,0.20606388657188357,0.2601432237744286,1.205339734954681,1.180022324834542
6.8999999999999995,1.8588006025422527e-05,1.8659240943110673,0.9485663111400079,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.813,0.271,0.813,0.3634,0.7829,0.862,1.0,8.015148197716728e-06,3.473594583283697e-05,0.20950390382681527,0.26000605677266186,1.2079730890021603,1.1838979560321563
7.199999999999999,1.2099658796420671e-05,1.851271172203149,0.9556073849925713,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.813,0.271,0.813,0.3634,0.7829,0.862,1.0,5.21737287282784e-06,2.2457598669320232e-05,0.2126468892347911,0.2598790865154558,1.2104649261652716,1.187592335711292
