Time,Pathogen_0,Susceptible,Exposed,Infected_Symptomatic,Infected_Asymptomatic,Recovered,alpha_1,alpha_2,b,mu,mu_p,beta_1,beta_2,delta,psi,omega,sigma,gamma_S,gamma_A,eta_S,eta_A,Human,Pathogen,Birth_Rate,Exposed_to_Susceptible,Susceptible_to_Exposed,Death_rate_Susceptible,Death_rate_Exposed,Symptomatic_infection_from_Exposed,Asymptomatic_infection_from_Exposed,Death_rate_Symptomatic_infected,Death_rate_Asymptomatic_infected,Recovery_from_Symptomatic_infection,Recovery_from_Asymptomatic_infection,Death_rate_Recovered,Rate_of_pathogen_increase,Death_rate_of_Pathogen
38.7,14917.816362642288,124.47238839871132,4498.152682470141,18719.58772914431,5259.868771544455,63280.64132274965,0.1,0.05,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,22.490763412350706,33.75449641333433,0.0056796750826331975,0.20525070690111255,283.3836189956189,121.45012242669384,34.54943270054061,9.707771600825593,935.9793864572156,375.5546302882741,2.8874956635570665,2134.952211491654,2571.8315409195307
39.6,14522.271817394818,114.75653059469812,4157.320334099734,18105.725770331093,5025.990271847706,64436.9998357377,0.1,0.05,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,20.786601670498673,31.118852279325637,0.0052363404910360754,0.18969852684497088,261.91118104828325,112.24764902069283,33.41647065349618,9.276118425430282,905.2862885165547,358.85570540992626,2.9402603025047114,2061.872090625495,2503.6396613188667
40.5,14123.219383458434,105.83902331572779,3842.253823049555,17501.696523408347,4799.327195687219,65551.10740577424,0.1,0.05,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,19.211269115247777,28.699798916762102,0.004829434633896659,0.1753220419457512,242.06199085212197,103.740853222338,32.30165615449815,8.857782252176202,875.0848261704174,342.67196177206745,2.9910970309254785,1990.1360121251957,2434.843021708234
41.4,13722.327083078684,97.64569101523246,3551.0185861762575,16908.424405228903,4580.001867357316,66623.89748118808,0.1,0.05,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,17.755092930881286,26.47721328328067,0.004455572881025057,0.16203297808722264,223.71417092910423,95.87750182675896,31.20669533502262,8.452988846450683,845.4212202614452,327.01213332931235,3.040048442066612,1919.8425338907564,2365.729189122765
42.300000000000004,13321.097945782747,90.11101536196865,3281.82234951851,16326.688536459107,4368.085022966128,67656.34791602723,0.1,0.05,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,16.40911174759255,24.43332076434986,0.0041117656309666295,0.1497495538085296,206.75480801966611,88.60920343699978,30.133026163545022,8.061868760936976,816.3344268229554,311.8812706397816,3.0871591554083224,1851.0731047942172,2296.5572858529454
43.2,12920.880184470576,83.17678566255404,3033.005351490224,15757.136972505037,4163.602332317454,68649.4716457986,0.1,0.05,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,15.16502675745112,22.552329095097942,0.003795356729782341,0.1383960341884989,191.0793371438841,81.89114449023606,29.08184471056447,7.684469372595062,787.8568486252519,297.2812065274662,3.1324753911977905,1783.8938138663766,2227.559743802727
44.1,12522.877339450377,76.79102876680658,2803.0310480407807,15200.299764818265,3966.5402822548413,69604.30837771005,0.1,0.05,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,14.015155240203903,20.820138090855444,0.003503974642629384,0.12790230672210082,176.5909560265692,75.68183829710108,28.054129254941532,7.320765741138003,760.0149882409132,283.21097615299567,3.17604459127491,1718.3569905945685,2158.944053321245
45.0,12128.15825181549,70.90714423866817,2590.47735203678,14656.600912293141,3776.851463734587,70521.91721781706,0.1,0.05,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,12.952386760183899,19.224105055444923,0.0032354929916104287,0.11820348157343827,163.20007317831713,69.94288850499306,27.05066234175559,6.970670367012466,732.8300456146571,269.66719451064955,3.217915082648992,1654.5026644160437,2090.8944826129905
45.9,11737.66673845053,65.4831793938118,2394.028430349079,14126.369288929025,3594.4593189302223,71403.37013756322,0.1,0.05,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,11.970142151745394,17.75284813030548,0.002987997475739632,0.10923951727682847,150.82379111199197,64.63876761942514,26.072050950726076,6.634041952797186,706.3184644464513,256.64439537161786,3.25813577937701,1592.3598948394138,2023.5737457088715
46.800000000000004,11352.230947347085,60.48122062325613,2212.466992092888,13609.848687137273,3419.262427197653,72249.74615556297,0.1,0.05,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,11.06233496046444,16.39608118796175,0.0027597580970391772,0.10095486884919849,139.38542050185197,59.736608786507986,25.118745032441165,6.310693313508804,680.4924343568637,244.13533730191244,3.2967559170783387,1531.94799007361,1957.1246153226375
