Time,Mdm2_p_nuc,p53_total,Mdm2_cyt,Mdm2_p_cyt,DNA_damage,kd2_0,IR,p53_ub,p53_ub_ub,p53,MDM2_total,Kf,Kr,ks53,kDNA,kdDNA,Jdna,vratio,kd53,ks2,ks2_0,kd2,kd2_,kph,kdeph,kin,kout,kd53_0,m,Js,Jdam,Jph,ampl,step,t_on,t_off,ModelValue_6,Cyt,Nuc,DNA_Damage,DNA_Repair,p53_total_production,p53_total_degradation,p53_ubiquitination_1,p53_ubiquitination_2,p53_ub_degradation,p53_ub_ub_degradation,p53_deubiquitination_1,p53_deubiquitination_2,Mdm2_cyt_production,Mdm2_cyt_phosphorylation,Mdm2_cyt_degradation,Mdm2_p_cyt_degradation,Mdm2_p_nuc_translocation_out,Mdm2_p_cyt_dephosphorylation,Mdm2_p_cyt_translocation_out,Mdm2_p_nuc_degradation,p53_total_degradation_2,Mdm2_p_cyt_translocation_in,Mdm2_p_nuc_translocation_in
189.6,0.038201069726605266,1.4212357109034266,0.23744008338968878,0.0013686806450784771,1.0151187414392804,0.018023900905020318,0.0,0.1531730665121972,0.004893803588187653,1.2631688408030417,0.24135550201654093,8.8,2.5,0.055,0.18,0.017,1.0,15.0,0.0055,0.0015,0.006,0.01,0.01,0.05,6.0,14.0,0.5,8.0,3.0,1.2,0.2,0.01,1.0,0.0,10.0,20.0,15.0,1.0,1.0,0.0,0.010827816950916287,0.055,0.007816796409968846,0.42463872848313094,0.05149209994781945,0.0008424518658170845,0.039177344625236254,0.382932666280493,0.012234508970469132,0.005245483907394904,0.00829493288844126,0.0023744008338968878,1.3686806450784772e-05,0.2865080229495395,0.008212083870470862,0.01916152903109868,0.0006885322952181049,0.03915042870550122,0.019100534863302633,0.2874229354664802
190.79999999999998,0.03848339906108369,1.4303776072836663,0.2407811133705469,0.0013788680038746043,0.9988961187970685,0.017998232228947923,0.0,0.1550862206529273,0.00499147839497654,1.2702999082357624,0.24472554131182708,8.8,2.5,0.055,0.18,0.017,1.0,15.0,0.0055,0.0015,0.006,0.01,0.01,0.05,6.0,14.0,0.5,8.0,3.0,1.2,0.2,0.01,1.0,0.0,10.0,20.0,15.0,1.0,1.0,0.0,0.010800666461464046,0.055,0.007867076840060164,0.4301920330038746,0.05252055528070455,0.0008529742135911,0.03995928029098469,0.38771555163231824,0.012478695987441349,0.005272489789594354,0.008358263560644475,0.002407811133705469,1.3788680038746042e-05,0.28862549295812767,0.008273208023247627,0.01930415205424446,0.0006926331532606607,0.03993182715981232,0.019241699530541844,0.2895622808136669
192.0,0.03878715004632669,1.438511713904414,0.24410992100832818,0.001389823054914356,0.982721671429655,0.017971967186152724,0.0,0.15696844329630052,0.005091883793727959,1.2764513868143854,0.24808555406633098,8.8,2.5,0.055,0.18,0.017,1.0,15.0,0.0055,0.0015,0.006,0.01,0.01,0.05,6.0,14.0,0.5,8.0,3.0,1.2,0.2,0.01,1.0,0.0,10.0,20.0,15.0,1.0,1.0,0.0,0.010763617837873881,0.055,0.007911814426474276,0.43568722091146,0.053577555351513005,0.0008633264381296529,0.04076307571068918,0.3924211082407513,0.012729709484319899,0.005296262811535365,0.008426232203201803,0.002441099210083282,1.389823054914356e-05,0.2909036253474502,0.008338938329486135,0.019457522768800983,0.0006970813878769654,0.040735070349823675,0.019393575023163346,0.29186284153201475
193.2,0.039112483158183935,1.445618654584525,0.24742276314467446,0.0014015507417737144,0.9666101484780238,0.017945110023019704,0.0,0.15881677074506212,0.005194996677285784,1.2816068871621773,0.25143181276366044,8.8,2.5,0.055,0.18,0.017,1.0,15.0,0.0055,0.0015,0.006,0.01,0.01,0.05,6.0,14.0,0.5,8.0,3.0,1.2,0.2,0.01,1.0,0.0,10.0,20.0,15.0,1.0,1.0,0.0,0.010716789452701023,0.055,0.007950902600214887,0.4411160845479802,0.05466312078482994,0.0008734922390978416,0.04158854590001134,0.39704192686265527,0.01298749169321446,0.005316837134621319,0.008498886791722794,0.0024742276314467446,1.4015507417737145e-05,0.2933436236863795,0.008409304450642287,0.019621710384832,0.0007018778135471159,0.041559973418286274,0.019556241579091967,0.29432565577248004
194.4,0.03945965151386489,1.4516792150187672,0.2507159657891797,0.001414061451328842,0.9505761171750347,0.017917666390130663,0.0,0.1606277884910731,0.005300823978869747,1.2857506025488243,0.2547606706747662,8.8,2.5,0.055,0.18,0.017,1.0,15.0,0.0055,0.0015,0.006,0.01,0.01,0.05,6.0,14.0,0.5,8.0,3.0,1.2,0.2,0.01,1.0,0.0,10.0,20.0,15.0,1.0,1.0,0.0,0.010660316120876173,0.055,0.00798423568260322,0.4464703822508021,0.05577718570424478,0.000883452836700902,0.04243574636284176,0.4015694712276827,0.013252059947174367,0.005334237682282572,0.008576299204814262,0.002507159657891797,1.414061451328842e-05,0.2959473863539867,0.008484368707973053,0.01979686031860379,0.0007070248716962456,0.042406591830957976,0.019729825756932447,0.29695290477905684
195.6,0.03982903974403703,1.4566742810912847,0.2539859105067879,0.001427369238532263,0.9346339350673978,0.01788964343668091,0.0,0.1623979833214036,0.0054093718935076035,1.2888669258763736,0.2580685490615893,8.8,2.5,0.055,0.18,0.017,1.0,15.0,0.0055,0.0015,0.006,0.01,0.01,0.05,6.0,14.0,0.5,8.0,3.0,1.2,0.2,0.01,1.0,0.0,10.0,20.0,15.0,1.0,1.0,0.0,0.010594348229740792,0.055,0.008011708546002066,0.4517421217364433,0.056919770442124894,0.0008931889082677197,0.04330472669347512,0.40599495830350896,0.013523429733769009,0.005348479277868225,0.008658565633189147,0.0025398591050678795,1.427369238532263e-05,0.2987177980802777,0.008564215431193577,0.01998316933945168,0.0007125273194462152,0.04327497514806083,0.019914519872018515,0.29974754009177523
196.79999999999998,0.04022116253055163,1.4605846996236347,0.2572290191930648,0.0014414929682142201,0.9187977242538279,0.017861049907847808,0.0,0.16412439889502203,0.005520670380379438,1.2909396303482332,0.2613519229966491,8.8,2.5,0.055,0.18,0.017,1.0,15.0,0.0055,0.0015,0.006,0.01,0.01,0.05,6.0,14.0,0.5,8.0,3.0,1.2,0.2,0.01,1.0,0.0,10.0,20.0,15.0,1.0,1.0,0.0,0.010519050261107075,0.055,0.00803321584792999,0.45692321566642546,0.05809121228403477,0.0009026841939226212,0.04419572673012759,0.4103109972375551,0.013801675950948595,0.0053595655926407,0.008745807679724165,0.002572290191930648,1.4414929682142201e-05,0.3016587189791372,0.008648957809285322,0.020180901554999083,0.0007183921913098409,0.044165363043035505,0.020110581265275814,0.30271352332498624
198.0,0.04063663972883089,1.4633912756913547,0.2604417423022282,0.0014564551572858212,0.9030813483426717,0.017831896246007915,0.0,0.165803870453779,0.005634725856662437,1.2919526793809133,0.26460730677476946,8.8,2.5,0.055,0.18,0.017,1.0,15.0,0.0055,0.0015,0.006,0.01,0.01,0.05,6.0,14.0,0.5,8.0,3.0,1.2,0.2,0.01,1.0,0.0,10.0,20.0,15.0,1.0,1.0,0.0,0.010434600274702034,0.055,0.00804865201630245,0.4620054170925595,0.059291866913628505,0.0009119212874957844,0.04510879784551114,0.4145096761344475,0.014086814641656092,0.005367488491881401,0.008838173084064923,0.002604417423022282,1.4564551572858213e-05,0.30477479796623164,0.008738730943714927,0.020390372202001496,0.0007246283434309156,0.0450778068532995,0.020318319864415443,0.30585558303002247
199.2,0.04107622058659635,1.4650746231723002,0.26362054046772315,0.0014722833149184173,0.8874983943934184,0.017802194699946677,0.0,0.1674326449277272,0.005751591177757274,1.2918903870668157,0.26783123848841467,8.8,2.5,0.055,0.18,0.017,1.0,15.0,0.0055,0.0015,0.006,0.01,0.01,0.05,6.0,14.0,0.5,8.0,3.0,1.2,0.2,0.01,1.0,0.0,10.0,20.0,15.0,1.0,1.0,0.0,0.010341188300034292,0.055,0.00805791042744765,0.4669805757131668,0.06052200225674755,0.0009208795471024995,0.04604436317353585,0.418581612319318,0.014378977944393185,0.005372226950864764,0.008935837425661218,0.0026362054046772314,1.4722833149184174e-05,0.30807165439947265,0.008833699889510504,0.020611966408857842,0.0007312468764205461,0.04601272942205819,0.020538110293298176,0.30917949613286766
200.4,0.041540786649700595,1.4656150043159613,0.2667618685847256,0.001489009438474649,0.872062156239373,0.017771959435492566,0.0,0.1690072211176862,0.005871323120503749,1.2907364600777713,0.27102026379984695,8.8,2.5,0.055,0.18,0.017,1.0,15.0,0.0055,0.0015,0.006,0.01,0.01,0.05,6.0,14.0,0.5,8.0,3.0,1.2,0.2,0.01,1.0,0.0,10.0,20.0,15.0,1.0,1.0,0.0,0.010239014635402836,0.055,0.008060882523737786,0.47184022959990835,0.06178209764943547,0.0009295397161472741,0.04700287724119276,0.4225180527942155,0.014678307801259373,0.005373745911733464,0.009039006373765705,0.0026676186858472562,1.4890094384746492e-05,0.31155589987275445,0.008934056630847894,0.02084613213864509,0.0007382611752569301,0.04697058496402999,0.020770393324850298,0.3126919820796763
201.6,0.04203135116422228,1.464992404059539,0.2698621584791754,0.0015066703136739064,0.8567856188865922,0.017741206646220288,0.0,0.17052420140706476,0.005993946496853311,1.288474256155621,0.27417091887046413,8.8,2.5,0.055,0.18,0.017,1.0,15.0,0.0055,0.0015,0.006,0.01,0.01,0.05,6.0,14.0,0.5,8.0,3.0,1.2,0.2,0.01,1.0,0.0,10.0,20.0,15.0,1.0,1.0,0.0,0.01012828975549689,0.055,0.008057458222327464,0.4765755625535256,0.06307279080378238,0.0009378831077388561,0.04798453868055918,0.42631050351766187,0.014984866242133278,0.00537199574866259,0.00914791688880732,0.002698621584791754,1.5066703136739064e-05,0.3152351337316671,0.009040021882043439,0.02109338439143469,0.0007456868866243192,0.04795157197482649,0.02101567558211114,0.31640076587152033
202.79999999999998,0.04254909621405957,1.4631864302894917,0.27291779664739074,0.0015253090726446744,0.8416814459090499,0.017709954667299275,0.0,0.17197980269865057,0.006119532885053952,1.2850870947057873,0.2772797121343061,8.8,2.5,0.055,0.18,0.017,1.0,15.0,0.0055,0.0015,0.006,0.01,0.01,0.05,6.0,14.0,0.5,8.0,3.0,1.2,0.2,0.01,1.0,0.0,10.0,20.0,15.0,1.0,1.0,0.0,0.010009232923931513,0.055,0.008047525366592204,0.48117779103752895,0.06439474951271881,0.0009458889148425781,0.048989920511299405,0.4299495067466264,0.015298832212634879,0.005366911176752091,0.009262839754563868,0.0027291779664739076,1.5253090726446744e-05,0.3191182216054468,0.009151854435868047,0.021354327017025443,0.0007535425650855502,0.04895626308043161,0.021274548107029785,0.32031490525538164
204.0,0.043095370564755514,1.4601760686097758,0.2759251057381071,0.0015449745442896303,0.826761967527216,0.017678224087222125,0.0,0.17337017254274167,0.006248180920166721,1.2805577151468674,0.2803431049867138,8.8,2.5,0.055,0.18,0.017,1.0,15.0,0.0055,0.0015,0.006,0.01,0.01,0.05,6.0,14.0,0.5,8.0,3.0,1.2,0.2,0.01,1.0,0.0,10.0,20.0,15.0,1.0,1.0,0.0,0.009882069775466745,0.055,0.008030968377353766,0.48563776152153587,0.06574877610932449,0.0009535359489850791,0.05001981235639469,0.4334254313568542,0.015620452300416802,0.005358409672326078,0.009384083703628325,0.0027592510573810707,1.54497454428963e-05,0.32321527923566634,0.009269847265737782,0.021629643620054824,0.0007618496179656243,0.04998544736133377,0.021547685282377757,0.32444465430082237
205.2,0.043671682718120275,1.4559396787897882,0.27888032433550897,0.0015657213401277397,0.8120391699527203,0.017646037857425453,0.0,0.17469127854168562,0.006379955767910298,1.2748684444801923,0.28335749119017806,8.8,2.5,0.055,0.18,0.017,1.0,15.0,0.0055,0.0015,0.006,0.01,0.01,0.05,6.0,14.0,0.5,8.0,3.0,1.2,0.2,0.01,1.0,0.0,10.0,20.0,15.0,1.0,1.0,0.0,0.009747031537222239,0.055,0.008007668233343835,0.48994572188920593,0.06713574639283836,0.0009608020319792709,0.05107473590000589,0.43672819635421406,0.015949889419775747,0.00534639047758224,0.009511998630316756,0.00278880324335509,1.56572134012774e-05,0.32753762038590206,0.00939432804076644,0.021920098761788357,0.0007706321665414233,0.05103964614328239,0.021835841359060137,0.32880148142682536
206.4,0.04427974950306839,1.4504549801819513,0.28177957975811957,0.0015876119363800972,0.7975246889542873,0.017613421405374537,0.0,0.1759387584870568,0.006514941196781645,1.2680012804981127,0.2863191749947042,8.8,2.5,0.055,0.18,0.017,1.0,15.0,0.0055,0.0015,0.006,0.01,0.01,0.05,6.0,14.0,0.5,8.0,3.0,1.2,0.2,0.01,1.0,0.0,10.0,20.0,15.0,1.0,1.0,0.0,0.009604354112840576,0.055,0.007977502391000731,0.49409165581623227,0.06855661255245198,0.0009676631716788125,0.052155361750835454,0.43984689621764206,0.01628735299195411,0.005330733475526571,0.009646979317466328,0.0028177957975811956,1.5876119363800973e-05,0.33209812127301297,0.009525671618280582,0.02222656710932136,0.0007799178877219673,0.05211952957425316,0.022139874751534196,0.3333985066398204
207.6,0.04492152364371861,1.4436988740914138,0.2846188632045162,0.0016107172128553258,0.7832298052894495,0.01758040274564123,0.0,0.17710819389202584,0.0066532577929107285,1.2599374224064772,0.28922434866028607,8.8,2.5,0.055,0.18,0.017,1.0,15.0,0.0055,0.0015,0.006,0.01,0.01,0.05,6.0,14.0,0.5,8.0,3.0,1.2,0.2,0.01,1.0,0.0,10.0,20.0,15.0,1.0,1.0,0.0,0.009454276022741135,0.055,0.007940343807502775,0.4980651166500984,0.07001253529086907,0.0009740950664061421,0.05326265526114683,0.4427704847300646,0.01663314448227682,0.005311297497357406,0.009789471130408895,0.002846188632045162,1.610717212855326e-05,0.3369114273278896,0.009664303277131955,0.02255004097997456,0.0007897384776044182,0.05322606234328583,0.022460761821859306,0.3382506146996184
208.79999999999998,0.04559920012866304,1.4356472901002058,0.2873940033375115,0.0016351165772077437,0.7691654409129256,0.017547012585355518,0.0,0.1781950106666571,0.006795033103659475,1.250657246329889,0.29206906658996346,8.8,2.5,0.055,0.18,0.017,1.0,15.0,0.0055,0.0015,0.006,0.01,0.01,0.05,6.0,14.0,0.5,8.0,3.0,1.2,0.2,0.01,1.0,0.0,10.0,20.0,15.0,1.0,1.0,0.0,0.009297036485808619,0.055,0.007896060095551131,0.5018549365962813,0.07150483958919966,0.000980072558666614,0.05439763751134592,0.44548752666664276,0.016987582759148686,0.005287918583164566,0.009939976552565276,0.0028739400333751153,1.6351165772077438e-05,0.3419940009649728,0.009810699463246461,0.02289163208090841,0.0008001297385397953,0.0543602648292758,0.02279960006433152,0.3433744812136262
210.0,0.04631523573666499,1.4262751278974382,0.2901006377374714,0.0016608991056413338,0.7553421583503659,0.017513284428356042,0.0,0.17919408587808783,0.006940380864034043,1.2401406611553163,0.29484921922555707,8.8,2.5,0.055,0.18,0.017,1.0,15.0,0.0055,0.0015,0.006,0.01,0.01,0.05,6.0,14.0,0.5,8.0,3.0,1.2,0.2,0.01,1.0,0.0,10.0,20.0,15.0,1.0,1.0,0.0,0.009132874104982324,0.055,0.00784451320343591,0.5054491821986821,0.0730348637045265,0.000985567472329483,0.05556121900702453,0.44798521469521957,0.017350952160085108,0.005260408413333435,0.0100990622236197,0.002901006377374714,1.6608991056413338e-05,0.34736426802498743,0.009965394633848003,0.023252587478978674,0.0008111318968225742,0.05552304691227235,0.023157617868332495,0.3487888121846801
211.2,0.047072415346963416,1.4155561774127012,0.29273417755231934,0.0016881660545645025,0.7417701639447979,0.017479254679273505,0.0,0.18009983301654206,0.007089445400226622,1.2283668989959327,0.29756050463001477,8.8,2.5,0.055,0.18,0.017,1.0,15.0,0.0055,0.0015,0.006,0.01,0.01,0.05,6.0,14.0,0.5,8.0,3.0,1.2,0.2,0.01,1.0,0.0,10.0,20.0,15.0,1.0,1.0,0.0,0.008962025370999115,0.055,0.007785558975769856,0.5088353324383824,0.07460406046432612,0.0009905490815909812,0.056754555151514216,0.45024958254135516,0.017723613500566553,0.005228552599917264,0.010267367298131116,0.0029273417755231934,1.6881660545645027e-05,0.35304311510222564,0.010128996327387015,0.023634324763903036,0.0008227907362181162,0.05671556320181297,0.023536207673481708,0.35451487145854554
212.4,0.047873897737398585,1.40346291211719,0.29528977309595494,0.0017170319363188293,0.7284593130755315,0.017444962742352667,0.0,0.18090666776959718,0.0072424022701255576,1.2153138420774672,0.300198398214767,8.8,2.5,0.055,0.18,0.017,1.0,15.0,0.0055,0.0015,0.006,0.01,0.01,0.05,6.0,14.0,0.5,8.0,3.0,1.2,0.2,0.01,1.0,0.0,10.0,20.0,15.0,1.0,1.0,0.0,0.008784722322177127,0.055,0.0077190460166445445,0.5119999332312625,0.07621422435277408,0.0009949866727327844,0.057979051373490145,0.45226666942399296,0.018106005675313893,0.005192108551485024,0.010445614475078371,0.0029528977309595493,1.7170319363188293e-05,0.3590542330304894,0.010302191617912976,0.02403844710846361,0.00083515836236012,0.05793921816100446,0.023936948868699293,0.3605767066269541
213.6,0.048723241030675934,1.3899663453627866,0.29776227871044864,0.0017476257077043114,0.7154191170444139,0.01741045111303199,0.0,0.18160850664468792,0.007399422766023281,1.2009584159520754,0.3027581204868647,8.8,2.5,0.055,0.18,0.017,1.0,15.0,0.0055,0.0015,0.006,0.01,0.01,0.05,6.0,14.0,0.5,8.0,3.0,1.2,0.2,0.01,1.0,0.0,10.0,20.0,15.0,1.0,1.0,0.0,0.008601190594541884,0.055,0.007644814899495326,0.5149283600406154,0.07786728437373813,0.0009988467865457834,0.05923607895339938,0.4540212666117198,0.018498556915058202,0.0051508035124373675,0.010634622742780531,0.0029776227871044863,1.7476257077043115e-05,0.3654243077300695,0.01048575424622587,0.02446675990786036,0.0008482936060330578,0.05919538212818625,0.024361620515337967,0.3670013986179054
214.79999999999998,0.04962447857825896,1.3750359224643744,0.30014621028307065,0.0017800939146215748,0.7026587543168661,0.017375765468304858,0.0,0.18219841759613672,0.007560696101777557,1.1852768087664602,0.30523460276957615,8.8,2.5,0.055,0.18,0.017,1.0,15.0,0.0055,0.0015,0.006,0.01,0.01,0.05,6.0,14.0,0.5,8.0,3.0,1.2,0.2,0.01,1.0,0.0,10.0,20.0,15.0,1.0,1.0,0.0,0.008411647681308355,0.055,0.0075626975735540595,0.5176049437322575,0.07956521294473108,0.0010020912967787518,0.06052715264278023,0.4554960439903418,0.018901740254443893,0.005104332790434056,0.01083532222575949,0.0030014621028307065,1.780093914621575e-05,0.37218358933694223,0.01068056348772945,0.024921314804702048,0.0008622633012627462,0.06048556881422046,0.02481223928912948,0.3738197220705307
