Time,H,T,b1,u1,b2,u2,v,k,bone_marrow,HSC_growth,HSC_death,Tumor_growth,Tumor_death,Tumor_inhibition,HSC_inhibition
270.0,0.8716082931641772,0.003067726872732161,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08760064470921165,0.08716082931641772,0.0005581860612445765,0.0003067726872732161,0.00021390849467487665,0.00048129411301847246
280.0,0.8711677353010964,0.0034660607217034327,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08761355522323765,0.08711677353010965,0.0006304190235685303,0.0003466060721703433,0.00024156162154739705,0.0005435136484816435
290.0,0.8706715671955786,0.003914635855520264,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08762805068078434,0.08706715671955786,0.0007116950536212713,0.0003914635855520264,0.0002726689708260666,0.00061350518435865
300.0,0.8701132120613477,0.004419383341032748,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08764430624548405,0.08701132120613478,0.0008030632016996218,0.0004419383341032748,0.00030762910673571317,0.0006921654901553548
310.0,0.8694854361109569,0.004986823689626911,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08766251119069655,0.08694854361109569,0.0009056716444114232,0.0004986823689626911,0.00034687764564669647,0.0007804747027050671
320.0,0.8687803146103137,0.00562409648531434,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08768286853871915,0.08687803146103137,0.00102077111852944,0.000562409648531434,0.0003908883451128121,0.0008794987765038274
330.0,0.8679892084314117,0.006338979993837621,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08770559429889659,0.08679892084314117,0.0011497161407527962,0.0006338979993837622,0.00044017329816909383,0.000990389920880461
340.0,0.8671027514975109,0.00713990096604202,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08773091587775157,0.0867102751497511,0.0012939640005859311,0.000713990096604202,0.0004952822218459818,0.0011143849991534591
350.0,0.8661108552736441,0.00803592853179121,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08775906976845764,0.0866110855273644,0.0014550703782128793,0.000803592853179121,0.0005568003946870052,0.0012528008880457614
360.0,0.8650027307975947,0.009036751951799432,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08779029832482906,0.08650027307975948,0.0016346815108752761,0.0009036751951799432,0.0006253452092677603,0.0014070267208524604
370.0,0.8637669384280864,0.010152632940422106,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08782484536153402,0.08637669384280865,0.0018345212235211816,0.0010152632940422107,0.0007015606937546035,0.001578511560947858
380.0,0.8623914761591516,0.01139432270594556,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08786295032543871,0.08623914761591517,0.0020563710876393844,0.0011394322705945562,0.0007861093422571306,0.0017687460200785437
390.0,0.8608639035153397,0.012772946180122846,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08790484132996872,0.08608639035153398,0.002302044239040268,0.0012772946180122846,0.0008796614646409521,0.0019792382954421425
400.0,0.8591715166265428,0.014299840628603972,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.0879507259678665,0.08591715166265429,0.0025733507221121893,0.0014299840628603973,0.0009828812608316424,0.0022114828368711955
410.0,0.8573015577781112,0.015986362319074916,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.0880007814575373,0.08573015577781112,0.0028720570413886715,0.0015986362319074918,0.001096410665547858,0.0024669239974826804
420.0,0.8552415109248545,0.017843615547961333,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08805514261310873,0.08552415109248546,0.0031998321719955637,0.0017843615547961334,0.0012208480577280542,0.002746908129888122
430.0,0.8529794478180565,0.019882136107367998,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08811388903006752,0.08529794478180565,0.003558186284669095,0.0019882136107368,0.001356724278264496,0.0030526296260951157
440.0,0.8505044329302588,0.022111523121984562,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08817703112444698,0.08505044329302588,0.003948401764760345,0.0022111523121984564,0.0015044758747270231,0.0033850707181358017
450.0,0.8478069943474645,0.02454001213570688,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08824449611676898,0.08478069943474646,0.004371456109416769,0.002454001213570688,0.0016644155144019163,0.0037449349074043124
460.0,0.8448796159220257,0.02717403015847907,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08831611581956933,0.08448796159220257,0.004827944765418041,0.002717403015847907,0.0018367027330679472,0.004132581149402881
470.0,0.8417173187595957,0.030017673403827903,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08839161443533501,0.08417173187595957,0.005317994625992381,0.0030017673403827903,0.0020213116458296996,0.004547951203116825
480.0,0.8383182034403325,0.03307222326754743,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08847060088545655,0.08383182034403325,0.005841189327269227,0.0033072223267547433,0.0022180037434742345,0.004990508422817027
490.0,0.8346839832766393,0.0363356741792842,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08855256528398071,0.08346839832766394,0.006396502487064078,0.00363356741792842,0.0024263044207205654,0.005459184946621272
500.0,0.8308204445138074,0.039802331478305066,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08863688146667574,0.08308204445138075,0.006982249362809414,0.003980233147830507,0.0026454872585193064,0.005952346331668439
510.0,0.8267378858010112,0.04346242877052654,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08872281692489238,0.08267378858010112,0.007596048481708247,0.004346242877052655,0.002874562917881773,0.006467766565233989
520.0,0.8224513117768245,0.04730197986758366,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08880954694467481,0.08224513117768245,0.008234829005803372,0.004730197986758366,0.0031122860313388106,0.0070026435705123225
530.0,0.8179805554802136,0.051302691632591296,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08889617804573069,0.08179805554802137,0.008894853008783368,0.00513026916325913,0.003357168335940571,0.007553628755866285
540.0,0.8133499682860896,0.0554422695970628,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.0889817807827798,0.08133499682860897,0.009571805503428284,0.00554422695970628,0.003607517457478389,0.008116914279326376
550.0,0.8085880991673271,0.059694724109254284,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08906542872340636,0.08085880991673272,0.010260883934598463,0.005969472410925429,0.0038614754798255956,0.00868831982960759
560.0,0.8037271440484741,0.06403090386510131,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08914622721860095,0.08037271440484742,0.010956921933177087,0.006403090386510131,0.004117070039547223,0.009263407588981252
570.0,0.7988021360607506,0.06841924406570715,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08922335120713511,0.07988021360607506,0.011654541455289897,0.0068419244065707156,0.004372275064587897,0.009837618895322768
580.0,0.7938499207327799,0.07282669137834975,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08929608578015898,0.079384992073278,0.0123483236166878,0.0072826691378349755,0.004625077054234687,0.010406423372028045
590.0,0.7889080531365337,0.07721970897015672,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08936384927374671,0.07889080531365338,0.013032980097995882,0.007721970897015672,0.004873540021393286,0.010965465048134893
600.0,0.7840136803606856,0.08156528934365079,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08942620555902273,0.07840136803606856,0.013703512529827468,0.00815652893436508,0.0051158642150399905,0.011510694483839975
610.0,0.7792024692230604,0.08583188391575547,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08948288550643572,0.07792024692230604,0.014355346006141073,0.008583188391575547,0.005350433270817899,0.012038474859340273
620.0,0.7745075011128628,0.08999041274045748,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08953376568529398,0.07745075011128628,0.014984462677137381,0.008999041274045749,0.00557585997565815,0.012545684945230834
630.0,0.7699585128961492,0.0940148599516022,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08957889098581745,0.07699585128961493,0.01558746237680706,0.009401485995160221,0.00579100334067803,0.013029757516525568
640.0,0.7655812284814494,0.097882891647635,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08961842966949,0.07655812284814495,0.016161620145368212,0.0097882891647635,0.0059949843547930405,0.013488714798284344
