Time,N,S,T,a,d,u1,u2,r1,e1,r2,e2,Q1,Q2,tme,nutrient_supply,nutrient_decay,nutrient_consumption_N,nutrient_consumption_T,normal_cell_growth,normal_cell_death,tumor_growth,tumor_death
27.200000000000003,0.16430972579007228,0.1359820352016634,0.21968110517571524,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.002719640704033268,0.004468634183272254,0.014936341888572215,0.0035749073466178043,0.004929291773702168,0.011949073510857774,0.006151070944920027
28.0,0.16321196155428686,0.1342799325304187,0.22430782273134303,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.002685598650608374,0.004383218237133386,0.01506001965120493,0.0035065745897067094,0.004896358846628606,0.012048015720963945,0.006280619036477605
28.8,0.16208621797122874,0.1325783778578878,0.2289072160547756,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.002651567557157756,0.004297825570349106,0.015174073692253601,0.0034382604562792855,0.004862586539136862,0.012139258953802882,0.006409402049533717
29.6,0.1609332328023868,0.13088464293298507,0.23347400407160201,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.0026176928586597015,0.004212737742278272,0.015279080828522966,0.003370190193822618,0.004827996984071604,0.012223264662818374,0.006537272114004856
30.400000000000002,0.15975396704035852,0.12920519669051184,0.23800334465748849,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.002584103933810237,0.004128208546707814,0.01537563447973524,0.0033025668373662517,0.004792619011210755,0.012300507583788192,0.006664093650409678
31.200000000000003,0.15854943524850273,0.12754575897576975,0.24249092681366924,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.002550915179515395,0.004044461610789989,0.01546434465259364,0.0032355692886319913,0.004756483057455082,0.012371475722074912,0.006789745950782739
32.0,0.1573208234033048,0.12591127475794664,0.2469328975339775,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.0025182254951589328,0.0039616930841359825,0.015545817954088263,0.003169354467308787,0.004719624702099144,0.012436654363270612,0.006914121130951371
32.800000000000004,0.1560693584387324,0.12430601602912861,0.2513258849032587,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.0024861203205825723,0.003880072034348178,0.015620659738659703,0.003104057627478543,0.004682080753161972,0.012496527790927763,0.007037124777291243
33.6,0.1547963615686492,0.12273357414455441,0.2556669617997339,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.002454671482891088,0.003799742143978612,0.0156894600061803,0.00303979371518289,0.004643890847059476,0.01255156800494424,0.00715867493039255
34.4,0.1535032065760233,0.12119689356555062,0.25995365237546314,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.0024239378713110126,0.003720822357873005,0.015752787569462575,0.0029766578862984046,0.004605096197280698,0.012602230055570061,0.007278702266512968
35.2,0.1521912730671561,0.11969842716744551,0.26418384650121063,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.0023939685433489104,0.0036434112029499594,0.015811195454620383,0.0029147289623599683,0.0045657381920146825,0.012648956363696307,0.007397147702033898
36.0,0.1508620132869091,0.11823995999683241,0.26835588591631715,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.0023647991999366483,0.003567583683217147,0.01586519460782993,0.0028540669465737176,0.004525860398607273,0.012692155686263947,0.00751396480565688
36.800000000000004,0.14951683586435105,0.11682294348449848,0.2724683925783251,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.00233645886968997,0.0034933993732324236,0.01591527981374491,0.0027947194985859397,0.004485505075930532,0.012732223850995927,0.007629114992193103
37.6,0.14815718894839286,0.11544826248508187,0.276520386656651,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.0023089652497016375,0.003420898007753186,0.01596189909060669,0.0027367184062025494,0.004444715668451785,0.012769519272485352,0.007742570826386228
38.400000000000006,0.14678447727408017,0.11411651533150047,0.280511131223632,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.0022823303066300095,0.0033501066102547706,0.016005476403469072,0.002680085288203817,0.004403534318222405,0.012804381122775257,0.007854311674261696
39.2,0.1454001015458954,0.11282789978433919,0.2844401911080801,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.0022565579956867836,0.003281037617170605,0.016046394688490374,0.0026248300937364846,0.004362003046376861,0.0128371157507923,0.007964325351026244
