Time,FITC_Dextran_single_compartment_model,Pyranine_single_compartment_model,Total_FITC_Dextran,Total_Pyranine,FITC_Dextran_three_compartment_model_compartment_1,FITC_Dextran_three_compartment_model_compartment_2,FITC_Dextran_three_compartment_model_compartment_3,Pyranine_three_compartment_model_compartment_1,Pyranine_three_compartment_model_compartment_2,Pyranine_three_compartment_model_compartment_3,FITC_Dextran_max_uptake_rate,lambda_single_compartment_model_FITC_Dextran,Pyranine_max_uptake_rate,lambda_single_compartment_model_Pyranine,Pyranine_addition_trigger,FITC_Dextran_influx_rate,lambda_compartment_1,lambda_compartment_2,lambda_compartment_3,Pyranine_influx_rate,Dictyostelium_discoideum_AX2,FITC_Dextran_influx_rate_0,FITC_Dextran_transfer_between_endo_lysosomal_compartments_1_and_2,FITC_Dextran_transfer_between_endo_lysosomal_compartments_2_and_3,FITC_Dextran_efflux_rate,Pyranine_influx_rate_0,Pyranine_transfer_between_endo_lysosomal_compartments_1_and_2,Pyranine_transfer_between_endo_lysosomal_compartments_2_and_3,Pyranine_efflux_rate
161.0,540.4945413815801,293.8296538675622,536.6026440226224,310.6637021175264,180.6124933436196,177.82118525626547,178.16896542273736,132.88744309101352,105.68292186069463,72.09333716581823,585.0,0.016,578.0,0.01,1.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,6.682662253713925,6.579383854481822,6.235913789795808,5.3,4.9168353943675,3.910268108845701,2.523266800803638
162.0,541.200962282023,296.65719605513635,537.0607672077329,313.4162316918519,180.62951409122172,177.92288917368094,178.50836394283027,133.26360201818494,106.67802104944796,73.47460862421902,585.0,0.016,578.0,0.01,1.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,6.683292021375204,6.583146899426194,6.2477927379990605,5.3,4.930753274672843,3.9470867788295743,2.571611301847666
163.0,541.8961703896069,299.45660372786296,537.5071524827001,316.1206207066509,180.64591660047932,178.0215057198979,178.8397301623229,133.62609786322588,107.65038552963843,74.84413731378665,585.0,0.016,578.0,0.01,1.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,6.6838989142177345,6.586795711636222,6.259390555681302,5.3,4.944165620939358,3.9830642645966217,2.619544805982533
164.0,542.5803436814043,302.2281568288421,537.9420780878593,318.77728816739034,180.6617232926286,178.11712496547338,179.16322982975728,133.97542613598938,108.60035588001006,76.20150615139087,585.0,0.016,578.0,0.01,1.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,6.684483761827258,6.590333623722515,6.270713044041505,5.3,4.957090767031607,4.018213167560372,2.6670527152986807
165.0,543.2536573095141,304.9721325156935,538.3658166159445,321.38666958257255,180.67695560360386,178.20983438124225,179.47902663109838,134.31206057113454,109.52828773392146,77.54632127751655,585.0,0.016,578.0,0.01,1.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,6.685047357333342,6.593763872105963,6.281765932088444,5.3,4.969546241131978,4.052546646155093,2.7141212447130796
166.0,543.9162836459026,307.68880518827245,538.7786347409979,323.94920794829403,180.69163458158926,178.2997193283833,179.7872808310253,134.63646633403187,110.43451863588677,78.8782229783754,585.0,0.016,578.0,0.01,1.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,6.685590479518802,6.597089615150182,6.292554829085886,5.3,4.981549254359178,4.086077189527811,2.7607378042431394
167.0,544.5683923265307,310.37844651611016,539.18079361068,326.4653596213208,180.70578043538188,178.3868627570958,180.0881504182023,134.94909003957918,111.31939461835076,80.1968749633908,585.0,0.016,578.0,0.01,1.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,6.686113876109129,6.600313922012544,6.303085264637081,5.3,4.993116331464429,4.118817600878978,2.806890623718678
168.0,545.210150294782,313.0413254655808,539.5725489143313,328.9355933969166,180.7194125776782,178.4713452717348,180.38179106491822,135.25036070883,112.18326845573638,81.50196423235023,585.0,0.016,578.0,0.01,1.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,6.6866182653740935,6.603439775054188,6.3133626872721385,5.3,5.004263346226709,4.150780932862246,2.8525687481322586
169.0,545.8417218442012,315.6777083267983,539.9541511888306,331.3603959096679,180.73254925566454,178.55324487062296,180.6683570625431,135.54068160503482,113.02652109918893,82.79319320544414,585.0,0.016,578.0,0.01,1.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,6.687104322459588,6.6064700602130495,6.323392497189009,5.3,5.015005219386288,4.18198128066999,2.8977617621905454
170.0,546.4632686605543,318.28785874024595,540.3258452565121,333.7402519165687,180.7452087636249,178.6326379593928,180.9479985334944,135.82045703230764,113.84949483542401,84.07030004883707,585.0,0.016,578.0,0.01,1.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,6.687572724254121,6.609407604497534,6.333179948672305,5.3,5.0253569101953826,4.212431308910689,2.9424605017092977
171.0,547.0749498632208,320.87203772314007,540.68787082709,336.0756582658282,180.75740853388524,178.7095986563808,181.22086363682396,136.09007224546656,114.65254483351337,85.3330411868483,585.0,0.016,578.0,0.01,1.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,6.688024115753754,6.612255150286089,6.34273022728884,5.3,5.035332673082262,4.242144158839995,2.986656441539691
172.0,547.6769220459291,323.4305036955325,541.0404624603539,338.36711978794375,180.76916537664718,178.78419901773742,181.48709806596923,136.3498987503676,115.43602647040734,86.58119456716881,585.0,0.016,578.0,0.01,1.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,6.6884591189359455,6.615015363656284,6.352048432308924,5.3,5.044946253763601,4.271132979405071,3.0303418098509085
173.0,548.2693393168457,325.9635125061525,541.3838498467528,340.6151594907524,180.78049494348713,178.85650857523214,181.74684632803354,136.6002824472208,116.20032459760976,87.81455244592186,585.0,0.016,578.0,0.01,1.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,6.688878312909023,6.617690817283589,6.361139621481175,5.3,5.054210450547169,4.299412010111561,3.0735093356072656
174.0,548.8523533380273,328.471317457992,541.7182574610928,342.8202929617917,180.79141301440598,178.9265955576355,182.0002488890513,136.84157207442254,116.94578581953236,89.03293506783682,585.0,0.016,578.0,0.01,1.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,6.68928228153302,6.620284035632513,6.370008711116796,5.3,5.0631381667536335,4.326994075322697,3.116152727374289
